"Scope","Name","Value","Redacted","Length"
"Machine","CODEX_CABINA_ROOT","C:\CEO","False","6"
"Machine","CODEX_METADATA_ROOT","C:\CEO\.metadata","False","16"
"Machine","CODEX_OPERATOR","CEO","False","3"
"Machine","CODEX_PAC_PATH","[REDACTED]","True","60"
"Machine","CODEX_PROJECT_ROOT","C:\CEO\project-cdx","False","18"
"Machine","CODEX_RUNTIME_SURFACE","local-desktop","False","13"
"Machine","CODEX_SOURCE_TREE_PATH","[REDACTED]","True","12"
"Machine","CODEX_START_ROOT","C:\","False","3"
"Machine","CODEX_WORKBENCH_ROOT","C:\CEO\project-cdx","False","18"
"Machine","CODEX_WORKTREE_PATH","[REDACTED]","True","16"
"Machine","ComSpec","C:\WINDOWS\system32\cmd.exe","False","27"
"Machine","DriverData","C:\Windows\System32\Drivers\DriverData","False","38"
"Machine","NUMBER_OF_PROCESSORS","16","False","2"
"Machine","OnlineServices","Online Services","False","15"
"Machine","OS","Windows_NT","False","10"
"Machine","Path","[REDACTED]","True","310"
"Machine","PATHEXT","[REDACTED]","True","53"
"Machine","platformcode","KV","False","2"
"Machine","POWERSHELL_DISTRIBUTION_CHANNEL","MSI:Windows 10 Home Single Language","False","35"
"Machine","POWERSHELL_TELEMETRY_OPTOUT","1","False","1"
"Machine","PROCESSOR_ARCHITECTURE","AMD64","False","5"
"Machine","PROCESSOR_IDENTIFIER","AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","False","49"
"Machine","PROCESSOR_LEVEL","25","False","2"
"Machine","PROCESSOR_REVISION","5000","False","4"
"Machine","PSModulePath","[REDACTED]","True","93"
"Machine","RegionCode","LA","False","2"
"Machine","TEMP","C:\WINDOWS\TEMP","False","15"
"Machine","TMP","C:\WINDOWS\TEMP","False","15"
"Machine","USERNAME","SYSTEM","False","6"
"Machine","windir","C:\WINDOWS","False","10"
"Process","APPDATA","C:\Users\enzo1\AppData\Roaming","False","30"
"Process","CODEX_CABINA_REPO_ROOT","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","False","50"
"Process","CODEX_CLI_PATH","[REDACTED]","True","72"
"Process","CODEX_CLOUD_BRANCH","codex/consume-bound-workbook-next-delta","False","39"
"Process","CODEX_CLOUD_CONTRACT","C:\CEO\project-cdx\operativa\CODEX_CLOUD_CONTRACT_20260615.md","False","61"
"Process","CODEX_CLOUD_DATAVERSE_BLOCKERS","C:\CEO\project-cdx\dataverse\REGISTRO_BLOQUEOS.md","False","49"
"Process","CODEX_CLOUD_DATAVERSE_GATE","C:\CEO\project-cdx\dataverse\GATE.md","False","36"
"Process","CODEX_CLOUD_DATAVERSE_PLAN","C:\CEO\project-cdx\dataverse\PLAN_SEGUNDA_PASADA.md","False","51"
"Process","CODEX_CLOUD_DATAVERSE_REGISTRY","C:\CEO\project-cdx\dataverse\REGISTRO_CODEX_CLOUD_20260615.md","False","61"
"Process","CODEX_CLOUD_DATAVERSE_SOURCE_MAP","C:\CEO\project-cdx\dataverse\MAPA_CONEXIONES_DATAVERSE.md","False","57"
"Process","CODEX_CLOUD_ENABLED","0","False","1"
"Process","CODEX_CLOUD_GATE","local-only","False","10"
"Process","CODEX_CLOUD_MAINTENANCE_LOG","C:\CEO\project-cdx\operativa\CODEX_CLOUD_MAINTENANCE_20260615.md","False","64"
"Process","CODEX_CLOUD_METADATA_ROOT","C:\CEO\.metadata","False","16"
"Process","CODEX_CLOUD_MODE","local","False","5"
"Process","CODEX_CLOUD_PROFILE","projec-cdx","False","10"
"Process","CODEX_CLOUD_REPO_ROOT","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","False","50"
"Process","CODEX_CLOUD_WORKTREE","C:\CEO\worktrees","False","16"
"Process","CODEX_GIT_CMD","C:\Program Files\Git\cmd\git.exe","False","32"
"Process","CODEX_HOME","C:\Users\enzo1\.codex","False","21"
"Process","CODEX_METADATA_ROOT","C:\CEO\.metadata","False","16"
"Process","CODEX_PAC_PATH","[REDACTED]","True","60"
"Process","CODEX_POWERSHELL_PROFILE","C:\Users\enzo1\.codex\profiles\powershell\CodexProfile.ps1","False","58"
"Process","CODEX_PROJECT_ROOT","C:\CEO\project-cdx","False","18"
"Process","CODEX_PWSH_PATH","[REDACTED]","True","38"
"Process","CODEX_PYTHON_CMD","C:\CEO\project-cdx\.venv\Scripts\python.exe","False","43"
"Process","CODEX_REPOS_ROOT","C:\CEO\repos","False","12"
"Process","CODEX_RUNTIME_SURFACE","local-desktop","False","13"
"Process","CODEX_SANDBOX_NETWORK_DISABLED","1","False","1"
"Process","CODEX_SOURCE_TREE_PATH","[REDACTED]","True","12"
"Process","CODEX_THREAD_ID","019ecdcf-786e-70b0-b717-ba6aa11cadd6","False","36"
"Process","CODEX_WORKBENCH_ROOT","C:\CEO\project-cdx","False","18"
"Process","CODEX_WORKTREE_PATH","[REDACTED]","True","16"
"Process","ComSpec","C:\WINDOWS\system32\cmd.exe","False","27"
"Process","HOMEDRIVE","C:","False","2"
"Process","HOMEPATH","[REDACTED]","True","12"
"Process","LOCALAPPDATA","C:\Users\enzo1\AppData\Local","False","28"
"Process","OPENAI_MODEL","gpt-5.5","False","7"
"Process","PATH","[REDACTED]","True","614"
"Process","PATHEXT","[REDACTED]","True","58"
"Process","ProgramData","C:\ProgramData","False","14"
"Process","ProgramFiles","C:\Program Files","False","16"
"Process","ProgramFiles(x86)","C:\Program Files (x86)","False","22"
"Process","ProgramW6432","C:\Program Files","False","16"
"Process","PSModulePath","[REDACTED]","True","212"
"Process","SystemDrive","C:","False","2"
"Process","SystemRoot","C:\WINDOWS","False","10"
"Process","TEMP","C:\Users\enzo1\AppData\Local\Temp","False","33"
"Process","TMP","C:\Users\enzo1\AppData\Local\Temp","False","33"
"Process","USERDOMAIN","CEO","False","3"
"Process","USERNAME","enzo1","False","5"
"Process","USERPROFILE","C:\Users\enzo1","False","14"
"User","CEO_AGENTS_ROOT","C:\CEO\agents","False","13"
"User","CEO_CHAINS_ROOT","C:\CEO\chains","False","13"
"User","CEO_DATAVERSE_ROOT","C:\CEO\dataverse","False","16"
"User","CEO_INBOX_ROOT","C:\CEO\inbox","False","12"
"User","CEO_M365_ROOT","C:\CEO\m365","False","11"
"User","CEO_METADATA_ROOT","C:\CEO\.metadata","False","16"
"User","CEO_PROJECT_CDX_ROOT","C:\CEO\project-cdx","False","18"
"User","CEO_PROJECT_ROOT","C:\CEO\project-cdx","False","18"
"User","CEO_REPOS_ROOT","C:\CEO\repos","False","12"
"User","CEO_ROOT","C:\CEO","False","6"
"User","CEO_RUNTIME_ROOT","C:\CEO\runtime","False","14"
"User","CEO_SKILLS_ROOT","C:\CEO\skills","False","13"
"User","CEO_TOOLS_ROOT","C:\CEO\tools","False","12"
"User","CEO_WORKTREES_ROOT","C:\CEO\worktrees","False","16"
"User","CODEX_AGENTS_ROOT","","False","0"
"User","CODEX_CABINA_ROOT","","False","0"
"User","CODEX_CHAINS_ROOT","","False","0"
"User","CODEX_CLI_PATH","[REDACTED]","True","72"
"User","CODEX_DATAVERSE_ROOT","","False","0"
"User","CODEX_HOME","C:\Users\enzo1\.codex","False","21"
"User","CODEX_INBOX_ROOT","","False","0"
"User","CODEX_M365_ROOT","","False","0"
"User","CODEX_METADATA_ROOT","C:\CEO\.metadata","False","16"
"User","CODEX_OPERATOR","CEO","False","3"
"User","CODEX_PAC_PATH","[REDACTED]","True","60"
"User","CODEX_PROJECT_ROOT","C:\CEO\project-cdx","False","18"
"User","CODEX_REPOS_ROOT","","False","0"
"User","CODEX_RUNTIME_ROOT","","False","0"
"User","CODEX_RUNTIME_SURFACE","local-desktop","False","13"
"User","CODEX_SKILLS_ROOT","","False","0"
"User","CODEX_SOURCE_TREE_PATH","[REDACTED]","True","12"
"User","CODEX_START_ROOT","C:\CEO","False","6"
"User","CODEX_TOOLS_ROOT","","False","0"
"User","CODEX_WORKBENCH_ROOT","C:\CEO\project-cdx","False","18"
"User","CODEX_WORKTREE_PATH","[REDACTED]","True","16"
"User","Path","[REDACTED]","True","713"
"User","SOURCE_TREE_PATH","[REDACTED]","True","12"
"User","TEMP","C:\Users\enzo1\AppData\Local\Temp","False","33"
"User","TMP","C:\Users\enzo1\AppData\Local\Temp","False","33"
