repo,path,branch,state,motivo,accion_sugerida
cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,main,clean,"repo canonico, ramas laterales historicas ya identificadas","mantener main y conservar ramas historicas como archivo"
cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,main,clean,"repo canonico ya alineado","mantener main sin cambios"
jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,main,clean,"repo canonico ya alineado","mantener main sin cambios"
microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,main,clean,"repo canonico ya alineado","mantener main sin cambios"
modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,main,clean,"repo canonico ya alineado","mantener main sin cambios"
organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,main,clean,"resuelto desde codex/service-design-documental-20260605 y publicado en origin/main","mantener main y archivar la rama historica"
sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,main,clean,"repo canonico ya alineado","mantener main sin cambios"
seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,main,clean,"repo canonico ya alineado","mantener main sin cambios"
Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,main,clean,"repo canonico ya alineado","mantener main sin cambios"
sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,main,clean,"repo canonico ya alineado","mantener main sin cambios"
tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,main,clean,"repo canonico ya alineado","mantener main sin cambios"
tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,main,clean,"repo canonico ya alineado","mantener main sin cambios"
torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,main,clean,"repo canonico ya alineado","mantener main sin cambios"
