"agent_id","level_id","purpose","surface","skill_refs","recipe_refs","tool_refs","plugin_refs","workpaper_path","validator","default_mode","stop_condition"
"rey.control_plane_orchestrator","00_ROUTER","Recibir ordenes, clasificar superficie y derivar a canon, registro, corte o torre de universo.","AGENTS.md|MANIFEST.yaml|00_CONTROL_PLANE_INGRESS\ROUTING.json|01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|.agents\codex\routing.json","rey-modo-gobernador-capacidades|tcu-descubridor-capacidades|tcu-redactor-planes-operativos|tcu-desarrollo-con-subagentes|tcu-planificador-con-archivos|superpowers:dispatching-parallel-agents|superpowers:subagent-driven-development|superpowers:writing-plans|superpowers:verification-before-completion|parallel-order-governance","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers",".agents\codex\workpapers\rey.control_plane_orchestrator","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Determinar si una accion es local, versionado, live, regulada, productiva o bloqueada.","02_AUTHORITY_CANON|gates policies orders","tcu-descubridor-capacidades|rey-modo-gobernador-capacidades|tcu-redactor-planes-operativos|superpowers:writing-plans|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers",".agents\codex\workpapers\rey.frontier_guardian","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","Mantener inventario de universos, torres, repos, activos, owners y relaciones.","01_GOVERNANCE_REGISTRY|repo local remote metadata","tcu-descubridor-capacidades|rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment|matrix-recipe-skill-sync|cabina-naming-analyzer|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.csv_registry_check|tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers",".agents\codex\workpapers\rey.governance_registrar","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.authority_canonist","01_AUTORIDAD_Y_GATES","Cuidar el canon activo, decisiones rectoras, gates y ordenes gobernadas.","02_AUTHORITY_CANON|gates policies orders","tcu-descubridor-capacidades|rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|cabina-agent-md-refactor|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.canon_index_check|tool.stop_condition_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers",".agents\codex\workpapers\rey.authority_canonist","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","Mapear clones, repos vecinos, ramas, remotos y relacion con universos sin modificar Git.","01_GOVERNANCE_REGISTRY|repo local remote metadata","tcu-descubridor-capacidades|github:github|github:yeet|repo-agent-tool-governance|cabina-commit-work|cabina-github-actions-templates|superpowers:using-git-worktrees|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.github_pr_lifecycle_governed|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.git_status_readonly|tool.gh_remote_readonly|tool.github_versioning_flow|tool.repo_alignment_runtime|tool.local_validate_all_repo_github_alignment|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub",".agents\codex\workpapers\rey.repo_cartographer","tool.repo_alignment_runtime|tool.local_validate_all_repo_github_alignment|tool.local_validate_agent_layer","github_read_write_governed","runtime_alignment_failed|repo_remote_or_git_alignment_missing|default_skill_missing|workpaper_missing_for_agent"
"court.openai_dispatcher","03_CORTE_EJECUTORA","Preparar prompts, recetas, evals y activaciones locales para agentes OpenAI, Seshat y SDU.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces|Codex Cloud repo-scoped","tcu-descubridor-capacidades|github:github|openai-developers:agents-sdk|skill-creator|mcp-builder|superpowers:writing-skills|tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.openai_prompt_pack_json_short|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design|recipe.codex_cloud_governed_lane","tool.synthetic_eval_manifest|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder|tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane","Superpowers|OpenAI Developers|GitHub",".agents\codex\workpapers\court.openai_dispatcher","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_codex_cloud_governed_lane","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent|source_uncertain"
"universe.escribania_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Escribania, incluyendo TGE, cumplimiento, evidencia y SharePoint aprobado cuando exista orden.","10_UNIVERSOS\ESCRIBANIA|TGE tenant surfaces governed","tcu-descubridor-capacidades|sharepoint:sharepoint-site-discovery|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub",".agents\codex\workpapers\universe.escribania_tower","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"universe.modo_on_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Modo ON y ubicar CDF, Jara y activos proveedores bajo control trazable.","10_UNIVERSOS\MODO_ON|CDF Jara provider surfaces governed","tcu-descubridor-capacidades|tcu-normalizador-sistema-modo-on|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.provider_boundary_check|tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub",".agents\codex\workpapers\universe.modo_on_tower","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.seshat_evidence","03_CORTE_EJECUTORA","Registrar evidencia, readbacks, actas y trazabilidad de decisiones sin sustituir autoridad humana.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","tcu-descubridor-capacidades|rey-modo-evidencia-riesgo-handoff|tcu-planificador-con-archivos|governed-readback-closeout|github:yeet|cabina-session-handoff|cabina-commit-work|superpowers:verification-before-completion|parallel-order-governance","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.readback_builder|tool.github_versioning_flow|tool.local_validate_agent_layer|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub|SharePoint",".agents\codex\workpapers\court.seshat_evidence","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.sdu_gate","01_AUTORIDAD_Y_GATES","Aplicar criterio SDU sobre gates, stop conditions, escalamiento y coherencia de ordenes.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","tcu-descubridor-capacidades|tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.sharepoint_complete_read_order|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.stop_condition_check|tool.boundary_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint",".agents\codex\workpapers\court.sdu_gate","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.thot_schema","03_CORTE_EJECUTORA","Traducir narrativa, canon y ordenes a campos, schemas, matrices, tools y eventos verificables.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","tcu-descubridor-capacidades|tcu-harness-evals-agentes|skill-judge|skill-creator|mcp-builder|tcu-desarrollo-con-subagentes|superpowers:subagent-driven-development|matrix-recipe-skill-sync|d-drive-agent-layer-enrichment|cabina-naming-analyzer|cabina-github-actions-templates|superpowers:systematic-debugging|superpowers:writing-skills|superpowers:verification-before-completion|parallel-order-governance","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.local_validate_skill_metadata|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers",".agents\codex\workpapers\court.thot_schema","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_skill_metadata","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent|skill_metadata_missing_or_ambiguous"
"rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","Preparar migracion local de clones, herramientas y activos al disco D sin mover nada hasta orden gobernada.","01_GOVERNANCE_REGISTRY|repo local remote metadata","tcu-descubridor-capacidades|tcu-planificador-con-archivos|tcu-redactor-planes-operativos|superpowers:writing-plans|rey-modo-gobernador-capacidades|superpowers:verification-before-completion|parallel-order-governance","recipe.migration_preflight|recipe.registry_enrichment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.path_conflict_check|tool.git_status_readonly|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub",".agents\codex\workpapers\rey.migration_planner","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"tech.reference_librarian","05_SOPORTE_TECNICO","Separar referencias tecnicas Microsoft, OpenAI, devcontainers y tooling de canon rector vivo.",".agents\codex|80_REFERENCIAS_TECNICAS","rey-modo-gobernador-capacidades|tcu-descubridor-capacidades|mcp-builder|openai-docs|documents:documents|spreadsheets:Spreadsheets|presentations:Presentations|pdf|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.workspace_reference_audit|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.reference_classifier|tool.plugin_registry_check|tool.local_validate_document_skill_lane|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers|Documents|Spreadsheets|Presentations",".agents\codex\workpapers\tech.reference_librarian","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_document_skill_lane","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent|regulated_data_boundary_unclear"
"codex.workspace_guardian","05_SOPORTE_TECNICO","Auditar configuracion local de Codex, AGENTS.md, rutas y workspaces sin tocar secretos ni ajustes live sin orden.",".agents\codex|80_REFERENCIAS_TECNICAS","tcu-descubridor-capacidades|rey-modo-auditor-vscode-insiders|operativa-guardian:operativa-guardian-status|skill-judge|matrix-recipe-skill-sync|cabina-agent-md-refactor|cabina-github-actions-templates|superpowers:systematic-debugging|superpowers:verification-before-completion|parallel-order-governance","recipe.workspace_reference_audit|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.codex_workspace_audit|tool.plugin_registry_check|tool.local_validate_skill_metadata|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|Operativa Guardian|GitHub",".agents\codex\workpapers\codex.workspace_guardian","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_skill_metadata","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent|skill_metadata_missing_or_ambiguous"
"rey.control_plane_orchestrator","00_ROUTER","Ruta activa execute_local_now para ejecutar preflights locales seguros y validables.","AGENTS.md|.agents\codex|governance/canon","tcu-descubridor-capacidades|parallel-order-governance|governed-readback-closeout|superpowers:verification-before-completion","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback|tool.local_validate_agent_workpapers","Superpowers",".agents\codex\workpapers\rey.control_plane_orchestrator","tool.repo_alignment_runtime|tool.local_validate_agent_layer","EXECUTE_LOCAL_NOW","capability_use_preflight_missing|secret_detected"
"court.thot_schema","03_CORTE_EJECUTORA","Ruta activa execute_mock_now para mocks y simulaciones con evidencia reproducible.","local-agent-bridge|tests/sdu-agent-runtime|scripts/validators","tcu-descubridor-capacidades|tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.repo_alignment_runtime","Superpowers|OpenAI Developers",".agents\codex\workpapers\court.thot_schema","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_skill_metadata","EXECUTE_MOCK_NOW","mock_smoke_failed|secret_detected"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Ruta activa execute_dev_now para DEV con frontera, rollback, postcheck y evidencia.","governance/teams|governance/connections|governance/codex-cloud","tcu-descubridor-capacidades|repo-agent-tool-governance|governed-readback-closeout|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.governed_order_preparation","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.parallel_dispatch_policy_check","Superpowers",".agents\codex\workpapers\rey.frontier_guardian","tool.repo_alignment_runtime|tool.local_validate_agent_layer","EXECUTE_DEV_NOW","BLOCKED_TENANT_AMBIGUOUS|secret_detected"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Ruta activa execute_live_read_now para lecturas live limitadas y postcheckeables.","Microsoft live read surfaces|GitHub read surfaces","tcu-descubridor-capacidades|repo-agent-tool-governance|governed-readback-closeout|parallel-order-governance","recipe.gate_decision_packet|recipe.governed_order_preparation|recipe.agent_workpaper_operation","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.governed_order_packet_builder","Superpowers",".agents\codex\workpapers\rey.frontier_guardian","tool.repo_alignment_runtime|tool.local_validate_agent_layer","EXECUTE_LIVE_READ_NOW","PENDING_TARGET_ONLY|BLOCKED_TENANT_AMBIGUOUS|secret_detected"
"court.sdu_gate","01_AUTORIDAD_Y_GATES","Ruta activa execute_live_write_gated_now para escrituras live solo con target completo.","Microsoft live write gated|MCP write gated|GitHub protected actions","tcu-descubridor-capacidades|tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance|parallel-order-governance","recipe.gate_decision_packet|recipe.governed_order_preparation|recipe.agent_workpaper_operation","tool.stop_condition_check|tool.boundary_check|tool.governed_order_packet_builder","Superpowers|SharePoint",".agents\codex\workpapers\court.sdu_gate","tool.repo_alignment_runtime|tool.local_validate_agent_layer","EXECUTE_LIVE_WRITE_GATED_NOW","PENDING_TARGET_ONLY|PENDING_IDENTITY_ONLY|PENDING_OWNER_ONLY|secret_detected"
"court.openai_dispatcher","03_CORTE_EJECUTORA","Ruta activa execute_codex_cloud_smoke_now para smoke Codex Cloud no-diff/no-apply.","Codex Cloud repo-scoped smoke","tcu-descubridor-capacidades|openai-developers:agents-sdk|matrix-recipe-skill-sync|parallel-order-governance","recipe.codex_cloud_governed_lane|recipe.openai_local_agent_design|recipe.agent_workpaper_operation","tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane|tool.repo_alignment_runtime","Superpowers|OpenAI Developers|GitHub",".agents\codex\workpapers\court.openai_dispatcher","tool.repo_alignment_runtime|tool.local_validate_codex_cloud_governed_lane","EXECUTE_CODEX_CLOUD_SMOKE_NOW","codex_cloud_environment_missing|CODEX_CLOUD_APPLY_WITHOUT_REVIEW"
