source_id,source_path,capability_class,current_state,gap,decision,owner_agent,next_action,validator,stop_condition
WEBREACTIVA_CODEX_SKILLS_20260601,https://www.webreactiva.com/blog/mejores-skills-codex,skills,external_article_reviewed,needs cabina sublevel agent mapping and repo-local storage,adopt_selected_repo_local_skills,court.thot_schema,map selected skills into .agents/skills and governance matrices,.agents/codex/tools/local_validate_agent_layer.ps1,source_without_decision_or_gate
WEBREACTIVA_DOCUMENT_SKILLS_20260601,https://www.webreactiva.com/blog/15-plugins-claude-code#13-document-skills,document_skills,external_article_reviewed,needs local cabina routing for DOCX spreadsheets presentations and PDF without live data exposure,adopt_as_document_skill_lane,tech.reference_librarian,map document skills into DOCUMENT_SKILL_LANE_MATRIX and plugin boundaries,.agents/codex/tools/local_validate_document_skill_lane.ps1,regulated_data_boundary_unclear
SOURCE_TCU_SKILLS_INDEX,.agents/codex/skills/SOURCE_TCU_SKILLS_INDEX.csv,skills,copied_reference,needs local assignment by agent purpose,adopt_by_matrix_only,court.thot_schema,map into SUBSKILL_USAGE_MATRIX,.agents/codex/tools/local_validate_agent_layer.ps1,skill_without_catalog_or_assignment
SOURCE_WEBREACTIVA_CLAUDE_SKILLS_20260601,https://www.webreactiva.com/blog/10-mejores-skills-claude-code-agentes,skills,external_reference,needs local storage and default assignment decision,adopt_existing_local_or_plugin_only,court.thot_schema,map approved methodology skills into LOCAL_SKILL_CATALOG and AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX,.agents/codex/tools/local_validate_agent_layer.ps1,source_without_decision_or_gate
WEBREACTIVA_SKILL_REFERENCE_LIBRARY_20260601,https://www.webreactiva.com/blog/como-organiza-claude-skills#1-referencia-de-librerias-y-api,skills,external_article_reviewed,needs repo-local reference library policy for library API docs examples gotchas freshness and canon boundary,queue_issue_12_parallel_lane,tech.reference_librarian,prepare SKILL_REFERENCE_LIBRARY_POLICY and source matrix under exact issue lock,.agents/codex/tools/local_validate_parallel_issue_queue.ps1,source_uncertain
WEBREACTIVA_FRONTEND_DESIGN_SKILL_20260601,https://www.webreactiva.com/blog/como-crear-diseno-skill-frontend-design,frontend_design,external_article_reviewed,needs governed frontend design lane with responsive screenshot asset and verification expectations,queue_issue_15_parallel_lane,codex.workspace_guardian,prepare FRONTEND_DESIGN_LANE artifacts under exact issue lock,.agents/codex/tools/local_validate_parallel_issue_queue.ps1,production_requested_without_explicit_authorization
"SOURCE_LOCAL_CODEX_SKILL_ROOTS",".agents/skills|C:/Users/enzo1/.agents/skills|C:/Users/enzo1/.codex/skills|C:/Users/enzo1/.codex/plugins/cache/openai-curated",skills,available_local_roots,skills must stay in source roots and be cataloged before default use,adopt_by_catalog_and_assignment,codex.workspace_guardian,validate storage path owner and live boundary,.agents/codex/tools/local_validate_agent_layer.ps1,skill_without_catalog_or_assignment
SOURCE_TCU_RECIPES_INDEX,.agents/codex/recipes/SOURCE_TCU_RECIPES_INDEX.csv,recipes,copied_reference,needs subrecipe relation and boundary,adopt_by_subrecipe_index,court.openai_dispatcher,map into SUBRECIPE_INDEX,.agents/codex/tools/local_validate_agent_layer.ps1,recipe_without_index_or_owner
SOURCE_TCU_TOOLS_INDEX,.agents/codex/tools/SOURCE_TCU_TOOLS_INDEX.csv,tools,copied_reference,needs governed surface and blocked surface,adopt_only_with_tool_governance,codex.workspace_guardian,map into TOOL_GOVERNANCE_MATRIX,.agents/codex/tools/local_validate_agent_layer.ps1,tool_without_surface_boundary
SOURCE_TGE_RUNTIME_AGENT_CONTRACTS,.agents/codex/agents/SOURCE_TGE_RUNTIME_AGENT_CONTRACTS.md,agents,copied_reference,needs local overlay not canon replacement,reference_only,tech.reference_librarian,keep as source ref not authority,.agents/codex/tools/local_validate_agent_layer.ps1,source_reference_treated_as_canon
SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX,.agents/codex/matrices/SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,plugins,copied_reference,needs plugin live boundary before use,adopt_with_plugin_boundary_matrix,codex.workspace_guardian,map into PLUGIN_SKILL_BOUNDARY_MATRIX,.agents/codex/tools/local_validate_agent_layer.ps1,plugin_without_surface_boundary
