function_id,category,installed_signal,active_signal,current_use,unused_gap,owner_agent,reviewer_agent,next_action,task_label,validator,evidence,rollback,stop_condition,status
vsi.function.agile_agent_canvas,canvas,msayedshokry.agileagentcanvas@0.5.2,active_window_agile_agent_canvas,used as visible canvas and card surface,not yet bound to Memory or Memory Log activity,codex.workspace_guardian,court.seshat_evidence,bind canvas evidence to repo-local workpaper memory and task validator,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,screenshot vsi-screen-20260607-194445 plus code-insiders status,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py .vscode/tasks.json,vsi_function_utilization_invalid|secret_detected,ACTIVE_USED
vsi.function.codex_chat_panel,codex,openai.chatgpt@26.602.40724,openai.chatgpt app-server process,used for governed execution and readback,not wired as task evidence source from VSI tasks,codex.workspace_guardian,court.seshat_evidence,record task-run evidence through workpaper memory logs,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,code-insiders status showed Codex app server,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py .vscode/tasks.json,vsi_function_utilization_invalid|secret_detected,ACTIVE_USED
vsi.function.agent_skills_mcp,agent_skills,jakesterns.agent-skills-vscode@0.4.0,agent skills mcp server process,available for skill lookup,no matching memory writer skill resolved in current query,codex.workspace_guardian,court.thot_schema,keep skill discovery explicit and mark unavailable memory writer as gap,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,agent skills find_skill returned no matching memory task skill,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py .vscode/tasks.json,vsi_function_utilization_invalid|secret_detected,ACTIVE_UNDERUSED
vsi.function.memory_panel,memory,visual Memory panel present,Agent Memory exposes disk backend and autoSyncToFile setting,configured to auto-sync visual memory into ignored local buffer with sanitized manual workpaper export,actual visual memory file still requires VSI memory tool invocation,codex.workspace_guardian,court.seshat_evidence,invoke the VSI language model memory tool from an agent turn and manually export only sanitized evidence,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,.vscode/settings.json plus AGENT_MEMORY_SYNC.md plus screenshot Memory panel,git restore -- .vscode/settings.json .agents/codex/workpapers/codex.workspace_guardian/AGENT_MEMORY_SYNC.md .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,vsi_memory_tool_not_callable_from_codex_runtime|secret_detected,ACTIVE_READY
vsi.function.memory_log_panel,memory_log,visual Memory Log panel present,Agent Memory exposes activityLog view and memory language model tool,local ignored memory buffer configured and workpaper bridge limited to sanitized manual export,current Codex runtime cannot call VS Code language model tool directly,codex.workspace_guardian,court.seshat_evidence,run a VSI agent/model turn that invokes memory create then refresh Memory Log,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,agent-memory package metadata plus screenshot Memory Log panel,git restore -- .vscode/settings.json .agents/codex/workpapers/codex.workspace_guardian/AGENT_MEMORY_SYNC.md .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,vsi_memory_tool_not_callable_from_codex_runtime|secret_detected,ACTIVE_UNDERUSED
vsi.function.vscode_tasks_no_ps,tasks,.vscode/tasks.json visible in workspace stats,type process tasks registered,task command validated and command URI probe attempted,VS Code CLI has no run-task-by-label command and URI produced no visible task output,codex.workspace_guardian,court.seshat_evidence,run from VSI Tasks UI manually or expose a governed callable task runner command,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,.vscode/tasks.json code-insiders help and screenshot after command URI probe,git restore -- .vscode/tasks.json .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,vsi_task_command_uri_no_visible_output|secret_detected,ACTIVE_READY
vsi.function.github_pr_actions_ui,github,github.vscode-pull-request-github and github.vscode-github-actions installed,no active process evidence in current status,installed but not used for current merge or check review,PR and checks still handled by CLI and readbacks,codex.workspace_guardian,rey.repo_cartographer,route future PR review and checks visibility through VSI panels before CLI merge,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,extension inventory plus PR 126 CLI evidence,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,vsi_github_ui_underused|secret_detected,INSTALLED_UNDERUSED
vsi.function.cross_repo_status_noise,status_bar,status bar showed SeshatSgin torre-gemela-escribania PR signal,active workspace is cabina-universal-d,repo or PR signal crosses current workspace context,could confuse root repo task execution,codex.workspace_guardian,rey.repo_cartographer,reconcile VSI status-bar context against active git root before merge decisions,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,screenshot bottom bar showed foreign PR signal,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,cross_repo_status_signal_detected|secret_detected,DRIFT_DETECTED_RECONCILIATION_READY
vsi.function.integrated_terminal_default,terminal,integrated terminal exists,status reported shell integration with ps-family shell,not desired for this no-PS carril,current execution should use Tasks type process and python validators,codex.workspace_guardian,rey.frontier_guardian,keep terminal out of validator path and use code-insiders tasks definitions,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,code-insiders status process tree,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py .vscode/tasks.json,ps_runtime_requested|secret_detected,PRESENT_NOT_DESIRED
vsi.function.remote_codespaces_containers,remote,github.codespaces and remote extensions installed,no current remote session evidence,installed but unused in current local cabina lane,remote execution remains separate gate or smoke lane,codex.workspace_guardian,rey.frontier_guardian,leave remote features gated until exact environment owner and rollback exist,Cabina: Validate VSI function utilization,scripts/validators/vsi_function_utilization_validator.py,extension inventory no current remote workspace in status,git restore -- .agents/codex/matrices/VSI_FUNCTION_UTILIZATION_MATRIX_20260607.csv scripts/validators/vsi_function_utilization_validator.py,remote_lane_target_missing|secret_detected,INSTALLED_UNDERUSED
