"artifact_id","artifact_type","agent_id","level_id","purpose","surface","universe","tower","owner_agent","authority_level","lifecycle","status","local_allowed","governed_order_required","allowed_actions","blocked_actions","skill_refs","recipe_refs","tool_refs","plugin_refs","validator_refs","evidence_required","workpaper_path","source_policy","source_refs","last_validated","stop_condition","next_review"
"purpose.rey.control_plane_orchestrator","agent_surface_capability","rey.control_plane_orchestrator","00_ROUTER","Recibir ordenes, clasificar superficie y derivar a canon, registro, corte o torre de universo.","AGENTS.md|MANIFEST.yaml|00_CONTROL_PLANE_INGRESS\ROUTING.json|01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|.agents\codex\routing.json","CABINA_UNIVERSAL","ROOT","rey.control_plane_orchestrator","00_ROUTER","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","local_inventory|local_classification|draft_governed_order","remote_write|live_tenant_action|secret_handling|repo_versioning_without_order","rey-modo-gobernador-capacidades|superpowers:dispatching-parallel-agents|superpowers:verification-before-completion|parallel-order-governance","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","routing_decision|agent_assignment|draft_order|readback",".agents\codex\workpapers\rey.control_plane_orchestrator","copy_adapt_required_before_new_content","AGENTS.md|MANIFEST.yaml|00_CONTROL_PLANE_INGRESS\ROUTING.json|01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|.agents\codex\routing.json","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|surface_not_identified|missing_authority|live_write_requested_without_order|regulated_data_boundary_unclear","2026-06-08"
"purpose.rey.frontier_guardian","agent_surface_capability","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Determinar si una accion es local, versionado, live, regulada, productiva o bloqueada.","02_AUTHORITY_CANON|gates policies orders","CABINA_UNIVERSAL","ROOT","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","frontier_classification|risk_labeling|stop_condition_definition","approving_own_gate|tenant_permission_change|production_change","rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","frontier_decision|required_order_text|risk_readback",".agents\codex\workpapers\rey.frontier_guardian","copy_adapt_required_before_new_content","AGENTS.md|02_AUTHORITY_CANON\GATES_INDEX.csv|02_AUTHORITY_CANON\POLICY_INDEX.csv|01_GOVERNANCE_REGISTRY\FRONTIER_MATRIX.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|gate_missing|rollback_missing|postcheck_missing|identity_unclear","2026-06-08"
"purpose.rey.governance_registrar","agent_surface_capability","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","Mantener inventario de universos, torres, repos, activos, owners y relaciones.","01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","metadata_normalization|registry_draft_update|classification_report","moving_assets|deleting_assets|claiming_unknown_owner_as_confirmed","rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.csv_registry_check|tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","registry_delta|owner_gap|classification_readback",".agents\codex\workpapers\rey.governance_registrar","copy_adapt_required_before_new_content","01_GOVERNANCE_REGISTRY\UNIVERSES.csv|01_GOVERNANCE_REGISTRY\CONTROL_TOWERS.csv|01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|01_GOVERNANCE_REGISTRY\OWNER_MATRIX.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|asset_without_metadata|owner_conflict|universe_conflict","2026-06-08"
"purpose.rey.authority_canonist","agent_surface_capability","rey.authority_canonist","01_AUTORIDAD_Y_GATES","Cuidar el canon activo, decisiones rectoras, gates y ordenes gobernadas.","02_AUTHORITY_CANON|gates policies orders","CABINA_UNIVERSAL","ROOT","rey.authority_canonist","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","canon_alignment|decision_draft|governed_order_draft","changing_institutional_authority|approving_legal_criterion|removing_history_without_archive","rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.canon_index_check|tool.stop_condition_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","canon_readback|decision_draft|order_text",".agents\codex\workpapers\rey.authority_canonist","copy_adapt_required_before_new_content","02_AUTHORITY_CANON\CURRENT_STATE.md|02_AUTHORITY_CANON\ACTIVE_CANON.csv|02_AUTHORITY_CANON\DECISION_LOG.csv|02_AUTHORITY_CANON\GOVERNED_ORDERS_INDEX.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|conflicting_canon|missing_decision_owner|legal_or_institutional_authority_needed","2026-06-08"
"purpose.rey.repo_cartographer","agent_surface_capability","rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","Mapear clones, repos vecinos, ramas, remotos y relacion con universos sin modificar Git.","01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","read_only_git_status|remote_inventory|migration_plan_draft","git_add|git_commit|git_push|moving_clone_without_order","github:github|github:yeet|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.git_status_readonly|tool.gh_remote_readonly|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","repo_inventory|repo_hierarchy_map|migration_candidate_list",".agents\codex\workpapers\rey.repo_cartographer","copy_adapt_required_before_new_content","01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|10_UNIVERSOS|80_REFERENCIAS_TECNICAS","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|dirty_repo_requires_owner_decision|unknown_remote|universe_assignment_unclear","2026-06-08"
"purpose.court.openai_dispatcher","agent_surface_capability","court.openai_dispatcher","03_CORTE_EJECUTORA","Preparar prompts, recetas, evals y activaciones locales para agentes OpenAI, Seshat y SDU.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","ROOT","court.openai_dispatcher","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","prompt_pack_draft|recipe_draft|synthetic_eval_plan","openai_api_live_without_order|remote_agent_persistence|external_vector_store|cost_incurred_without_order","openai-developers:agents-sdk|tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.openai_prompt_pack_json_short|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.synthetic_eval_manifest|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","prompt_pack|recipe|eval_harness_draft|activation_readback",".agents\codex\workpapers\court.openai_dispatcher","copy_adapt_required_before_new_content","03_CORTE_EJECUTORA_DEL_REY\MANIFEST.yaml|03_CORTE_EJECUTORA_DEL_REY\04_PROMPTS|03_CORTE_EJECUTORA_DEL_REY\05_RECETAS|03_CORTE_EJECUTORA_DEL_REY\07_EVALS","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|live_api_needed|secret_needed|data_boundary_unclear","2026-06-08"
"purpose.universe.escribania_tower","agent_surface_capability","universe.escribania_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Escribania, incluyendo TGE, cumplimiento, evidencia y SharePoint aprobado cuando exista orden.","10_UNIVERSOS\ESCRIBANIA|TGE tenant surfaces governed","ESCRIBANIA","TGE","universe.escribania_tower","04_TORRES_DE_UNIVERSO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","local_escribania_inventory|tge_alignment_draft|sharepoint_order_draft","sharepoint_write_without_order|tenant_write_without_order|regulated_data_broad_read|legal_criterion_finalization","sharepoint:sharepoint-site-discovery|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","escribania_readback|tge_plan|governed_surface_order",".agents\codex\workpapers\universe.escribania_tower","copy_adapt_required_before_new_content","10_UNIVERSOS\ESCRIBANIA\MANIFEST.yaml|10_UNIVERSOS\ESCRIBANIA\ROUTING.md|01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|02_AUTHORITY_CANON\CURRENT_STATE.md","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|regulated_boundary_unclear|tenant_identity_missing|institutional_decision_needed","2026-06-08"
"purpose.universe.modo_on_tower","agent_surface_capability","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Modo ON y ubicar CDF, Jara y activos proveedores bajo control trazable.","10_UNIVERSOS\MODO_ON|CDF Jara provider surfaces governed","MODO_ON","CDF_JARA","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","local_modo_on_inventory|cdf_jara_classification|provider_boundary_draft","using_modo_on_as_escribania_runtime_without_order|tenant_write_without_order|provider_control_without_trace","tcu-normalizador-sistema-modo-on|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.provider_boundary_check|tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","modo_on_readback|provider_boundary_map|cdf_jara_assignment",".agents\codex\workpapers\universe.modo_on_tower","copy_adapt_required_before_new_content","10_UNIVERSOS\MODO_ON\MANIFEST.yaml|10_UNIVERSOS\MODO_ON\ROUTING.md|01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|01_GOVERNANCE_REGISTRY\OWNER_MATRIX.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|provider_boundary_unclear|owner_conflict|surface_crosses_universe_without_order","2026-06-08"
"purpose.court.seshat_evidence","agent_surface_capability","court.seshat_evidence","03_CORTE_EJECUTORA","Registrar evidencia, readbacks, actas y trazabilidad de decisiones sin sustituir autoridad humana.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","SDU_SESHAT","court.seshat_evidence","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","evidence_indexing|readback_draft|acta_draft","fabricating_evidence|writing_external_records_without_order|storing_secrets","rey-modo-evidencia-riesgo-handoff|governed-readback-closeout|github:yeet|superpowers:verification-before-completion|parallel-order-governance","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.readback_builder|tool.local_validate_agent_layer|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub|SharePoint","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","evidence_readback|acta|trace_index",".agents\codex\workpapers\court.seshat_evidence","copy_adapt_required_before_new_content","AGENTS.md|02_AUTHORITY_CANON\CURRENT_STATE.md|02_AUTHORITY_CANON\DECISION_LOG.csv|.agents\codex\readbacks","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|evidence_source_missing|authority_conflict|regulated_data_exposure_risk","2026-06-08"
"purpose.court.sdu_gate","agent_surface_capability","court.sdu_gate","01_AUTORIDAD_Y_GATES","Aplicar criterio SDU sobre gates, stop conditions, escalamiento y coherencia de ordenes.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","SDU_SESHAT","court.sdu_gate","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","gate_review|stop_condition_review|escalation_draft","self_approving_gate|live_execution|legal_final_decision","tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.sharepoint_complete_read_order|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.stop_condition_check|tool.boundary_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","gate_decision_draft|escalation_path|stop_condition",".agents\codex\workpapers\court.sdu_gate","copy_adapt_required_before_new_content","AGENTS.md|02_AUTHORITY_CANON\GATES_INDEX.csv|02_AUTHORITY_CANON\ACTIVE_CANON.csv|01_GOVERNANCE_REGISTRY\FRONTIER_MATRIX.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|missing_governed_order|rollback_missing|postcheck_missing|human_authority_needed","2026-06-08"
