repo,repo_scope,command_chain,repo_authority,primary_agent_group,agents_declared,agent_count,agent_source_status,runtime_status,deploy_status,live_execution_status,microsoft_status,openai_status,github_status,next_gate,evidence_sources,notes
"SeshatSgin/tcu-control-plane","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > sdu-canon > TCU > GitHub","Rector control plane for gates, validators, PRs, readbacks, GitHub governance and safe execution","TCU_RECTOR","TCU Rector Governor;TCU PR Governor;TCU Context Curator;TCU Evidence Validator;TCU Runtime Boundary Guard;TCU Agent Registry Governor","6","TCU_BLUEPRINT_CONFIRMED","SYNTHETIC_OR_LOCAL_READY","AGENTKIT_TARGET_PENDING_PRECHECK_REQUIRED","GATED_NOT_PRODUCTION","MICROSOFT_GATED_BY_EXPLICIT_GATE","SYNTHETIC_OR_SANITIZED_ONLY_UNLESS_LATER_GATE","MAIN_ALIGNED_ZERO_OPEN_ITEMS_VERIFIED","GATE_TCU_AGENTKIT_TARGET_SELECTION_AND_DEPLOY_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;registry/agents.yaml;08_evidencia/readbacks/2026-05-25_GATE_ZERO_OPEN_ITEMS_POSTMERGE_CANON_SYNC/00_READBACK.md","Current repo owns the command matrix and cannot imply tenant live execution by itself."
"SeshatSgin/sdu-canon","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > sdu-canon > GitHub validators","Mother technical-declarative canon for SDU structures, schemas, bundles and consistency","SDU_CANON","SDU Canon Structurer;SDU Taxonomy Guard;SDU Content Type;SDU Matrix Validator","4","TCU_BLUEPRINT_CONFIRMED","LOCAL_HARNESS_READY","AGENTKIT_TARGET_PENDING_PRECHECK_REQUIRED","GATED_NOT_PRODUCTION","NOT_PRIMARY_MICROSOFT_RUNTIME","SANITIZED_OR_SYNTHETIC_ONLY","ZERO_OPEN_ITEMS_IN_CURRENT_TCU_SYNC_SCOPE_NOT_DIRECTLY_RECHECKED_THIS_GATE","GATE_SDU_CANON_AGENT_VALIDATION_LOTE_1","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv","Canon validates meaning; it does not execute tenant writes."
"SeshatSgin/cdf-soluciones","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU > CDF > Microsoft governed gates","Official architecture and delivery repo for Microsoft suite, CDF implementation, SharePoint Graph Planner and evidence","CDF_MICROSOFT","CDF Microsoft Suite Architect;CDF SharePoint Graph Planner;CDF Contract Fixture Builder;CDF Delivery Evidence","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_OR_LOCAL_READY","DEPLOY_PRECHECK_READY","LIVE_MICROSOFT_REQUIRES_CDF_GATE","MICROSOFT_ARCHITECTURE_AND_DELIVERY_OWNER","SANITIZED_API_BATCH_VECTOR_POLICIES_EXIST_IN_CDF","ZERO_OPEN_ITEMS_VERIFIED_BY_POSTMERGE_SYNC","GATE_CDF_MICROSOFT_AGENTKIT_SHAREPOINT_GRAPH_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:cdf-soluciones:AGENTS.md;local_clone:cdf-soluciones:00_CONTEXT/CDF_LOCAL_AGENT_SKILL_REVIEW.csv","CDF is the right repo for Microsoft architecture; live writes still need target, rollback, postcheck and approval."
"SeshatSgin/torre-gemela-escribania","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU doctrine > TGE adapted twin > Escribania boundary","Contextual Escribania SDU-CN adoption with its own tenant, narrative and runtime boundary","TGE_ADAPTATION","TGE Adaptation Governor;TGE Notarial Process Curator;TGE Compliance Boundary Guard;TGE Evidence Readback","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_OR_LOCAL_READY","AGENTKIT_TARGET_PENDING_PRECHECK_REQUIRED","TGE_LIVE_REQUIRES_ESCRIBANIA_BOUNDARY_GATE","ESCRIBANIA_TENANT_SEPARATE_BOUNDARY","SANITIZED_OR_SYNTHETIC_ONLY","ZERO_OPEN_ITEMS_VERIFIED_BY_POSTMERGE_SYNC","GATE_TGE_AGENTKIT_TARGET_SELECTION_ESCRIBANIA_BOUNDARY_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:torre-gemela-escribania:00_CONTEXT/SDU_CN_AGENT_REGISTRY.csv;local_clone:torre-gemela-escribania:06_AGENTES/remote/remote_agent_manifest.json","TGE is adapted, not copied from TCU; no Escribania live action from this matrix."
"SeshatSgin/tcu-agentic-runtime-control","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU > TCU agentic runtime control","Runtime and eval harness repo for TCU synthetic/runtime-precheck agentic layer","TCU_RUNTIME","TCU Runtime Harness Operator;TCU Eval Harness;TCU Guardrail Tester;TCU Deployment Precheck","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_RUNTIME_READY","DEPLOY_PRECHECK_READY","GATED_NOT_PRODUCTION","MICROSOFT_BLOCKED_UNLESS_TARGET_GATE","OPENAI_SYNTHETIC_OR_SANITIZED_ALLOWED_BY_GATE","NOT_IN_ZERO_OPEN_ITEMS_REVIEW_SET","GATE_TCU_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:tcu-agentic-runtime-control:03_AGENTS/AGENT_CONTRACTS.md","This repo can prove harness/eval readiness; it does not choose production by itself."
"SeshatSgin/tge-agentic-runtime-control-escribania","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU doctrine > TGE runtime control > Escribania boundary","Adapted runtime and postcheck harness for TGE with Escribania constraints","TGE_RUNTIME","TGE Runtime Harness Operator;TGE Sanitized Fixture Builder;TGE Escribania Boundary Guard;TGE Postcheck","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_RUNTIME_READY","DEPLOY_PRECHECK_READY","TGE_LIVE_REQUIRES_ESCRIBANIA_BOUNDARY_GATE","ESCRIBANIA_MICROSOFT_REQUIRES_TGE_GATE","SANITIZED_OR_SYNTHETIC_ONLY","NOT_IN_ZERO_OPEN_ITEMS_REVIEW_SET","GATE_TGE_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:tge-agentic-runtime-control-escribania:03_AGENTS/AGENT_CONTRACTS.md","Boundary-first runtime harness; no legal or tenant decision implied."
"SeshatSgin/sgin-cloud","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU > SGIN Cloud","Cloud/sandbox architecture, integration, no-secret and deployment-readiness lane","SGIN_CLOUD","SGIN Cloud Architect;SGIN No Secret Guard;SGIN Integration;SGIN Deployment Readiness","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_OR_LOCAL_READY","DEPLOY_PRECHECK_READY","LIVE_WRITE_REQUIRES_GATE","MICROSOFT_OR_CLOUD_LIVE_REQUIRES_TARGET_GATE","SANITIZED_OR_SYNTHETIC_ONLY","NOT_IN_ZERO_OPEN_ITEMS_REVIEW_SET","GATE_SGIN_CLOUD_LIVE_WRITE_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:sgin-cloud:foundation/SGIN_MULTIAGENT_FOUNDATION_V1.md;local_clone:sgin-cloud:governance/SDU_SGIN_GOBIERNO_AGENTES_V1.md","SGIN cloud is prepared for governed lanes, not broad production mutation."
"SeshatSgin/vender","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU > Vender","Commercial strategy and offer/pipeline agentic repo with synthetic commercial safeguards","VENDER_COMMERCIAL","Vender Commercial Strategy;Vender CRM Pipeline;Vender Messaging;Vender Offer Proposal","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_OR_LOCAL_READY","DEPLOY_PRECHECK_READY","EXTERNAL_SEND_BLOCKED_WITHOUT_GATE","NOT_PRIMARY_MICROSOFT_RUNTIME","SYNTHETIC_COMMERCIAL_ONLY_UNLESS_LATER_GATE","NOT_IN_ZERO_OPEN_ITEMS_REVIEW_SET","GATE_VENDER_AGENTKIT_DEPLOY_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:vender:AGENTS.md;local_clone:vender:04_AGENTS_SDK/agent.py","External publication and real customer data stay gated."
"SeshatSgin/jara-consultores","NINE_REPO_AGENT_BLUEPRINT","Rey/Modo ON > SDU > TCU > Jara Consultores","Consulting delivery, diagnostic, proposal and evidence agentic repo with synthetic safeguards","JARA_CONSULTING","Jara Consulting Delivery Architect;Jara Diagnostic;Jara Proposal;Jara Client Evidence","4","TCU_BLUEPRINT_CONFIRMED_WITH_LOCAL_EVIDENCE","SYNTHETIC_OR_LOCAL_READY","DEPLOY_PRECHECK_READY","EXTERNAL_SEND_BLOCKED_WITHOUT_GATE","NOT_PRIMARY_MICROSOFT_RUNTIME","SYNTHETIC_CONSULTING_ONLY_UNLESS_LATER_GATE","NOT_IN_ZERO_OPEN_ITEMS_REVIEW_SET","GATE_JARA_AGENTKIT_DEPLOY_PRECHECK","docs/agents-sdk/TCU_AGENT_REGISTRY_BLUEPRINT.csv;docs/agents-sdk/TCU_NINE_REPO_MULTI_AGENT_TARGET_MATRIX.csv;local_clone:jara-consultores:AGENTS.md;local_clone:jara-consultores:04_AGENTS_SDK/agent.py","Real client evidence and external sends stay gated."
"SeshatSgin/modo-on-foundation","LOCAL_EVIDENCE_REPO_NOT_IN_NINE_REPO_BLUEPRINT","Rey/Modo ON > SDU > TCU > Modo ON foundation","Foundation repo with local SDU skills/agents and governance registry evidence","MODO_ON_FOUNDATION_CONTEXTUAL","sdu-gate-executor;sdu-live-sharepoint-audit;sdu-session-handoff;sdu-snapshot-publisher","4","LOCAL_EVIDENCE_CONFIRMED_CONTEXTUAL","LOCAL_SKILL_AGENT_EVIDENCE","NOT_CURRENTLY_IN_TCU_NINE_REPO_DEPLOY_MATRIX","GATED_BY_FOUNDATION_REPO_POLICY","SHAREPOINT_AUDIT_SKILL_EXISTS_BUT_REQUIRES_GATE","LOCAL_OR_CONNECTOR_DEPENDENT","ZERO_OPEN_ITEMS_VERIFIED_BY_POSTMERGE_SYNC","GATE_MODO_ON_FOUNDATION_AGENT_REGISTRY_RECONCILIATION","local_clone:modo-on-foundation:.agents/skills;local_clone:modo-on-foundation:governance/registries/agent-registry.yaml;08_evidencia/readbacks/2026-05-25_GATE_ZERO_OPEN_ITEMS_POSTMERGE_CANON_SYNC/00_READBACK.md","Contextual local agents exist; promote into the main 9-repo blueprint only through a reconciliation gate."
