skill_id,purpose,related_recipes
"skill_sharepoint_live_governance","Govern SharePoint as live operating territory without exporting the site.","recipe_live_site_to_operating_system;recipe_no_dump_live_reading_with_planner_control"
"skill_no_dump_live_reading","Read in origin and persist only sanitized evidence.","recipe_no_dump_live_reading_with_planner_control"
"skill_planner_team_operations","Use Planner as a human queue, not as canon.","recipe_planner_human_queue_bootstrap"
"skill_agent_registry_governance","Register agents with limits, owners, prompts and traceability.","recipe_agent_mesh_bootstrap"
"skill_pnp_graph_idempotent_apply","Apply Microsoft structures idempotently while preserving human state.","recipe_idempotent_microsoft_apply"
"skill_postmerge_sync_readback","Canonize merged PR state through sync, validators and readback.","recipe_total_day_retrospective"
"skill_tcu_tge_bidirectional_transfer","Transfer doctrine between TCU and TGE without tenant mixing.","recipe_tge_adaptation_from_tcu_pattern"
"skill_human_selection_gate","Require explicit human markers before real-case operation.","recipe_human_selected_limited_live_operation"
"skill_limited_real_cases_operation","Run a bounded real lot after dummy pass and human selection.","recipe_dummy_to_limited_real_cases;recipe_human_selected_limited_live_operation"
"skill_dummy_circuit_before_live","Validate a full circuit with dummy or synthetic records before live operation.","recipe_dummy_to_limited_real_cases"
"skill_execution_first_boundary_maximization","Advance to the highest safe executable boundary instead of generic caution.","recipe_retrospective_execution_first_hardening;recipe_total_day_retrospective"
