agent_id,capability,tool_id,surface,permission_model,allowed_now,requires_gate,gate,live_execution_allowed,owner,postcheck,blocked_actions,closure_criterion
seshat-normativa,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,seshat-normativa,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,metadata saneada y readback
seshat-normativa,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,seshat-normativa,list/library/field/view/content type readback,no item body no attachment no write,matriz listas saneada
seshat-normativa,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,seshat-normativa,issue url and readback,no secrets no regulated raw data no external commitment,issue creado o bloqueo real
horus-riesgo,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,horus-riesgo,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,riesgo por superficie documentado
horus-riesgo,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,horus-riesgo,list/library/field/view/content type readback,no item body no attachment no write,brechas y alertas de listas
horus-riesgo,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,horus-riesgo,issue url and readback,no secrets no regulated raw data no external commitment,issue de riesgo creado o bloqueo
maat-cumplimiento,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,maat-cumplimiento,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,coherencia de superficie documentada
maat-cumplimiento,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,maat-cumplimiento,list/library/field/view/content type readback,no item body no attachment no write,matriz de cumplimiento por lista
maat-cumplimiento,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,maat-cumplimiento,issue url and readback,no secrets no regulated raw data no external commitment,issue de accion correctiva creado o bloqueo
anubis-gate,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,anubis-gate,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,gate habilitado o bloqueo
anubis-gate,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,anubis-gate,list/library/field/view/content type readback,no item body no attachment no write,gate de lista habilitado o bloqueo
anubis-gate,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,anubis-gate,issue url and readback,no secrets no regulated raw data no external commitment,issue de gate creado o bloqueo
thot-tecnico,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,thot-tecnico,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,mapa tecnico saneado
thot-tecnico,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,thot-tecnico,list/library/field/view/content type readback,no item body no attachment no write,schema/list map saneado
thot-tecnico,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,thot-tecnico,issue url and readback,no secrets no regulated raw data no external commitment,issue tecnico creado o bloqueo
narrador-normativo,sharepoint_tenant_read,cn_leer_sharepoint_tenant,SharePoint Escribania,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,narrador-normativo,tenant/site/list metadata readback,no document bodies no attachments no secrets no dumps,solo relato interno desde evidencia aprobada
narrador-normativo,sharepoint_lists_read,cn_leer_sharepoint_listas,SharePoint Microsoft Lists,metadata_readonly_sanitized,requestable,yes,GATE_SDU_CN_SHAREPOINT_TENANT_READ_ALL_LISTS_20260527,false,narrador-normativo,list/library/field/view/content type readback,no item body no attachment no write,breve comunicable interno si aprobado
narrador-normativo,github_issue_create,cn_crear_issue_github,GitHub repo,repo_visible_reversible_write,yes,yes,TGE_GITHUB_REPO_GOVERNANCE_ISSUE_WRITE,false,narrador-normativo,issue url and readback,no secrets no regulated raw data no external commitment,issue de comunicacion interna creado o bloqueo
