agent_id,level_id,governs_asset_classes,authority_scope,allowed_actions,blocked_without_order,escalates_to,evidence,validator
rey.control_plane_orchestrator,00_ROUTER,map|order|handoff,intake_and_dispatch,read|classify|assign|prepare_order,live_write|secret_handling|self_approval,rey.frontier_guardian,routing_readback,tool.local_validate_agent_layer
rey.frontier_guardian,01_AUTORIDAD_Y_GATES,surface|gate|permission,frontier_and_stop_conditions,read|classify|block|prepare_governed_order,self_approving_gate|production_change,HUMAN_APPROVAL,frontier_readback,tool.local_validate_agent_layer
rey.authority_canonist,01_AUTORIDAD_Y_GATES,canon|agent|repo,authority_and_canon_alignment,read|compare|declare_hierarchy,legal_final_decision|canon_mutation_without_order,HUMAN_APPROVAL,canon_readback,tool.local_validate_agent_layer
court.sdu_gate,01_AUTORIDAD_Y_GATES,agent|eval|gate,sdu_cn_stop_layer,read|evaluate|stop|escalate,self_approval|live_execution,rey.frontier_guardian,sdu_gate_readback,tool.local_validate_agent_layer
rey.governance_registrar,02_REGISTRO_Y_CARTOGRAFIA,repo|matrix|registry,registry_truth,read|index|normalize|local_doc_update,git_write|remote_write,rey.frontier_guardian,registry_readback,tool.local_validate_agent_layer
rey.repo_cartographer,02_REGISTRO_Y_CARTOGRAFIA,repo|remote|branch,repo_map_and_status,read|status|remote_readonly|classify_dirty,git_add|git_commit|git_push,rey.frontier_guardian,repo_map_readback,tool.local_validate_agent_layer
rey.migration_planner,02_REGISTRO_Y_CARTOGRAFIA,repo|path|migration,migration_preflight,read|plan|detect_conflict,moving_files|changing_remotes,rey.frontier_guardian,migration_readback,tool.local_validate_agent_layer
court.openai_dispatcher,03_CORTE_EJECUTORA,recipe|prompt|openai_eval,openai_prompt_and_eval_lane,read|draft_prompt|synthetic_eval,api_live|remote_agent_persistence,rey.frontier_guardian,prompt_pack_readback,tool.local_validate_agent_layer
court.seshat_evidence,03_CORTE_EJECUTORA,readback|evidence|acta,evidence_and_closeout,read|write_readback|summarize_validator,fabricating_evidence|external_record_write,rey.frontier_guardian,evidence_readback,tool.local_validate_agent_layer
court.thot_schema,03_CORTE_EJECUTORA,tool|skill|schema|validator,technical_contracts,read|validate|schema_contract|local_tool_update,tool_live_execution_without_order,rey.frontier_guardian,schema_readback,tool.local_validate_agent_layer
universe.escribania_tower,04_TORRES_DE_UNIVERSO,repo|sharepoint_order|tenant_surface,escribania_universe_governance,read|prepare_order|local_doc_update,sharepoint_write|tenant_write,rey.frontier_guardian,escribania_readback,tool.local_validate_agent_layer
universe.modo_on_tower,04_TORRES_DE_UNIVERSO,repo|provider_surface,modo_on_universe_governance,read|prepare_order|local_doc_update,provider_control_without_trace|tenant_write,rey.frontier_guardian,modo_on_readback,tool.local_validate_agent_layer
tech.reference_librarian,05_SOPORTE_TECNICO,reference|source|license,reference_and_source_control,read|classify|compare,treating_reference_as_canon|license_change,rey.frontier_guardian,reference_readback,tool.local_validate_agent_layer
codex.workspace_guardian,05_SOPORTE_TECNICO,tool|workspace|codex_config,local_workspace_control,read|audit|validate|local_config_update_with_backup,secret_read|global_state_write_without_order,rey.frontier_guardian,workspace_readback,tool.local_validate_agent_layer
