asset,status,classification,policy,impact,decision,evidence
extension_root,READY,SUPPORT,OBSERVE,filesystem,"Usar C:\Users\enzo1\.vscode-insiders\extensions como fuente local no destructiva","tools/ceo-ide-extension-list.ps1 -Json"
code_insiders_cli,OBSERVED_WITH_LOG_WARN,SUPPORT,REVIEW,extension-list,"CLI disponible; no usar como comando canonico en sandbox porque intenta crear logs en AppData","code-insiders --list-extensions --show-versions"
extension_inventory,READY,CORE,ALLOW,"terminal;git;python;node;markdown;agents;mcp","136 extensiones detectadas y clasificadas sin desinstalar ni mutar perfiles","tools/ceo-ide-extension-list.ps1 -Json"
allowlist,READY,CORE,ALLOW,"git;python;powershell;markdown;selected-agent","44 extensiones quedan permitidas para perfil CEO Governed Minimal","tools/ceo-ide-extension-policy.ps1 -Json"
supportlist,READY,SUPPORT,SUPPORT,"azure;remote;containers;languages","27 extensiones quedan disponibles como soporte, no core operativo","tools/ceo-ide-extension-policy.ps1 -Json"
holdlist,READY,AGENT,HOLD,"agents;mcp;terminal;node","52 extensiones quedan en holdlist recomendada por ruido AGENT/MCP/AI paralelo","tools/ceo-ide-extension-policy.ps1 -Json"
reviewlist,READY,UNKNOWN,REVIEW,"unknown;specialized-tools","13 extensiones requieren decision owner antes de promover a allowlist","tools/ceo-ide-extension-policy.ps1 -Json"
duplicates,OBSERVED,SUPPORT,REVIEW,extensions,"7 grupos duplicados o con carpetas de version previa detectados; no limpiar automaticamente","tools/ceo-ide-extension-list.ps1 -Json"
terminal_impact,OBSERVED,POWERSHELL,ALLOW,terminal,"12 extensiones pueden afectar terminal; mantener CEO PowerShell como default gobernado","tools/ceo-ide-extension-policy.ps1 -Json"
python_impact,OBSERVED,PYTHON,ALLOW,python,"13 extensiones impactan Python/Jupyter; mantener interpreter .venv del workspace","tools/ceo-ide-extension-policy.ps1 -Json"
mcp_impact,OBSERVED,MCP,HOLD,mcp,"8 extensiones impactan MCP; no ejecutar servidores MCP sin gate","tools/ceo-ide-extension-policy.ps1 -Json"
tasks,READY,CORE,ALLOW,vscode-tasks,"Agregadas tasks Extension List, Extension Policy y Extension Control","C:\CEO\project-cdx\.vscode\tasks.json"
command_surface,READY,CORE,ALLOW,command-palette,"ceo-ide-command-index y ceo-ide-command-test reconocen extension-list y extension-policy","tools/ceo-ide-command-index.ps1 -Json"
profile_recommendation,READY,CORE,ALLOW,ide-profile,"Perfil recomendado: CEO Governed Minimal con allowlist, supportlist, holdlist y reviewlist","tools/ceo-ide-extension-policy.ps1 -Json"
