Ring,Repo,Exists,DefaultBranch,Private,LocalPath,LocalExists,Dependabot,Workflows,WorkflowCount,CodeQL,Quality,Security,Codeowners,BranchProtection,OpenPRs,OpenIssues,Tags,Status,NextDelta
ANILLO_0_CONTROL,universo-rey/projec-cdx,YES,main,False,C:/Users/enzo1/PROJEC CDX,True,YES,build-graph; codeql; meta-validate; promote; quality; Copilot; Copilot cloud agent; Dependabot Updates,8,YES,YES,YES,YES,YES,9,1,0,ALIGNED_BASELINE,postcheck_only
ANILLO_0_CONTROL,universo-rey/agents-root,YES,main,True,C:/CEO/agents,True,NO,NO,0,NO,NO,NO,NO,NO,1,0,0,NEEDS_BASELINE,dependabot;workflows;codeql_or_security_scan;quality_ci;security_md;codeowners;branch_protection
ANILLO_0_CONTROL,universo-rey/codex-root,YES,main,True,C:/Users/enzo1/.codex,True,NO,NO,0,NO,NO,NO,NO,NO,0,0,0,NEEDS_BASELINE,dependabot;workflows;codeql_or_security_scan;quality_ci;security_md;codeowners;branch_protection
ANILLO_1_CANON_13,universo-rey/cabina-universal-d,YES,main,True,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,True,NO,Active Governed Execution Validation; Cabina Validation; Dataverse Drift Detection; Dataverse Export DEV; Dataverse Import DEV Manual; Dataverse DEV Precheck; Dataverse Promote PROD Manual; Dataverse Promote TEST Manual; Dataverse Validate Manifest; MCP Teams Canon Live Read Probe Validation; Power Platform ALM Full DEV; Power Platform Check Solution; Power Platform Export Unpack; Power Platform Pack Import DEV; Power Platform WhoAmI; SDU Agent Runtime Connections Validation; SDU DEV Live Activation Preflight; SDU MCP Codex Cloud DEV Preflight; SDU Teams Identity DEV Preflight; Copilot cloud agent,20,NO,YES,NO,NO,NO,2,11,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;security_md;codeowners;branch_protection
ANILLO_1_CANON_13,SeshatSgin/cdf-soluciones,YES,main,True,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,True,NO,CDF agent versioning CI,1,NO,YES,NO,YES,NO,1,6,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;security_md;branch_protection
ANILLO_1_CANON_13,SeshatSgin/jara-consultores,YES,main,True,C:/Users/enzo1/Documents/GitHub/jara-consultores,True,NO,Jara governed CI,1,NO,YES,NO,YES,NO,1,0,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;security_md;branch_protection
ANILLO_1_CANON_13,universo-rey/microsoft-agents-governed-lab,YES,main,True,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,True,YES,cd-samples; Pull request Labeler; TGE governed lab validation; Dependabot Updates,4,NO,NO,YES,YES,NO,3,0,0,PARTIAL,codeql_or_security_scan;quality_ci;branch_protection
ANILLO_1_CANON_13,SeshatSgin/modo-on-foundation,YES,main,True,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,True,NO,policy-validate,1,NO,YES,NO,YES,NO,1,0,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;security_md;branch_protection
ANILLO_1_CANON_13,universo-rey/organizacion,YES,main,True,C:/Users/enzo1/Documents/GitHub/organizacion,True,NO,capability-ledger; codex-dry-run; secret-scan; validate; Security Risk Assessment,5,YES,YES,YES,YES,NO,1,7,0,PARTIAL,dependabot;branch_protection
ANILLO_1_CANON_13,SeshatSgin/sdu-canon,YES,main,True,C:/Users/enzo1/Documents/GitHub/sdu-canon,True,NO,Validate SDU,1,NO,YES,NO,YES,NO,1,0,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;security_md;branch_protection
ANILLO_1_CANON_13,SeshatSgin/seshat-bootstrap-sdu-cn,YES,main,True,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,True,NO,Validate Seshat bootstrap,1,NO,YES,YES,YES,NO,0,1,0,PARTIAL,dependabot;codeql_or_security_scan;branch_protection
ANILLO_1_CANON_13,universo-rey/Sgin,YES,main,True,C:/Users/enzo1/Documents/GitHub/Sgin,True,NO,Copilot cloud agent; Security Risk Assessment,2,YES,NO,NO,NO,NO,0,2,0,NEEDS_BASELINE,dependabot;quality_ci;security_md;codeowners;branch_protection
ANILLO_1_CANON_13,SeshatSgin/sgin-cumplimiento,YES,main,True,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,True,NO,NO,0,NO,NO,NO,NO,NO,1,1,0,NEEDS_BASELINE,dependabot;workflows;codeql_or_security_scan;quality_ci;security_md;codeowners;branch_protection
ANILLO_1_CANON_13,SeshatSgin/tcu-agentic-runtime-control,YES,main,True,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,True,NO,NO,0,NO,NO,NO,YES,NO,1,0,0,NEEDS_BASELINE,dependabot;workflows;codeql_or_security_scan;quality_ci;security_md;branch_protection
ANILLO_1_CANON_13,SeshatSgin/tge-agentic-runtime-control-escribania,YES,main,True,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,True,NO,NO,0,NO,NO,NO,YES,NO,1,0,0,NEEDS_BASELINE,dependabot;workflows;codeql_or_security_scan;quality_ci;security_md;branch_protection
ANILLO_1_CANON_13,SeshatSgin/torre-gemela-escribania,YES,main,True,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,True,NO,SDU-CN validators; Copilot cloud agent,2,NO,NO,NO,YES,YES,1,0,0,NEEDS_BASELINE,dependabot;codeql_or_security_scan;quality_ci;security_md
