package_id,priority,status,commit,files,validation,external_required,gate_packet,operator_decision,notes
SECRET_SAFE_EXCEPTION_CODE_HARDENING_V1,explicit,CLOSED_LOCAL,8a140f4e,"src/projec_cdx_common/safe_errors.py;src/launch_desk/service.py;src/metadata/cli.py;tools/update_codex_config_workbook.py;tests/test_safe_errors.py;tests/test_launch_desk_runtime.py;operativa/SECRET_SAFE_EXCEPTION_CODE_HARDENING_V1_20260622.csv",pytest_focus_pass;metadata_pass;sentinel_pass,false,false,false,Raw exception exposure hardened locally.
DATAVERSE_LIVE_READ_JSON_BOM_REPAIR_CLOSEOUT,P1,CLOSED_LOCAL_WITH_WARNINGS,7c6165cd,"tools/update_codex_config_workbook.py;tests/test_dataverse_json_encoding.py;operativa/DATAVERSE_LIVE_READ_JSON_ENCODING_AUDIT_20260622.csv",metadata_pass;sentinel_pass;test_skipped_if_openpyxl_missing,false,false,false,Reader tolerates utf-8-sig; current JSON has no BOM.
DATAVERSE_RUNTIME_REGISTRY_CARDINALITY_CLOSEOUT,P1,OPERATOR_DECISION_REQUIRED,c54daaee,"operativa/DATAVERSE_RUNTIME_REGISTRY_CARDINALITY_20260622.csv;operativa/READBACK_DATAVERSE_RUNTIME_REGISTRY_CARDINALITY_20260622.md",metadata_pass;sentinel_pass,false,false,true,Seven runtime actions observed in snapshot; seventh agent needs owner classification.
CHANGE_AWARE_EVIDENCE_FRESHNESS_CLOSEOUT,P1,BLOCKED_WITH_GATE_PACKET,fb0dae5d,"operativa/CHANGE_AWARE_EVIDENCE_FRESHNESS_20260622.csv;operativa/READBACK_CHANGE_AWARE_EVIDENCE_FRESHNESS_20260622.md",metadata_pass;sentinel_pass,true,true,false,Change-aware artifact belongs to cabina-universal-d lane.
CANON_SOURCE_AUTHORITY_GUARD_CLOSEOUT,P1,CLOSED_LOCAL,6786006e,"tools/sdu_canon_source_guard.py;tests/test_sdu_canon_source_guard.py;operativa/CANON_SOURCE_AUTHORITY_MATRIX_20260622.csv",pytest_focus_pass;metadata_pass;sentinel_pass,false,false,false,PR open/draft/branch/smoke now classified NOT_CANON locally.
PR130_CONSTITUTION_DRIFT_CLOSEOUT,P1,BLOCKED_WITH_GATE_PACKET,a950bd03,"operativa/PR130_CONSTITUTION_DRIFT_MATRIX_20260622.csv;operativa/READBACK_PR130_CONSTITUTION_SYNC_PACKET_20260622.md",metadata_pass;sentinel_pass,true,true,false,Constitution drift belongs to cabina-universal-d.
PROJEC_CDX_CI_DEPENDABOT_HYGIENE_CLOSEOUT,P2,CLOSED_LOCAL_WITH_WARNINGS,567a02ef,"operativa/PROJEC_CDX_CI_DEPENDABOT_HYGIENE_20260622.csv;operativa/GITHUB_LABEL_GATE_PACKET_20260622.md",metadata_pass;tests_pass;sentinel_pass,true,true,false,Local CI passes; GitHub labels require external gate.
GITHUB_ISSUE_PREP_GATE_FIX_CLOSEOUT,P2,BLOCKED_WITH_GATE_PACKET,00039d5b,"operativa/GITHUB_ISSUE_PREP_GATE_FIX_20260622.csv;operativa/READBACK_GITHUB_ISSUE_PREP_GATE_FIX_20260622.md",metadata_pass;sentinel_pass,true,true,false,Issue prep artifacts belong to seshat-bootstrap-sdu-cn.
EVIDENCE_PATH_CARDINALITY_SWEEP_CLOSEOUT,P3,CLOSED_LOCAL_WITH_WARNINGS,d69f48ea,"operativa/EVIDENCE_PATH_CARDINALITY_SWEEP_20260622.csv;operativa/READBACK_EVIDENCE_PATH_CARDINALITY_SWEEP_20260622.md",metadata_pass;sentinel_pass,false,false,false,No parseable versions_count/origins mismatches found.
DOC_QUALITY_TERMINOLOGY_SWEEP_CLOSEOUT,P3,CLOSED_LOCAL_WITH_WARNINGS,385438ae,"operativa/DOC_QUALITY_SWEEP_20260622.csv;operativa/READBACK_DOC_QUALITY_SWEEP_20260622.md",metadata_pass;sentinel_pass,false,false,false,Measured terminology drift without rewriting historical evidence.
SDU_CLOSE_ALL_EMAIL_DELTA_PACKAGES_FINAL_READBACK,final,CLOSED_LOCAL,self,"operativa/EMAIL_DELTA_ALL_PACKAGES_STATUS_20260622.csv;operativa/READBACK_EMAIL_DELTA_ALL_PACKAGES_CLOSEOUT_20260622.md",pending_final_postcheck,false,false,false,Final closeout commit contains this row.
