evidence_id,readback_path,source_repo,repo_id,lane_id,agent_id,validator,status,proves,does_not_prove,next_gate,evidence_category,canonical_weight
evidence.live_delta_readback,.agents/codex/readbacks/2026-06-03_live_delta_reconciliation_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,lane.integration.shared-index,court.seshat_evidence,parallel_order_governance|operational_chain|capability_use_hardening,CLOSED_VERIFIED,live-delta lanes and TGE explicit lane recorded,Microsoft write readiness or Teams scope grant,model_reconciliation_upgrade,SUPPORT,medium
evidence.sublevel_chain_readback,.agents/codex/readbacks/2026-06-03_sublevel_universe_repo_lane_chain_reconciliation_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,lane.integration.shared-index,court.seshat_evidence,Change-Aware 19/19,CLOSED_VERIFIED,sublevel universe repo lane chain reconciled,repo-local agent mappings for every nested repo,model_reconciliation_upgrade,SUPPORT,medium
evidence.change_aware_audit_latest,.agents/codex/evals/results/change_aware_full_coverage_audit_latest.json,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,ALL_REQUIRED,court.sdu_gate,local_run_change_aware_full_coverage_orchestrator.ps1,CLOSED_VERIFIED,19 required tests executed and coverage_equivalence true,external live surfaces are writable,PR55 checks,SUPPORT,high
evidence.github_ci_artifact,change-aware-full-coverage-${run_id},universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,github_actions_ci,court.seshat_evidence,Cabina Validation,CLOSED_VERIFIED,CI can emit sanitized audit artifact,Microsoft or OpenAI live execution,PR55 remote checks,EXTERNAL_REFERENCE,medium
evidence.validator_performance,.agents/codex/readbacks/2026-06-02_validator_performance_improvements_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,validator_performance,court.thot_schema,Change-Aware suite,CLOSED_VERIFIED,cache single-read and diagnostic runner behavior recorded,coverage reduction,keep Change-Aware as productive gate,HISTORICAL,low
evidence.hashset_performance,.agents/codex/readbacks/2026-06-03_validator_hash_set_performance_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,validator_perf.hash_set_membership,court.thot_schema,local validators,CLOSED_VERIFIED,HashSet membership preserves semantics,new live permission,none unless validator drift,SUPPORT,low
evidence.codex_cloud_finalization,.agents/codex/readbacks/2026-06-02_codex_cloud_live_lane_finalization_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,codex_cloud,court.openai_dispatcher,local_validate_codex_cloud_governed_lane.ps1,CLOSED_VERIFIED,target Codex Cloud lanes finalized and OpenAI smoke no body printed,approval for repeat OpenAI API live or codex cloud apply,none in PR55,SUPPORT,medium
evidence.teams_scope_block,.agents/codex/readbacks/2026-06-03_live_delta_reconciliation_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,lane.microsoft.scope,rey.frontier_guardian,teams_cross_repo_lane_audit PASS,BLOCKED_PERMISSION,Teams scope missing Team.ReadBasic.All equivalent,team inventory or message contents,governed consent or exact selected chat/channel,SUPPORT,medium
evidence.cdf_pr23,GitHub PR SeshatSgin/cdf-soluciones#23,SeshatSgin/cdf-soluciones,CDF_SOLUCIONES,lane.cdf,universe.modo_on_tower,remote checks success,CLOSED_VERIFIED,CDF repo lane merged and checks green,Microsoft live write readiness,none unless drift,EXTERNAL_REFERENCE,medium
evidence.tcu_pr171,GitHub PR SeshatSgin/tcu-control-plane#171,SeshatSgin/tcu-control-plane,TCU_CONTROL_PLANE_REFERENCE,lane.tcu.control,court.sdu_gate,remote checks success,CLOSED_VERIFIED,TCU control reference merged and TGU alias not separate repo,TGU repo existence,do not invent TGU repo,EXTERNAL_REFERENCE,medium
