surface,status,classification,action,evidence
terminal_default_profile,READY,CEO_POWERSHELL,set_as_default_profile,.vscode/settings.json
terminal_profile_args,READY,NO_PROFILE_WITH_GOVERNED_ENTER_SCRIPT,run_ceo_ide_terminal_enter,tools/ceo-ide-terminal-enter.ps1
terminal_cwd,READY,CORE_CANONICAL_ROOT,start_in_canonical_workspace,.vscode/settings.json
python_resolution,READY,CEO_VENV_CANONICAL,prepend_venv_scripts_per_terminal_session,tools/ceo-ide-terminal-status.ps1
node_resolution,READY,NODE_CANONICAL_AVAILABLE,observe_no_change,tools/ceo-ide-terminal-status.ps1
codex_resolution,READY,CODEX_CLI_CANONICAL,observe_no_change,tools/ceo-ide-terminal-status.ps1
windowsapps_path,READY,WINDOWSAPPS_BEHIND_RUNTIME,observe_no_global_path_edit,tools/ceo-ide-terminal-status.ps1
codex_desktop_processes,OBSERVED,CODEX_DESKTOP_APP_OBSERVED,no_process_mutation,tools/ceo-ide-terminal-status.ps1
vscode_extension_codex_process,OBSERVED,VSCODE_EXTENSION_RUNTIME_OBSERVED,no_process_mutation,tools/ceo-ide-terminal-status.ps1
task,READY,TERMINAL_STATUS_TASK,invoke_from_vscode_insiders,.vscode/tasks.json
