stage_id,applies_to,lead_agent,owner_agent,reviewer_agent,assignment_source,derivation_source,required_skill_source,required_recipe_source,required_plugin_source,required_tool_source,required_surface_source,required_validator,evidence,allowed_actions,blocked_actions,stop_condition,status
capability_use.session_intake,every_user_order_or_thread_resume,rey.control_plane_orchestrator,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/routing.json,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,intake_capability_chain,classify_order|select_agent|select_skill_recipe_plugin_tool|mark_no_disponible,execution_without_capability_preflight|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.before_local_read,local_file_repo_or_matrix_read,codex.workspace_guardian,codex.workspace_guardian,court.seshat_evidence,.agents/codex/agents.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,read_scope_capability_chain,read_selected_surface|record_source|validate_path,execution_without_capability_preflight|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.before_local_write,local_repo_or_governance_file_write,rey.repo_cartographer,rey.repo_cartographer,court.seshat_evidence,.agents/codex/agents.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,write_scope_capability_chain,edit_allowlisted_artifact|stage_explicit_files|record_rollback,execution_without_capability_preflight|git_add_dot|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.before_live_or_cost,microsoft_openai_api_production_permission_or_cost_surface,rey.frontier_guardian,rey.frontier_guardian,court.sdu_gate,.agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,.agents/codex/matrices/ORDER_CLASS_CAPABILITY_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,governed_order_capability_chain,prepare_order_packet|declare_identity|declare_rollback|declare_postcheck,execution_without_capability_preflight|microsoft_live|openai_api_live|production|secrets|permission_change,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.skill_discovery_assignment,every_task_before_agent_or_repo_selection,rey.control_plane_orchestrator,rey.control_plane_orchestrator,court.thot_schema,.agents/skills/tcu-descubridor-capacidades/SKILL.md,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,skill_discovery_assignment_preflight,discover_capabilities|assign_skill_recipe_plugin_tool|mark_no_disponible|route_autonomous_lane,execution_without_capability_preflight|invented_skill|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.autonomous_execution,local_github_or_codex_cloud_task_scoped_agent_execution,rey.control_plane_orchestrator,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_autonomous_agent_execution.ps1|.agents/codex/tools/local_validate_capability_use_hardening.ps1,autonomous_agent_execution_preflight,prepare_task_scoped_order|dispatch_local_agent|codex_cloud_status|codex_cloud_diff_no_apply|mark_no_disponible_env,execution_without_capability_preflight|autonomous_agent_order_missing|remote_agent_persistence_without_order|microsoft_live|openai_api_live|production|secrets|permission_change,autonomous_agent_order_missing|codex_cloud_environment_missing|capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.codex_environment,codex_app_local_worktree_or_cloud_environment_setup,court.openai_dispatcher,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/CODEX_ENVIRONMENT_CREATION_QUEUE_20260602.csv,.agents/codex/matrices/CODEX_APP_LOCAL_ENVIRONMENT_MATRIX_20260602.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_codex_app_environments.ps1|.agents/codex/tools/local_validate_capability_use_hardening.ps1,codex_environment_preflight,create_codex_app_local_env|prepare_codex_cloud_ui_order|mark_no_disponible_create_tool|validate_no_secrets,execution_without_capability_preflight|codex_environment_without_governed_chain|microsoft_live|openai_api_live|production|secrets|permission_change|tenant_write|codex_cloud_apply_without_review,codex_app_environment_missing|codex_environment_creation_tool_unavailable|capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.standard_agent_chain,codex_cloud_standard_agent_chain_task,rey.control_plane_orchestrator,court.openai_dispatcher,court.sdu_gate,.agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv,.agents/codex/routing.json,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,.agents/codex/readbacks/2026-06-03_standard_agent_chain_activation.md,route_standard_agent_chain|run_agents_sdk_governed|record_readback,execution_without_capability_preflight|ungoverned_openai_api_live|microsoft_live|production|secrets|propagation_without_order,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.agent_derivation,agent_assignment_handoff_or_escalation,rey.control_plane_orchestrator,rey.control_plane_orchestrator,court.seshat_evidence,.agents/codex/routing.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/HANDOFF_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,derivation_capability_chain,assign_agent|declare_reason|declare_scope|handoff_with_evidence,execution_without_capability_preflight|self_approval|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
capability_use.parallel_dispatch,parallel_lane_subagent_or_issue_work,rey.control_plane_orchestrator,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/codex/matrices/PARALLEL_ISSUE_LANE_QUEUE.csv,.agents/codex/skills/SUBSKILL_USAGE_MATRIX.csv,.agents/codex/recipes/SUBRECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,parallel_capability_chain,dispatch_disjoint_lane|set_lock_key|set_owner_reviewer,execution_without_capability_preflight|lane_scope_overlap|microsoft_live|openai_api_live|production|secrets,capability_use_preflight_missing,ACTIVE_REQUIRED
