item,surface,status,evidence,gate,next_step,stop_condition
repo_workspace,repo,VERIFIED,"C:\Users\enzo1\Documents\GitHub\cabina-universal-d; remote https://github.com/universo-rey/cabina-universal-d.git; lane codex/local-tooling-continuity-handoff; start HEAD 6b644a1",none,"continue from repo root only","EXECUTED_LOCAL_VALIDATED"
pre_existing_dirty_state,repo,VERIFIED,".gitignore was dirty before this handoff lane and was not modified by this lane",none,"do not overwrite user-owned .gitignore changes","EXECUTED_LOCAL_VALIDATED"
local_evidence_root,local,VERIFIED,"C:\Users\enzo1\CodexLocal\OPTIMIZACION_PC contains install and validation evidence folders for winget, gcloud, VS Code Insiders, Power Automate Desktop and Executor",none,"use evidence folders before repeating installs","EXECUTED_LOCAL_VALIDATED"
winget_local_apps,local,VERIFIED,"7+TaskbarTweaker, WorkFlowy, GitHub Desktop Beta, LocalFlow 0.2.5, PinAction, Executor, World of Workflows PE and actionlint were installed or reinstalled with local evidence",none,"avoid reinstall unless drift is detected","EXECUTED_LOCAL_VALIDATED"
executor,local,VERIFIED,"Executor was restarted from C:\Program Files\Executor\Executor.exe; no services, registry startup or admin config changed",none,"only change startup/process behavior with explicit item-level gate","EXECUTED_LOCAL_VALIDATED"
google_cloud_cli,cloud-read,VERIFIED,"Google Cloud SDK 571.0.0 installed; gcloud project set to future-surge-346000; read-only describe returned ACTIVE / My First Project",GATE_CLOUD_WRITE,"prepare gate package before enabling APIs or deploying","PENDING_COST_BOUNDARY_ONLY"
gcp_billing_and_apis,cloud-read,VERIFIED,"billingEnabled=false; Cloud Run, Vertex AI, Cloud Build, Artifact Registry, Secret Manager, IAM, Scheduler and Workflows APIs were not enabled at last readback",GATE_COST_BOUNDARY,"define max spend, owner, rollback and postcheck before cloud write","PENDING_COST_BOUNDARY_ONLY"
vscode_insiders,local,VERIFIED,"code-insiders 1.124.0-insider; CLIs validated: git, gh, gcloud, az, m365, pac, terraform, azd, bicep, kubectl, helm, func, go, rust, cmake, node, npm, pnpm, yarn, python, uv, pipx, dotnet",none,"reload VS Code Insiders so PATH/extensions refresh","EXECUTED_LOCAL_VALIDATED"
vscode_extensions,local,VERIFIED,"Insiders extensions increased from 90 to 110; Azure, GCP Cloud Code, Kubernetes, Terraform, Bicep, Go, Rust, CMake, C#, REST Client, EditorConfig, Prettier and ESLint validated",none,"open Insiders and verify UI loads extension set","EXECUTED_LOCAL_VALIDATED"
power_automate_desktop,local,VERIFIED,"Microsoft.PowerAutomateDesktop 2.68.00237.26118 installed by winget; no flow, connector or tenant write executed",GATE_POWER_PLATFORM_APPLY,"create local-only desktop smoke flow without external connectors","EXECUTED_LOCAL_VALIDATED"
live_boundaries,cloud-write,PENDING,"No OpenAI live cost, Microsoft live write, Power Platform apply, production deploy, IAM/tenant/secret write or cloud deploy was executed",GATE_SECRET_USE;GATE_CLOUD_WRITE;GATE_MICROSOFT_LIVE_WRITE;GATE_POWER_PLATFORM_APPLY;GATE_PRODUCTION_DEPLOY,"prepare exact target, owner, rollback, postcheck and max cost before applying","PENDING_APPROVAL_ONLY"
