"skill_id","path","category","source","owner_agent","reviewer_agent","description_status","trigger_keywords","trigger_boundary","allowed_actions","blocked_actions","validator","evidence","stop_condition","quality_status","next_action"
"cabina-agent-md-refactor",".agents/skills/cabina-agent-md-refactor/SKILL.md","governance","d_drive_governed","codex.workspace_guardian|rey.authority_canonist","court.seshat_evidence","PASS","AGENTS.md|instruction","current governed scope","consume_current_object|normalize_prompt|validate_delta|record_evidence","microsoft_live|openai_api_live|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after material instruction change"
"cabina-commit-work",".agents/skills/cabina-commit-work/SKILL.md","ci_cd","d_drive_governed","rey.repo_cartographer|court.seshat_evidence","court.thot_schema","PASS","GitHub|branch","current governed scope","inspect_repo|branch|explicit_stage|commit|push|draft_pr","force_push|production|secrets|permission_change",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after material GitHub lifecycle change"
"cabina-github-actions-templates",".agents/skills/cabina-github-actions-templates/SKILL.md","ci_cd","d_drive_governed","codex.workspace_guardian|court.thot_schema|rey.repo_cartographer","court.seshat_evidence","PASS","GitHub Actions|workflow","current governed scope","review_workflow|align_templates|check_permissions|validate_delta","secrets|deployment|production|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after material workflow change"
"cabina-naming-analyzer",".agents/skills/cabina-naming-analyzer/SKILL.md","quality_review","d_drive_governed","court.thot_schema|rey.governance_registrar","court.seshat_evidence","PASS","canonical naming|alias","current governed scope","compare_ids|register_alias|sync_matrices|validate_stop_condition","orphan_history|unregistered_stop_condition|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after id vocabulary change"
"cabina-session-handoff",".agents/skills/cabina-session-handoff/SKILL.md","runbook","d_drive_governed","court.seshat_evidence","rey.control_plane_orchestrator","PASS","handoff|readback","current governed scope","record_branch_pr_commit|record_validators|name_risks|prepare_next_lanes","unverified_completion|secret_materialization|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after handoff shape change"
"d-drive-agent-layer-enrichment",".agents/skills/d-drive-agent-layer-enrichment/SKILL.md","governance","d_drive_governed","rey.governance_registrar","court.thot_schema","PASS","D-drive|matrices","current governed scope","enrich_matrix|align_recipe|register_skill|prepare_validator","production|secrets|moving_clones|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after D-drive layer enrichment"
"governed-readback-closeout",".agents/skills/governed-readback-closeout/SKILL.md","runbook","d_drive_governed","court.seshat_evidence","rey.authority_canonist","PASS","readback|closeout","current governed scope","record_readback|record_validator|name_risk|declare_next_lanes","unverified_completion|production|secrets|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after closeout contract change"
"matrix-recipe-skill-sync",".agents/skills/matrix-recipe-skill-sync/SKILL.md","governance","d_drive_governed","court.thot_schema","rey.governance_registrar","PASS","matrix|recipe","current governed scope","sync_matrix|sync_recipe|sync_skill|sync_tool|validate_index","invented_tool|production|secrets|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after index synchronization"
"parallel-order-governance",".agents/skills/parallel-order-governance/SKILL.md","runbook","d_drive_governed","rey.control_plane_orchestrator|rey.frontier_guardian","court.sdu_gate","PASS","parallel|order","current governed scope","define_lane|assign_owner|set_lock|prepare_order|validate_scope","lane_scope_overlap|production|secrets|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after parallel lane governance change"
"repo-agent-tool-governance",".agents/skills/repo-agent-tool-governance/SKILL.md","governance","d_drive_governed","rey.authority_canonist","court.thot_schema","PASS","repo|agent","current governed scope","assign_owner|map_surface|declare_tool_boundary|select_recipe|record_evidence","production|secrets|permission_change|unbound_action",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review after repo agent tool governance change"
"rey-modo-evidencia-riesgo-handoff",".agents/skills/rey-modo-evidencia-riesgo-handoff/SKILL.md","runbook","d_drive_governed","court.seshat_evidence","rey.authority_canonist","PASS","evidence|risk","current governed scope","record_evidence|name_risk|declare_rollback|prepare_handoff","production|secrets|operational_chain_missing|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","operational_chain_missing","PASS","review after evidence closeout change"
"rey-modo-gobernador-capacidades",".agents/skills/rey-modo-gobernador-capacidades/SKILL.md","governance","d_drive_governed","rey.control_plane_orchestrator","court.thot_schema","PASS","capability|skill adoption","current governed scope","inspect_catalog|classify_capability|mark_no_disponible|record_decision","invented_skill|duplicate_skill_without_reconciliation|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","capability_use_preflight_missing","PASS","review after skill adoption decision"
"tcu-descubridor-capacidades",".agents/skills/tcu-descubridor-capacidades/SKILL.md","governance","d_drive_governed","rey.control_plane_orchestrator|court.thot_schema","court.sdu_gate","PASS","skill discovery|capability assignment","current governed order","discover_capabilities|assign_skill_recipe_plugin_tool|route_current_scope|record_evidence","invented_skill|production|secrets|remote_agent_persistence_without_order",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","capability_use_preflight_missing","PASS","review after capability routing change"
"tcu-desarrollo-con-subagentes",".agents/skills/tcu-desarrollo-con-subagentes/SKILL.md","parallel_governance","d_drive_governed","rey.control_plane_orchestrator|court.thot_schema","rey.frontier_guardian","PASS","subagent|parallel","current governed scope","split_lanes|assign_owner|declare_lock|fan_in","lane_scope_overlap|production|secrets|permission_expansion",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","lane_scope_overlap","PASS","review after parallel lane change"
"tcu-redactor-planes-operativos",".agents/skills/tcu-redactor-planes-operativos/SKILL.md","planning","d_drive_governed","rey.frontier_guardian|rey.migration_planner","court.sdu_gate","PASS","plan|rollback","current governed scope","define_scope|declare_rollback|declare_postcheck|select_validator","production|permissions|secrets|vague_plan",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","order_packet_missing_required_fields","PASS","review after planning contract change"
"sdu-ejecutor-gates",".agents/skills/sdu-ejecutor-gates/SKILL.md","gate","d_drive_governed","court.sdu_gate","rey.frontier_guardian","PASS","SDU|gate","current governed order","read_canon|decide_outcome|record_evidence|declare_next_lane","simulated_live_evidence|production|secrets|unbound_action",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","operational_chain_missing","PASS","review after gate contract change"
"tcu-harness-evals-agentes",".agents/skills/tcu-harness-evals-agentes/SKILL.md","evals","d_drive_governed","court.thot_schema","court.sdu_gate","PASS","eval|synthetic","current governed scope","run_fixture|emit_result|record_trace|validate_delta","production|secrets|regulated_data_dump|unbound_action",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","runtime_alignment_failed","PASS","review after eval harness change"
"tcu-normalizador-sistema-modo-on",".agents/skills/tcu-normalizador-sistema-modo-on/SKILL.md","microsoft_governance","d_drive_governed","universe.modo_on_tower","rey.frontier_guardian","PASS","MODO_ON|normalization","current governed scope","read_equivalence|classify_surface|prepare_mapping|validate_delta","permission_change|production|secrets|regulated_data_dump",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","microsoft_live_requested_without_governed_order","PASS","review after MODO ON normalization change"
"tcu-planificador-con-archivos",".agents/skills/tcu-planificador-con-archivos/SKILL.md","planning","d_drive_governed","rey.control_plane_orchestrator|rey.migration_planner","court.seshat_evidence","PASS","file planning|progress","current governed scope","create_plan|record_findings|update_progress|close_readback","instruction_precedence_missing|production|secrets|unbound_action",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","instruction_precedence_missing","PASS","review after planning artifact rule change"
"skill-judge",".agents/skills/skill-judge/SKILL.md","quality_review","d_drive_governed","court.thot_schema|codex.workspace_guardian","court.seshat_evidence","PASS","skill review|SKILL.md","current governed scope","review_skill|classify_integration|detect_duplicate|propose_revision","duplicate_skill_without_reconciliation|weaken_root_canon|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","skill_metadata_missing_or_ambiguous","PASS","review before external skill adoption"
"dataverse-metadata-only-provisioning",".agents/skills/dataverse-metadata-only-provisioning/SKILL.md","dataverse_governance","d_drive_governed","rey.frontier_guardian|court.sdu_gate","court.thot_schema","PASS","Dataverse DEV|metadata","exact target governed order","validate_manifest|prepare_seed|record_postcheck|block_wrong_environment","prod|test|default|production|secrets|flow_activation",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","wrong_environment_or_default","PASS","review after Dataverse metadata gate change"
"agent-retrospective-learning",".agents/skills/agent-retrospective-learning/SKILL.md","retrospective","d_drive_governed","court.seshat_evidence|rey.control_plane_orchestrator","codex.workspace_guardian","PASS","retrospective|learning","current governed scope","read_sources|extract_candidates|canonize_non_duplicate|validate|open_pr","production|secrets|regulated_data_dump|unbound_action",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","retrospective_source_missing","PASS","review after retrospective package change"
"dataverse-workqueue-backreference-mapping",".agents/skills/dataverse-workqueue-backreference-mapping/SKILL.md","runtime_safety","d_drive_governed","rey.frontier_guardian|court.sdu_gate","court.thot_schema","PASS","backreference|Work Queue","exact target governed order","extract_keys|search_exact|create_mapping_evidence|block_inferred_effect","target_guess|prod|test|default|production|secrets",".agents/codex/tools/local_validate_skill_metadata.ps1","skill_metadata_result","candidate_count_not_one","PASS","review after backreference rule change"
