surface,kind,status,evidence,next_delta,live_confirmed
thread_packets_5_plus_1,prepared_packets,USED_AND_SUPERSEDED_BY_FAN_IN,operativa/thread-packets-20260617;operativa/THREAD_FAN_IN_FINAL_5_PLUS_1_20260617.csv,delta_normalize_pending_after_packages_router_cloud_review,true
codex_cloud_smoke_task,prepared_prompt,READY_FOR_CODEX_CLOUD_UI,operativa/CODEX_CLOUD_SMOKE_TASK_20260617.md,delta_capture_codex_cloud_ui_smoke_result_if_owner_runs_external_task,false
codex_root,root_repo,CLEAN_MAIN_NO_PR,C:/Users/enzo1/.codex;operativa/ROOT_REPOS_AGENTS_CODEX_REVIEW_20260617.csv,none,true
agents_root,root_repo,PR_DRAFT_READY,C:/Users/enzo1/.agents;https://github.com/universo-rey/agents-root/pull/1,pr_review_or_merge_when_owner_orders,true
router_surface,distributed_capability,REVIEWED_NO_STANDALONE_REPO,".codex skills;.agents rey-modo-codex-routing;cabina local-agent-bridge router;cdf team_router",delta_normalize_pending_after_packages_router_cloud_review,true
cabina_universal_d,repo_pr,PR_158_DRAFT_CLEAN_AND_PR_155_DIRTY_HISTORICAL,https://github.com/universo-rey/cabina-universal-d/pull/158,pr_review_or_merge_when_owner_orders,true
sdu_canon,repo_pr,PR_22_DRAFT_CLEAN,https://github.com/SeshatSgin/sdu-canon/pull/22,pr_review_or_merge_when_owner_orders,true
cdf_soluciones,repo_pr,PR_28_DRAFT_CLEAN,https://github.com/SeshatSgin/cdf-soluciones/pull/28,pr_review_or_merge_when_owner_orders,true
microsoft_agents_governed_lab,repo_pr,PR_14_DRAFT_CLEAN_DEPENDABOT_OUT_OF_LANE,https://github.com/universo-rey/microsoft-agents-governed-lab/pull/14,pr_review_or_merge_when_owner_orders,true
tcu_agentic_runtime_control,repo_pr,PR_9_DRAFT_CLEAN,https://github.com/SeshatSgin/tcu-agentic-runtime-control/pull/9,pr_review_or_merge_when_owner_orders,true
tge_agentic_runtime_control_escribania,repo_pr,PR_11_DRAFT_CLEAN,https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania/pull/11,pr_review_or_merge_when_owner_orders,true
Sgin,repo,NO_OPEN_PR_LOCAL_DIRTY_README_TORRES,operativa/READBACK_SESHAT_SGIN_AMBIGUOUS_CONTENT_20260617.md,delta_sgin_package_decision_if_owner_orders,true
sgin_cloud,repo,REPO_VISIBLE_DOCUMENTAL_CLOUD_FOUNDATION_NO_OPEN_PR,https://github.com/SeshatSgin/sgin-cloud,delta_sgin_cloud_review_if_owner_orders,true
codex_cloud_env_projec_cdx,cloud_env_evidence,LOCAL_PASS_CLOUD_UI_EXTERNAL,operativa/READBACK_CODEX_CLOUD_SDK_LAUNCH_20260617.md;operativa/SETUP_APERTURA_CODEX_UI.md,delta_capture_codex_cloud_ui_smoke_result_if_owner_runs_external_task,false
legacy_evolutionary_zips,package_files,AVAILABLE_HISTORICAL,packages/codex_evolutionary_blueprint_package.zip;packages/codex_evolutionary_runtime_activation_v2.zip,review_only_if_needed,true
