task_id,phase,agent,scope,current_surface,target_surface,action,write_allowed,validation,stop_condition,status
RST-00,precheck,codex.workspace_guardian,repo-state,root,root,"capturar estado git y no mezclar dirty previo",false,"git status --short; git diff --check","dirty no clasificado o conflicto con archivos existentes",READY
RST-01,front-door,thot-tecnico,entrypoints,"README.md; README_CORTO.md; MAPA_MAESTRO.md; MAPA_CORTO.md; MAPA_CAPAS.md","README.md; MAPA_MAESTRO.md; MAPA_CAPAS.md","definir puerta corta, mapa maestro y mapa de capas sin duplicar detalle",true,"Test-Path enlaces principales; python -m tools.validate","perdida de enlaces vivos o metadata invalida",APPLIED_LOCAL_ONLY
RST-02,canon-live,seshat-normativa,operativa,"operativa/","operativa/","separar canon vivo/readbacks finales de colas, eventos y evidencias intermedias",true,"conteo por tipo; metadata validate","readback final mezclado con staging o runtime temporal",APPLIED_LOCAL_ONLY
RST-03,runtime-cabina,thot-tecnico,".cabina runtime",".cabina/organizacion-total",".cabina/organizacion-total","dejar .cabina como runtime/VS Code/sistema nervioso y no como segundo repositorio documental",true,"validar json/yaml/workspace; git diff --check","creacion de nueva raiz o duplicacion de operativa",READY
RST-04,organismo-vivo,maat-cumplimiento,paquete-sdu,"SDU_ORGANISMO_VIVO_PACKAGE_20260623_REVISADO.zip",".cabina/organizacion-total/organismo-vivo","absorber lenguaje, politica de datos y constitucion sin crear SDU_RUNTIME_ROOT",true,"Test-Path destino; no SDU_RUNTIME_ROOT nuevo","script bootstrap literal o raiz paralela",APPLIED_LOCAL_ONLY
RST-05,staging-out,horus-riesgo,".cabina out",".cabina/organizacion-total/evidence; .cabina/organizacion-total/archive; .cabina/organizacion-total/backups","clasificar y reubicar por familias sin borrar; manifest obligatorio",false,"manifest exists; out has zero files; git diff --check","salida lista para canon sin owner o evidencia duplicada",APPLIED_LOCAL_ONLY
RST-06,history,historian-seshat,hitos,"hitos/","hitos/","mantener historia versionada fuera del frente visible; solo actualizar indice si hace falta",false,"Test-Path hitos/INDICE_MAESTRO.md","mover historia o romper paquetes versionados",READY
RST-07,generated-outputs,horus-riesgo,outputs,"outputs/","outputs/","degradar outputs a historico generado; no enlazar como frente salvo evidencia vigente",false,"conteo outputs; links desde MAPA solo a indices","outputs historicos confundidos con canon vivo",READY
RST-08,scratch,anubis-gate,work,"work/; .tmp_sdu_org_total; backups previous","work/","marcar scratch/backups como no canon y preparar politica de retencion",false,"inventario de backups; no borrar","borrado sin backup o sin owner",READY
RST-09,tooling,codex.workspace_guardian,"src/tools/tests","src/; tools/; tests/","src/; tools/; tests/","mantener motor tecnico separado de documentos y validar comandos canonicos",true,"python -m tools.validate; pytest; git diff --check","cambio funcional fuera del delta de navegacion",READY
RST-10,route-identity,anubis-gate,rutas,"C:/CEO/project-cdx; C:/Users/enzo1/PROJEC CDX; C:/CEO/repos",".codex config; VS Code workspace","normalizar documentacion corta; dejar C:/CEO/repos y Machine ENV como owner-gate",false,"Test-Path rutas; Get-Item junction","doble workspace activo o reanclaje no autorizado",PARTIAL_LOCAL_ONLY
RST-11,metadata-index,maat-cumplimiento,metadata,"schema.json; index.json; live-manifest.json","metadata repo","revalidar metadatos y reconstruir indice solo si el delta modifica artefactos indexados",true,"python -m tools.validate; python -m tools.build_index","index stale o artifact_id duplicado",READY
RST-12,closeout,narrador-normativo,cierre,"operativa/readback","operativa/READBACK_ROOT_SURFACE_CONVERGENCE_20260623.md","emitir cierre con decisiones, archivos tocados, excluidos y proximo delta",true,"sentinel scan/check; pytest; git status --short","drift no explicado o cambios fuera de alcance",READY
