decision_id,finding_id,source_record,decision,decision_owner,action,target_artifact,gate_required,validator,postcheck,rollback,status,stop_condition
D001,F001,operational.rey.repo_cartographer,KEEP_GATED,rey.repo_cartographer,Do not execute GitHub writes without explicit repo write scope,.agents/codex/matrices/AGENTS_GLOBAL_OPERABILITY_INVENTORY_20260605.csv,GATE_REMOTE_GIT_MUTATION,.agents/codex/tools/local_validate_github_automation_preflight.ps1,confirm no GitHub write occurred,close PR or revert commit if versioned,DECIDED,github_order_missing_checks
D002,F002,operational.court.openai_dispatcher,RETAIN_BOUNDARY,court.openai_dispatcher,Treat OpenAI and Agents SDK as runtime tools not authority,AGENTS.md|MANIFEST.yaml,GATE_OPENAI_LIVE,.agents/codex/tools/local_validate_capability_use_hardening.ps1,confirm no authority source moved to runtime,restore prior authority wording,DECIDED,openai_api_live_requested_without_order
D003,F003,operational.universe.escribania_tower,REQUIRE_LIVE_GATE,universe.escribania_tower,Block Microsoft live writes until target owner rollback postcheck and evidence exist,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,GATE_MICROSOFT_LIVE_WRITE,.agents/codex/tools/local_validate_capability_use_hardening.ps1,confirm no Microsoft live write occurred,close live gate without execution,DECIDED,microsoft_live_requested_without_governed_order
D004,F004,operational.universe.modo_on_tower,RETAIN_BOUNDARY,universe.modo_on_tower,Keep MODO_ON provider surfaces separate from ESCRIBANIA surfaces,.agents/codex/matrices/REPO_AUTHORITY_GRAPH_20260603.csv,GATE_REPO_NATIVE_WRITE,.agents/codex/tools/local_validate_agent_layer.ps1,confirm no universe boundary merge,restore previous repo authority graph,DECIDED,microsoft_live_requested_without_governed_order
D005,F005,operational.court.sdu_gate,REQUIRE_HUMAN_GATE,court.sdu_gate,Disallow self approval for live or production gates,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,GATE_PRODUCTION_DEPLOY,.agents/codex/tools/local_validate_order_packets.ps1,confirm human gate is explicit,close or revert unauthorized order packet,DECIDED,order_packet_missing_required_fields
D006,F006,operational.tech.reference_librarian,RETAIN_BOUNDARY,tech.reference_librarian,Keep technical references non-authoritative,.agents/codex/matrices/SKILL_REFERENCE_SOURCE_MATRIX.csv,none,.agents/codex/tools/local_validate_skill_reference_sources.ps1,confirm references remain non-canon,restore prior source classification,DECIDED,source_reference_treated_as_canon
D007,F007,operational.codex.workspace_guardian,EXECUTE_ON_NEXT_LANE,codex.workspace_guardian,Use effective root or clean worktree before any repo write,AGENTS.md,none,.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1,confirm root branch and dirty state in readback,no write rollback needed,DECIDED,nested_repo_absorption_risk
D008,F008,operational.rey.migration_planner,REQUIRE_WORKTREE_GATE,rey.migration_planner,Block clone movement until migration inventory origin destination rollback and postcheck exist,governance/canon/CABINA_PROCESS_RESCUE_MULTI_REPO_FRAMEWORK_20260605.md,GATE_WORKTREE_METADATA,.agents/codex/tools/local_validate_repo_topology_windows_default.ps1,confirm no clone move occurred,restore original worktree topology,DECIDED,nested_repo_absorption_risk
D009,F009,subagent.readonly_scout,EXECUTE_ON_NEXT_LANE,rey.control_plane_orchestrator,Require lane fields before readonly scout dispatch,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,none,.agents/codex/tools/local_validate_parallel_order_governance.ps1,confirm lane fields declared,no write rollback needed,DECIDED,parallel_lane_without_validator
D010,F010,subagent.matrix_auditor,EXECUTE_ON_NEXT_LANE,court.thot_schema,Require disjoint file sets before write-capable matrix audit,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,none,.agents/codex/tools/local_validate_parallel_order_governance.ps1,confirm no lane overlap,serialize affected lane,DECIDED,lane_scope_overlap
D011,F011,subagent.skill_recipe_auditor,KEEP_GATED,court.openai_dispatcher,Require explicit no-api-live boundary before skill recipe auditor dispatch,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,GATE_OPENAI_LIVE,.agents/codex/tools/local_validate_parallel_order_governance.ps1,confirm no API live call in audit,close live gate without execution,DECIDED,openai_api_live_requested_without_order
D012,F012,subagent.order_packet_preparer,EXECUTE_ON_NEXT_LANE,rey.frontier_guardian,Require owner rollback and postcheck before executable order packet preparation,.agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,none,.agents/codex/tools/local_validate_order_packets.ps1,confirm owner rollback postcheck fields,no write rollback needed,DECIDED,order_packet_missing_required_fields
D013,F013,subagent.integration_reviewer,SERIALIZE,court.seshat_evidence,Keep shared-index integration serial,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,none,.agents/codex/tools/local_validate_parallel_order_governance.ps1,confirm shared index changes are serialized,revert conflicting shared-index commit,DECIDED,lane_scope_overlap
