layer_id,component,surface,status,evidence,risk,gate,next_action,validator,stop_condition
vsi.install,VS Code Insiders install,local,VERIFIED,"code-insiders path C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin\code-insiders.cmd; version 1.124.0-insider",low,none,"use VSI as primary local editor for cabina work","code-insiders --version",EXECUTED_LOCAL_VALIDATED
vsi.user_data,User data directory,local,VERIFIED,"C:\Users\enzo1\AppData\Roaming\Code - Insiders exists; user settings exists; key inventory captured without values",medium,GATE_SECRET_USE,"do not copy raw settings; keep sanitized key-only inventory","user-config-key-inventory-sanitized.json",EXECUTED_LOCAL_VALIDATED
vsi.extensions,Extension runtime,local,VERIFIED,"113 extensions detected after recent installs; Azure, GCP Cloud Code, Kubernetes, Terraform, Go, Rust, CMake, CSharp, Python, Jupyter, GitHub, Power Platform, Teams, OpenAI and agent-related groups present",medium,none,"group extensions by work lane before enabling live actions","code-insiders --list-extensions --show-versions",EXECUTED_LOCAL_VALIDATED
vsi.processes,Running Code processes,local,VERIFIED,"37 Code-related processes observed during cartography",medium,GATE_DESTRUCTIVE_ACTION,"do not close or restart processes without explicit approval if unsaved work may exist","process-inventory.json",PENDING_APPROVAL_ONLY
vsi.global_storage,globalStorage,local,VERIFIED,"C:\Users\enzo1\AppData\Roaming\Code - Insiders\User\globalStorage has 7486 files and about 1.13 GB",medium,GATE_DESTRUCTIVE_ACTION,"review extension storage owners before cleanup; no deletion executed","storage-inventory.json",PENDING_APPROVAL_ONLY
vsi.workspace_storage,workspaceStorage,local,VERIFIED,"C:\Users\enzo1\AppData\Roaming\Code - Insiders\User\workspaceStorage has 765 files and about 115.65 MB",low,GATE_DESTRUCTIVE_ACTION,"optional cleanup only after mapping active workspaces; no deletion executed","storage-inventory.json",PENDING_APPROVAL_ONLY
vsi.history,History,local,VERIFIED,"C:\Users\enzo1\AppData\Roaming\Code - Insiders\User\History has 49 files and about 610 KB",low,GATE_DESTRUCTIVE_ACTION,"preserve by default; may contain local editing recovery context","storage-inventory.json",EXECUTED_LOCAL_VALIDATED
vsi.profiles,Profiles,local,VERIFIED,"C:\Users\enzo1\AppData\Roaming\Code - Insiders\User\profiles has 3 files and about 590 KB",low,none,"map profile names only if needed; do not export full profile data blindly","storage-inventory.json",EXECUTED_LOCAL_VALIDATED
vsi.cli_bridge,CLI bridge for workbench,local,VERIFIED,"with process-only PATH activation, 26 expected CLIs were available and none missing",low,none,"open a fresh terminal or apply process-only PATH recipe before agent/cloud/dev work","cli-integration-inventory.json",EXECUTED_LOCAL_VALIDATED
vsi.gcp_bridge,Google Cloud integration,cloud-read,VERIFIED,"gcloud available after process PATH activation; project previously set to future-surge-346000; no cloud write executed",medium,GATE_COST_BOUNDARY;GATE_CLOUD_WRITE;GATE_SECRET_USE,"prepare Cloud Run or agent package locally before enabling APIs or deploying","gcloud --version; gcloud config get-value project",PENDING_COST_BOUNDARY_ONLY
vsi.azure_microsoft_bridge,Azure Microsoft Power Platform bridge,Microsoft live,VERIFIED,"Azure, Power Platform and Teams extensions and CLIs are present; no tenant write executed",high,GATE_MICROSOFT_LIVE_WRITE;GATE_POWER_PLATFORM_APPLY;GATE_TENANT_IDENTITY,"limit to read-only inventory or dry run until target owner rollback and postcheck exist","az/m365/pac read-only checks",PENDING_APPROVAL_ONLY
vsi.github_bridge,GitHub bridge,GitHub PR,VERIFIED,"GitHub CLI, GitHub extensions and actionlint are available; this cartography did not push or open PR",low,GATE_REMOTE_GIT_MUTATION,"commit locally; push PR only on approved repo-scoped carril","git diff --check; actionlint when workflows change",READY_FOR_PR_CREATE
vsi.security_boundary,Secrets and sensitive config,governance,VERIFIED,"settings values were not captured; raw storage was not copied; no tokens printed; no browser/session files touched",high,GATE_SECRET_USE,"keep future cartography sanitized unless explicit secret gate exists","secret_hit_count from local validators",EXECUTED_LOCAL_VALIDATED
