agent_id,github_surface,issue_template,pr_template,copilot_instruction_policy,allowed_github_actions,blocked_actions,github_agent_status,validator,stop_condition
rey.control_plane_orchestrator,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,triage|classify|branch|commit|push|draft_pr|pr_review|merge_when_approved_prechecked,merge_without_approved_precheck|force_push|permission_change|production|secrets,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,github_agent_task_without_surface
rey.frontier_guardian,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,boundary_review|stop_condition_review|approval_packet,approving_own_production|live_execution|permission_change,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,missing_rollback_or_postcheck_for_live
rey.governance_registrar,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,registry_update|matrix_review|branch|commit|push|draft_pr,repo_absorption|production|secrets,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,registry_without_owner
rey.authority_canonist,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,canon_review|order_draft|branch|commit|push|draft_pr,legal_finalization|merge_without_order|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,authority_conflict
rey.repo_cartographer,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,repo_inventory|branch|commit|push|draft_pr|pr_readback,move_clones|force_push|delete_branch|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,repo_remote_ambiguous
rey.migration_planner,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,migration_plan|rollback_plan|branch|commit|push|draft_pr,moving_assets_without_order|production|secrets,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,migration_without_rollback
court.openai_dispatcher,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,prompt_pack|synthetic_eval_plan|branch|commit|push|draft_pr,openai_api_live|remote_agent_outside_github|cost|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,openai_live_without_order
court.seshat_evidence,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,evidence_readback|acta_draft|branch|commit|push|draft_pr,fabricating_evidence|external_record_write|secrets,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,evidence_source_missing
court.sdu_gate,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,boundary_decision|escalation|branch|commit|push|draft_pr,live_execution|self_approval_for_production|permissions,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,approval_surface_missing
court.thot_schema,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,schema_matrix_validator_draft|branch|commit|push|draft_pr,tool_live_execution|schema_overwrite_without_readback|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,schema_source_conflict
tech.reference_librarian,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,reference_compare|docs_linkage|branch|commit|push|draft_pr,reference_as_canon|vendor_live_execution|secrets,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,reference_confused_with_canon
codex.workspace_guardian,github_issues_prs,.github/ISSUE_TEMPLATE/agent-task.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,workspace_audit|instructions_review|branch|commit|push|draft_pr,global_config_write|secret_read|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,workspace_boundary_unclear
universe.escribania_tower,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,tge_plan|sharepoint_order_draft|branch|commit|push|draft_pr,tenant_write|regulated_data_broad_read|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,regulated_boundary_unclear
universe.modo_on_tower,github_issues_prs,.github/ISSUE_TEMPLATE/runtime-approval.yml,.github/PULL_REQUEST_TEMPLATE.md,.github/copilot-instructions.md,provider_boundary|modo_on_plan|branch|commit|push|draft_pr,provider_control_without_trace|tenant_write|production,APPROVED_GITHUB_AGENT_SURFACE,tool.local_validate_agent_layer,provider_boundary_unclear
