group_id,extension_count,total_size_mb,top_extensions,primary_surface,risk,gate,next_action,stop_condition
agent_ai,33,1080.42,"openai.chatgpt; pixelpilotailabs.pixelpilot-copilot; luizbon.vscode-agent-manager; jakesterns.agent-skills-vscode; ramakrishnanr.copilot-agent-tools; llong.multi-agents; tanshiyong.opencode-gui; msayedshokry.agileagentcanvas",local_ai_ui_and_possible_live_agents,medium,GATE_OPENAI_LIVE;GATE_AGENTS_SDK_LIVE;GATE_SECRET_USE,"classify which are local UI helpers vs live/cost-capable agent runtimes before activation",PENDING_APPROVAL_ONLY
azure,8,577.38,"ms-azuretools.vscode-azure-github-copilot; ms-azuretools.vscode-bicep; ms-azuretools.vscode-azure-mcp-server; ms-azuretools.vscode-azurefunctions; ms-vscode.azurecli; ms-vscode.azure-account; ms-azuretools.vscode-containers; ms-azuretools.vscode-azureresourcegroups",azure_cloud_tooling,high,GATE_CLOUD_WRITE;GATE_COST_BOUNDARY;GATE_SECRET_USE,"use for local authoring/read-only only until Azure target and cost boundary exist",PENDING_APPROVAL_ONLY
google_cloud,3,673.40,"googlecloudtools.cloudcode; google.geminicodeassist; googlecloudtools.datacloud",gcp_tooling,high,GATE_CLOUD_WRITE;GATE_COST_BOUNDARY;GATE_SECRET_USE,"connect to local GCP package lane; no API enable or deploy from VSI without gate",PENDING_COST_BOUNDARY_ONLY
microsoft_365_power,14,519.75,"microsoft-isvexptools.powerplatform-vscode; m365pnp.viva-connections-toolkit; teamsdevapp.ms-teams-vscode-extension; docsmsft.docs-scaffolding; docsmsft.docs-images; cweijan.vscode-office; s-kainet.sharepoint-typed-item; docsmsft.docs-preview",microsoft_365_power_platform,high,GATE_MICROSOFT_LIVE_WRITE;GATE_POWER_PLATFORM_APPLY;GATE_TENANT_IDENTITY,"keep as authoring/read-only/dry-run surface until exact tenant target owner rollback and postcheck exist",PENDING_TARGET_ONLY
dev_runtime,9,811.53,"ms-dotnettools.csharp; ms-vscode.cpptools; ms-dotnettools.csdevkit; rust-lang.rust-analyzer; ms-vscode.cmake-tools; ms-dotnettools.vscode-dotnet-runtime; golang.go; ms-vscode.makefile-tools",local_development,low,none,"use for local tests and package builds before deploy",EXECUTED_LOCAL_VALIDATED
python_data,9,210.29,"ms-python.vscode-pylance; ms-python.debugpy; ms-python.python; ms-toolsai.jupyter-renderers; ms-toolsai.jupyter; ms-python.vscode-python-envs; ms-toolsai.vscode-jupyter-cell-tags; ms-toolsai.vscode-jupyter-slideshow",local_python_data,medium,GATE_DATA_REGULATED,"keep notebooks/data work local and bounded unless data gate exists",EXECUTED_LOCAL_VALIDATED
github,6,65.89,"github.codespaces; eamodio.gitlens; github.vscode-codeql; github.vscode-github-actions; github.vscode-pull-request-github; sbluemin.github-copilot-cli-agents",github_repo_pr_security,medium,GATE_REMOTE_GIT_MUTATION,"use for local review/checks; push and PR only on approved repo lane",READY_FOR_PR_CREATE
remote_container_k8s,5,20.93,"ms-kubernetes-tools.vscode-kubernetes-tools; ms-vscode-remote.remote-containers; ms-vscode-remote.remote-ssh; ms-vscode.remote-explorer; ms-vscode-remote.remote-ssh-edit",remote_container_kubernetes,high,GATE_CLOUD_WRITE;GATE_ADMIN_PERMISSION,"do not attach to clusters/remote hosts without exact target and owner",PENDING_TARGET_ONLY
docs_knowledge,9,325.97,"marp-team.marp-vscode; hediet.vscode-drawio; shd101wyy.markdown-preview-enhanced; bierner.markdown-mermaid; tomoki1207.pdf; redhat.vscode-yaml; mechatroner.rainbow-csv; yzhang.markdown-all-in-one",docs_and_knowledge_work,low,none,"use for local docs, diagrams, matrices and readbacks",EXECUTED_LOCAL_VALIDATED
iac,1,41.05,"hashicorp.terraform",infrastructure_as_code,high,GATE_CLOUD_WRITE;GATE_COST_BOUNDARY;GATE_SECRET_USE,"author and validate locally only; no apply without gate",PENDING_APPROVAL_ONLY
general,16,373.17,"ms-vscode.powershell; vsls-contrib.codetour; esbenp.prettier-vscode; streetsidesoftware.code-spell-checker; d-biehl.robotcode; ms-sarifvscode.sarif-viewer; humao.rest-client; eliostruyf.spfx-snippets",general_editor_support,low,none,"keep as support layer; review only if performance issue appears",EXECUTED_LOCAL_VALIDATED
