"item_id","surface","classification","status","action","owner","evidence","rollback","stop_condition","notes"
"01_runtime","repo","RUNNER_CANON","ACTIVE_CANON","keep","thot_schema","operativa/CABINA_IDE_RUNNER_COMMAND_INDEX_20260622.csv","none","runner missing","Python venv, pytest, sentinel, metadata runners"
"02_agent_chain","repo","CANON_VERSIONABLE","ACTIVE_CANON","keep","rey.control_plane_orchestrator","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","none","agent without lane","W3 assigns lanes"
"03_repos","workspace","DEFERRED_WITH_REASON","NO_CHILD_REPO_IN_WORKSPACE","no_write","rey.repo_cartographer","operativa/W1_W2_CHILD_REPO_DIRTY_DECISION_MATRIX_20260622.csv","none","child repo dirty inside workspace","No nested .git directories found in PROJEC CDX root"
"04_codex_memory",".codex","RUNTIME_MEMORY_DO_NOT_TOUCH","GATED","no_mutation","codex.workspace_guardian","operativa/W1_W2_CODEX_MEMORY_BOUNDARY_MATRIX_20260622.csv","not_applicable","request to mutate cache/db/workspaceStorage without gate","Local config visible, memory/cache not cleaned"
"05_commands_runners","tools","RUNNER_CANON","ACTIVE_CANON","keep","codex.workspace_guardian","tools/cabina/Invoke-CabinaGovernancePrecheck.ps1","revert runner commit","precheck fails","Fixed IDE runner is mandatory precheck"
"06_skills_recipes_plugins","skills/plugins/recipes","CANON_VERSIONABLE","ACTIVE_CANON_WITH_PLUGIN_REFERENCE","keep_matrix","court.maat_governance","operativa/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4","skill without source/gate","W4 closed"
"07_connectors","connectors","CONNECTOR_GATED_ON_DEMAND","GATED_ON_DEMAND","no_live","anubis.frontier_guardian","operativa/W0_IDE_NERVOUS_SYSTEM_CONNECTORS_20260622.csv","not_applicable","live write requested without gate","W5 will classify on-demand"
"08_metadata_evidence","operativa/docs/index","CANON_VERSIONABLE","ACTIVE_CANON","validate","court.seshat_evidence","python -m tools.validate","revert bad artifact","metadata invalid","76 metadata valid after command repair"
".agent",".agent","LOCAL_OVERLAY_IGNORED","DO_NOT_PROMOTE_BY_DEFAULT","ignore_unless_targeted","codex.workspace_guardian",".agent/schemas-location.md","none","overlay promoted without owner","Technical overlay; no mutation"
".agents",".agents","LOCAL_OVERLAY_IGNORED","REFERENCE_ONLY","no_mutation","rey.control_plane_orchestrator","inventarios/SKILLS_UNIFIED_TABLE.csv","none","global agent layer mutated from repo lane","Use as source/reference only"
".vscode",".vscode","IDE_NOISE","LOCAL_CONFIG","no_mutation","codex.workspace_guardian","operativa/CABINA_IDE_RUNNER_COMMAND_INDEX_20260622.csv","restore settings if changed","settings mutation without gate","IDE local config"
".github/agents_skills",".github","LOCAL_OVERLAY_IGNORED","REFERENCE_ONLY","no_mutation","court.sdu_gate","W4 matrices","none","agent overlay treated as live runtime","Repo assistant overlays only"
"node_modules","node_modules","SCRATCH","IGNORED","do_not_version","codex.workspace_guardian",".gitignore","reinstall if needed","manual edit in dependencies","Junction/cache dependency surface"
"outputs","outputs","ARCHIVE_REFERENCE","FINAL_EVIDENCE_ONLY","version_only_final_artifacts","court.seshat_evidence","outputs maps","remove generated previews","preview/tmp promoted","Outputs are generated/evidence gated"
