source_path,matched_columns,total_rows,version_origin_mismatches,missing_source_paths,decision,status
inventarios/PLANNER_TASKS_SANITIZED_COUNTS_20260616.csv,evidence,24,0,0,no_action_required,CLOSED_LOCAL
inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv,evidence,13,0,0,no_action_required,CLOSED_LOCAL
inventarios/WORKBENCH_COMPLETION_GAPS_20260617.csv,evidence,33,0,0,no_action_required,CLOSED_LOCAL
operativa/archive/legacy-root/20260622/BOUNDARY_MATRIX_RECONCILIATION_20260622.csv,source_path,14,0,2,missing_paths_are_archived_reference_patterns,CLOSED_LOCAL_WITH_WARNINGS
operativa/archive/legacy-root/20260622/CHANGE_AWARE_EVIDENCE_FRESHNESS_20260622.csv,source_path,5,0,3,missing_paths_are_declared_absent_artifacts,CLOSED_LOCAL_WITH_WARNINGS
operativa/archive/legacy-root/20260622/DATAVERSE_RUNTIME_REGISTRY_CARDINALITY_20260622.csv,source_path,6,0,3,missing_paths_are_declared_absent_apply_path,CLOSED_LOCAL_WITH_WARNINGS
operativa/archive/legacy-root/20260622/GITHUB_ISSUE_PREP_GATE_FIX_20260622.csv,source_path,5,0,4,missing_paths_are_external_repo_artifacts,BLOCKED_WITH_GATE_PACKET
operativa/archive/legacy-root/20260622/PR130_CONSTITUTION_DRIFT_MATRIX_20260622.csv,source_path,5,0,3,missing_paths_are_external_repo_artifacts,BLOCKED_WITH_GATE_PACKET
operativa/archive/legacy-root/20260622/PROJEC_CDX_CI_DEPENDABOT_HYGIENE_20260622.csv,source_path,6,0,2,workflow_source_paths_partly_external_or_conceptual,CLOSED_LOCAL_WITH_WARNINGS
operativa/archive/legacy-root/20260622/SECRET_SAFE_EXCEPTION_CODE_HARDENING_V1_20260622.csv,source_path,6,0,0,no_action_required,CLOSED_LOCAL
hitos/20260617-maximo-estado-real-superficies-v1/FAN_IN_AGENTES_MAXIMO_ESTADO_REAL_20260617.csv,evidence,6,0,0,no_action_required,CLOSED_LOCAL
hitos/20260617-microsoft-sgin-hitos-documental-v1/CONSOLIDACION.csv,evidence,8,0,0,no_action_required,CLOSED_LOCAL
