control_id,surface,extension_id,observed_state,local_evidence,allowed_now,blocked_without_gate,gate,owner_agent,reviewer_agent,validator,rollback,postcheck,stop_condition,status
aac.extension.installation,vscode_insiders_extension,msayedshokry.agileagentcanvas@0.5.2,INSTALLED,"code-insiders --list-extensions --show-versions; local package.json",local_inventory|open_canvas_ui|read_manifest,uninstall_or_upgrade_without_scope,none,codex.workspace_guardian,court.seshat_evidence,npm test --prefix local-agent-bridge|local_validate_agent_layer.ps1,revert_matrix_and_settings_commit,confirm_extension_still_installed_or_unmodified,extension_state_unverified,EXECUTED_LOCAL_VALIDATED
aac.canvas.local_planning,visual_canvas,agileagentcanvas.openCanvas,AVAILABLE_LOCAL_UI,package_json_commands,open_canvas|new_project_in_workspace|load_existing_project,auto_sync_unreviewed_artifacts|external_publish,none,codex.workspace_guardian,court.seshat_evidence,npm test --prefix local-agent-bridge,close_canvas_without_writes_or_revert_artifacts,confirm_no_live_executed,canvas_artifact_scope_missing,READY_LOCAL_GOVERNED
aac.workspace_settings,workspace_settings,.vscode/settings.json,CONTROL_APPLIED,"autoSync=false; outputFolder=.agileagentcanvas-context; graphify auto false; codeburn false",local_settings_guardrail,global_user_setting_change|api_key|jira_token|skill_repo_clone,GATE_SECRET_USE|GATE_LIVE_WRITE,codex.workspace_guardian,rey.frontier_guardian,git diff --check|local_validate_agent_layer.ps1,git revert settings change,confirm_no_secret_or_global_config_write,workspace_setting_drift,EXECUTED_LOCAL_VALIDATED
aac.chat_participant,copilot_chat_participant,@agileagentcanvas,AVAILABLE_IN_MANIFEST,package_json_chatParticipants,manual_prompt_help|manual_local_planning,openai_api_live|copilot_live_payload_with_sensitive_data|production_plan_as_action,GATE_OPENAI_LIVE|GATE_DATA_REGULATED,court.openai_dispatcher,rey.frontier_guardian,local_validate_capability_use_hardening.ps1,stop_chat_flow_no_repo_write,confirm_no_api_key_or_sensitive_payload,openai_api_live_requested_without_order,READY_FOR_MANUAL_LOCAL_USE
aac.lm_tools_read,language_model_tools_read,"read_file|list_directory|codebase_search|artifact_query",AVAILABLE_IN_MANIFEST,package_json_languageModelTools,bounded_repo_read|catalogue_review,secret_file_read|regulated_data_dump,GATE_SECRET_USE|GATE_DATA_REGULATED,codex.workspace_guardian,court.seshat_evidence,local_validate_capability_use_hardening.ps1,close_tool_session,confirm_no_secret_printed,secret_boundary_risk,READY_LOCAL_GOVERNED
aac.lm_tools_write,language_model_tools_write,"write_file|update_artifact|sync_story_status|sync_epic_status",AVAILABLE_IN_MANIFEST,package_json_languageModelTools,write_only_declared_artifact_scope,unreviewed_repo_write|write_outside_workspace|git_metadata_write,GATE_REMOTE_GIT_MUTATION|GATE_DESTRUCTIVE_ACTION,court.thot_schema,rey.repo_cartographer,git diff --check|local_validate_agent_layer.ps1,git revert artifact_commit,confirm_explicit_files_only,artifact_write_scope_missing,GATED_REPO_WRITE_ONLY
aac.graphify,graphify_commands,"bootstrap|update|rebuild|installHook|index",AVAILABLE_IN_MANIFEST,package_json_commands,manual_plan_only,auto_bootstrap|git_hook_install|ai_backend_live|package_install_without_gate,GATE_OPENAI_LIVE|GATE_COST_BOUNDARY|GATE_WORKTREE_METADATA,court.thot_schema,rey.frontier_guardian,local_validate_capability_use_hardening.ps1,remove_generated_graphify_artifacts_or_revert_commit,confirm_no_hook_or_backend_live,graphify_live_or_hook_without_gate,GATED_PENDING
aac.jira,jira_integration,"read_jira|fetchFromJira|setJiraToken|clearJiraToken",SUSPENDED_BY_OPERATOR,package_json_tools_and_commands,jira_suspended_no_action,jira_live_read|jira_token_storage|jira_sync_without_target,GATE_SECRET_USE|GATE_LIVE_WRITE|GATE_DATA_REGULATED,rey.frontier_guardian,court.sdu_gate,local_validate_order_packets.ps1,clear_unapproved_token_and_revert_artifacts,confirm_no_jira_token_or_live_fetch,jira_suspended_by_operator,SUSPENDED_BY_OPERATOR
aac.skill_catalogue,skill_catalogue,"built_in_catalogue|userCataloguePath|skillRepos",AVAILABLE_IN_MANIFEST,marketplace_and_package_settings,review_builtin_catalogue|prepare_user_catalogue_mapping,global_user_catalogue_change|external_git_skill_repo_clone,GATE_REMOTE_GIT_MUTATION|GATE_SECRET_USE,court.openai_dispatcher,codex.workspace_guardian,local_validate_skill_metadata.ps1,revert_catalogue_mapping,confirm_no_external_repo_clone,skill_catalogue_target_missing,PENDING_TARGET_ONLY
aac.codeburn,codeburn_cost_observability,"codeburn_report|codeburn_bootstrap|dashboard",AVAILABLE_IN_MANIFEST,package_json_tools_and_commands,disabled_in_workspace_settings,bootstrap_or_export_cost_data_without_scope,GATE_COST_BOUNDARY|GATE_DATA_REGULATED,court.seshat_evidence,rey.frontier_guardian,local_validate_capability_use_hardening.ps1,revert_settings_change,confirm_codeburn_enabled_false,codeburn_scope_missing,EXECUTED_LOCAL_GUARDED
aac.canvas.seed_package,agileagentcanvas_context,".agileagentcanvas-context/vision.json|discovery/product-brief.json|planning/prd.json|planning/epics.json|README.md",LOCAL_ARTIFACTS_SEEDED,local_json_parse|git_check_ignore_force_staging,open_in_vsi|edit_local_canvas|version_reviewed_root_artifacts,stage_unreviewed_demo_artifacts|publish_external|live_provider_call,GATE_REMOTE_GIT_MUTATION|GATE_OPENAI_LIVE|GATE_MICROSOFT_LIVE_WRITE,codex.workspace_guardian,court.seshat_evidence,json_parse|git diff --check|local_validate_agent_layer.ps1,git restore explicit_canvas_files,confirm_canvas_project_name_and_no_live_write,canvas_identity_or_json_invalid,EXECUTED_LOCAL_VALIDATED
