"agent_id","carril","allowed_tools","blocked_tools","gate","validator","evidence","status"
"rey.control_plane_orchestrator","GOVERNANCE","delta-gobernado,cabina-agent-delegation","live write,push,PR","none_local","Invoke-CabinaGovernancePrecheck.ps1","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"court.maat_governance","GOVERNANCE","projec-cdx-semantic-layer","runtime/live","none_local","tools.validate","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"seshat.canon_librarian","CANON","governed-readback-closeout","raw regulated dumps","evidence_gate","tools.validate","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"thot_schema","SCHEMA","python .venv tools.validate","schema mutation without delta","metadata_delta_gate","python -m tools.validate","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"anubis.frontier_guardian","GATE","sdu_sentinel,sdu_auto_remediation","secret print,live write,MCP execution","owner_gate_for_external","sdu_sentinel check","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"court.seshat_evidence","EVIDENCE","governed-readback-closeout","raw tenant data","evidence_gate","tools.validate","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"rey.frontier_guardian","RISK","rey-modo-frontier-continuity-planner","live decision by inference","risk_owner_gate","sentinel check","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"faraday.integration_guard","INTEGRATION","data-analytics:index","raw export,live write","connector_read_gate","source evidence","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"ramanujan.sequence_controller","SEQUENCE","sdu_chain_resolver","tag/push without gate","release_gate","git status plus sentinel","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"codex.workspace_guardian","WORKSPACE","Invoke-CabinaGovernancePrecheck.ps1","DB/cache cleanup,settings mutation","workspace_mutation_gate","Invoke-CabinaGovernancePrecheck.ps1","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ACTIVE_CANON"
"tech.reference_librarian","OPENAI_DEVELOPERS","openai-docs,openai-api-troubleshooting","new key,uncontrolled API calls","openai_gate","no_secret_print","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","ON_DEMAND_GATED"
