repo_id,repository_full_name,local_path,universe_id,native_repo_policy,cabina_base_repository,cabina_base_role,alignment_mode,owner_agent,repo_runtime_mode,productive_runtime_status,github_agent_status,github_write_status,stop_condition
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,ROOT_CONTROL_PLANE,root_wrapper_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,ROOT_WRAPPER_BASE,rey.control_plane_orchestrator,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,production_without_order
ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,ROOT_CONTROL_PLANE,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,rey.governance_registrar,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,root_repo_absorption_attempt
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,tenant_or_regulated_data_without_order
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,productive_runtime_without_order
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,regulated_data_without_order
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,microsoft_live_without_order
JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,external_client_surface_without_order
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,MODO_ON,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.modo_on_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,provider_runtime_without_order
SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,court.sdu_gate,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,self_approving_production
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,court.seshat_evidence,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,evidence_live_without_order
SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,tech.reference_librarian,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,reference_used_as_canon_without_order
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,COURT,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,court.openai_dispatcher,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,openai_api_live_without_order
MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,ESCRIBANIA,keep_native_repo,universo-rey/cabina-universal-d,governance_base_and_repo_index,GOVERNED_INDEX_ONLY,universe.escribania_tower,LOCAL_SYNTHETIC_ALIGNMENT_ONLY,REQUIRES_GOVERNED_ORDER,APPROVED_GITHUB_AGENT_SURFACE,APPROVED_BRANCH_COMMIT_PUSH_PR,microsoft_live_or_productive_agent_without_order
