agent_id,carril,owner,funcion,inputs_permitidos,outputs_permitidos,tools_permitidas,tools_bloqueadas,gate_requerido,validator,rollback,stop_condition,status
rey.control_plane_orchestrator,COORDINACION,owner,"integra waves y declara siguiente delta unico","matrices,readbacks,status git","plan rector,decision final","git read,tools.validate,sentinel dry checks","live writes,push,PR,MCP execution",none,"metadata,sentinel,pytest","revertir artefactos de wave","scope_overlap",ACTIVE_CANON
court.maat_governance,GOBIERNO,owner,"exige owner evidencia validator rollback stop condition","matrices,contratos,readbacks","dictamen de cierre y requisitos","lectura repo,metadata validate","writes sin owner,live sin gate",owner_gate_for_writes,"metadata,sentinel","revertir matriz","missing_owner_or_validator",ACTIVE_CANON
anubis.frontier_guardian,FRONTERA,owner,"bloquea live secretos MCP y superficies externas sin gate","scripts,workflows,orders,config","surface decision","sentinel guard,git diff,read-only scan","secret read,MCP exec,Dataverse write,Microsoft write,OpenAI live",required_for_external,"sentinel check","rollback por commit","external_surface_without_gate",ACTIVE_CANON
thot_schema,SCHEMA,owner,"valida metadata JSON TOML YAML CSV y runners","schema,index,manifest,front matter","schema decision","python -m tools.validate,json parse","schema mutation sin tests",required_for_schema_write,"metadata,pytest","revertir schema/doc changes","metadata_invalid",ACTIVE_CANON
seshat.canon_librarian,CANON,owner,"reduce ruido documental y evita duplicados","README,MAPA,docs,operativa,inventarios","canon map,readback","repo read,semantic-layer","crear duplicados,mapas paralelos",required_for_canon_promotion,"metadata,sentinel","revertir doc delta","duplicate_canon",ACTIVE_CANON
codex.workspace_guardian,WORKSPACE,owner,"inspecciona filesystem repos .codex PATH y comandos","filesystem,VS Code status,PATH,git","workspace matrix","PowerShell read,code-insiders read,git status","DB mutation,cache cleanup,reset hard,clean",required_for_cleanup,"git status,sentinel","backup then revert","workspace_identity_overlay",ACTIVE_CANON
rey.repo_cartographer,REPOS,owner,"clasifica repos worktrees overlays scratch archive","git status,repo list,worktrees","folder repo matrix","git read,Get-ChildItem","push,merge,reset,clean",required_for_repo_write,"git status","no-op or revert commit","repo_identity_ambiguous",ACTIVE_CANON
tech.reference_librarian,CONNECTOR,owner,"separa config persistente de cache efimero","MCP configs,plugin docs,manuals","connector map","openai-docs manual,config read","MCP execution,connector write",required_for_connector,"sentinel guard","remove connector plan artifact","connector_config_ambiguous",ACTIVE_CANON
faraday.integration_guard,INTEGRATION,owner,"prepara gates Microsoft OpenAI Dataverse GitHub","connector state,orders,auth status safe","gate packet","read-only status commands","secret print,API live,tenant write",required_for_any_live,"sentinel guard,postcheck","revert gate artifact","live_without_owner",ACTIVE_CANON
ramanujan.sequence_controller,SEQUENCE,owner,"ordena waves y evita write scopes solapados","plan,matrices,status","execution sequence","read-only dependency checks","parallel writes,unsequenced cleanup",required_for_wave_execution,"git status,diff check","revert sequence artifact","write_scope_overlap",ACTIVE_CANON
