recipe_id,trigger,related_skills
"recipe_total_day_retrospective","End of a high-change day or multi-PR gate chain.","skill_postmerge_sync_readback;skill_tcu_tge_bidirectional_transfer"
"recipe_live_site_to_operating_system","A SharePoint site must become an operating system.","skill_sharepoint_live_governance"
"recipe_planner_human_queue_bootstrap","A front needs a human execution queue.","skill_planner_team_operations"
"recipe_agent_mesh_bootstrap","Agents need governed execution boundaries.","skill_agent_registry_governance"
"recipe_idempotent_microsoft_apply","Microsoft structures must converge without duplicates.","skill_pnp_graph_idempotent_apply"
"recipe_tge_adaptation_from_tcu_pattern","A TCU pattern must be adapted to TGE.","skill_tcu_tge_bidirectional_transfer"
"recipe_human_selected_limited_live_operation","Real cases need limited live operation.","skill_human_selection_gate;skill_limited_real_cases_operation"
"recipe_dummy_to_limited_real_cases","A dummy circuit passed and real lot is requested.","skill_dummy_circuit_before_live;skill_limited_real_cases_operation"
"recipe_no_dump_live_reading_with_planner_control","Live files or records must be read without export.","skill_no_dump_live_reading;skill_planner_team_operations"
"recipe_retrospective_execution_first_hardening","A high-change chain or retrospective asks to learn skills and harden execution-first posture.","skill_execution_first_boundary_maximization;skill_postmerge_sync_readback"
