environment_queue_id,repo_id,repository_full_name,local_path,codex_app_scope,codex_app_environment_path,codex_app_status,codex_cloud_environment_label,codex_cloud_status,creation_tool_status,owner_agent,reviewer_agent,required_skill,required_recipe,required_tool,evidence,validator,blocked_actions,rollback,stop_condition
codex_env.d_root,D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,root_wrapper,.codex/environments/environment.toml,CODEX_APP_LOCAL_ENV_CREATED,universo-rey/cabina-universal-d,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.local_validate_codex_app_environments|tool.codex_cloud_cli_readonly,.codex/environments/environment.toml|task_e_6a1f119843d4832e9ed821834222c003_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,remove_.codex_pr_revert|delete_environment_from_codex_settings_if_created,codex_app_environment_missing|secret_detected
codex_env.organizacion,ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,universo-rey/organizacion,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f4b4d699c832ea45166ff611319da_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|secret_detected
codex_env.torre_gemela_escribania,TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/torre-gemela-escribania,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f44bae1d8832eb16cef684dcc5048_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|regulated_data_boundary_unclear|codex_environment_creation_tool_unavailable|secret_detected
codex_env.tge_agentic_runtime,TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/tge-agentic-runtime-control-escribania,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f44bae02c832e9fe54ad8744caeec_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable|secret_detected
codex_env.sgin_cumplimiento,SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/sgin-cumplimiento,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f4ee18c3c832eb9f0a6dbc427e65b_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|regulated_data_boundary_unclear|secret_detected
codex_env.cdf_soluciones,CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/cdf-soluciones,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f449fb378832eb39503e3c5a212bf_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable|secret_detected
codex_env.jara_consultores,JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/jara-consultores,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f44baf768832e8f022011bbeb2a56_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable|secret_detected
codex_env.modo_on_foundation,MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/modo-on-foundation,NEEDS_CODEX_CLOUD_UI_CREATE,NO_DISPONIBLE_CLI_CREATE_ENV,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,order_prepared_for_repo_native_env,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable
codex_env.sdu_canon,SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/sdu-canon,NEEDS_CODEX_CLOUD_UI_CREATE,NO_DISPONIBLE_CLI_CREATE_ENV,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,order_prepared_for_repo_native_env,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable
codex_env.seshat_bootstrap,SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/seshat-bootstrap-sdu-cn,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f44d350a4832eae44f048539ca357_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|regulated_data_boundary_unclear|codex_environment_creation_tool_unavailable|secret_detected
codex_env.sgin,SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,Sgin,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f144bfee4832ebe5523def080f921_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_app_environment_missing|secret_detected
codex_env.tcu_agentic_runtime,TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,SeshatSgin/tcu-agentic-runtime-control,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f44d34a58832e89c7c72b0e56f45f_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable|secret_detected
codex_env.microsoft_agents_lab,MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,repo_native,repo-native:.codex/environments/environment.toml,REPO_NATIVE_CODEX_APP_ENV_REQUIRED,universo-rey/microsoft-agents-governed-lab,CODEX_CLOUD_ENV_VISIBLE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.governed_order_packet_builder,task_e_6a1f4efb4d4c832e87a3fbf0d0f62433_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,codex_cloud_environment_missing|regulated_data_boundary_unclear|secret_detected
codex_env.tcu_control_plane_candidate,TCU_CONTROL_PLANE,SeshatSgin/tcu-control-plane,NO_APLICA_OUT_OF_BASE,candidate_reference,NO_APLICA_OUT_OF_BASE,CODEX_APP_ENV_NOT_APPLICABLE_CLOUD_REFERENCE,SeshatSgin/tcu-control-plane,CODEX_CLOUD_ENV_VISIBLE_OUT_OF_BASE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,task_e_6a1f144c06cc832e9ae317ce8ca0f1e0_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,delete_environment_from_codex_settings_if_created,source_uncertain|secret_detected
codex_env.sgin_canonico_puro_candidate,SGIN_CANONICO_PURO,SeshatSgin/SGIN_Canonico_Puro,NO_APLICA_OUT_OF_BASE,candidate_reference,NO_APLICA_OUT_OF_BASE,CODEX_APP_ENV_NOT_APPLICABLE_CLOUD_REFERENCE,SGIN_Canonico_Puro,CODEX_CLOUD_ENV_VISIBLE_OUT_OF_BASE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,task_e_6a1f144c189c832ead0762cd5016078e_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,delete_environment_from_codex_settings_if_created,source_uncertain|secret_detected
codex_env.sgin_cloud_candidate,SGIN_CLOUD,SeshatSgin/sgin-cloud,NO_APLICA_OUT_OF_BASE,candidate_reference,NO_APLICA_OUT_OF_BASE,CODEX_APP_ENV_NOT_APPLICABLE_CLOUD_REFERENCE,SeshatSgin/sgin-cloud,CODEX_CLOUD_ENV_VISIBLE_OUT_OF_BASE,NO_APLICA_ENV_VISIBLE,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,task_e_6a1f19895190832ebd427cf6b955bc31_ready_no_diff,.agents/codex/tools/local_validate_codex_app_environments.ps1,secrets|microsoft_live|openai_api_live|production|permission_change|tenant_write|sharepoint_connector_live|codex_cloud_apply_without_review,delete_environment_from_codex_settings_if_created,source_uncertain|microsoft_live_requested_without_governed_order|secret_detected
