surface,surface_type,repo_id,agent_id,gate_required,order_required,identity_required,owner_required,rollback_required,postcheck_required,evidence_required,allowed_actions,blocked_actions,status,stop_condition
github_repo_scoped,github_repo_scoped,D_CABINA_UNIVERSAL_ROOT,rey.repo_cartographer,yes,github lifecycle order or active PR order,GitHub authenticated gh,yes,revert commit or close PR,checks green and HEAD fixed,PR URL commit SHA checks,branch|explicit_stage|commit|push|draft_pr|pr_update|checks,force_push|remote_branch_delete|permission_change|merge_without_precheck,RECONCILED,github_order_missing_checks|merge_without_approved_precheck
github_actions_cabina_validation,github_actions_ci,D_CABINA_UNIVERSAL_ROOT,court.thot_schema,yes,repo workflow policy,GitHub Actions token contents read,yes,revert workflow or gate commit,Cabina Validation success,action run and artifact,run validators|upload sanitized artifact,secrets|microsoft_live|openai_api_live|production|continue_on_error_for_gate,RECONCILED,workflow_permission_drift|secret_in_artifact
codex_cloud_repo_scoped,codex_cloud,D_CABINA_UNIVERSAL_ROOT,court.openai_dispatcher,yes,Codex Cloud governed lane,Codex environment label,yes,no apply or revert PR,READY_NO_DIFF,task id readback,read-only smoke|CI mock|repo-scoped proposal,codex cloud apply|secrets|microsoft_live|production|openai_api_live,CLOSED_VERIFIED,codex_cloud_environment_missing|codex_cloud_apply_without_review
openai_api,openai_api,D_CABINA_UNIVERSAL_ROOT,court.openai_dispatcher,separate_order,yes for any repeat or write,approved key only never printed,yes,no mutation for read smoke,HTTP status no body printed,sanitized readback,previous /v1/models smoke evidence only,agent creation|uploads|tool execution|secret print|cost expansion,NO_APLICA_JUSTIFICADO,openai_api_live_requested_without_order|secret_printed
microsoft_teams_read,microsoft_live_read,D_CABINA_UNIVERSAL_ROOT,rey.frontier_guardian,yes,yes,connector identity,yes,read-only no-op,scope confirmed or blocked,sanitized 403 or selected object result,selected metadata read only after scope/object,raw transcript|broad regulated read|message dump,BLOCKED_PERMISSION,microsoft_live_scope_missing|raw_transcript_blocked
microsoft_live_write,microsoft_live_write,D_CABINA_UNIVERSAL_ROOT,rey.frontier_guardian,yes,yes,yes,yes,yes,yes,yes,none until exact object owner rollback postcheck,Teams post|Planner mutation|SharePoint write|Entra write|Power Platform write,LIVE_WRITE_GATED,WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
sharepoint_ia,sharepoint_ia,CDF_SOLUCIONES|TORRE_GEMELA_ESCRIBANIA,cdf.sharepoint_information_architect|universe.escribania_tower,yes,yes for live,yes,yes,yes,yes,yes,local planning|connector read under order,site mutation|permission change|broad export,LIVE_WRITE_GATED,microsoft_live_requested_without_governed_order
planner_teams,planner_teams,CDF_SOLUCIONES|TORRE_GEMELA_ESCRIBANIA,cdf.collaboration_operator|universe.escribania_tower,yes,yes,yes,yes,yes,yes,yes,local queue design,task creation|channel post|message read without object,LIVE_WRITE_GATED,WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
power_platform_dataverse,power_platform,CDF_SOLUCIONES,cdf.local_cabina_extension_guard,yes,yes,yes,yes,yes,yes,yes,local design only,flow activation|Dataverse mutation|connector permission change,LIVE_WRITE_GATED,power_platform_live_gate_required
production,production,ALL,rey.frontier_guardian,separate_explicit_authorization,yes,yes,yes,yes,yes,yes,none in PR55,all production execution,BLOCKED_SCOPE,production_requested_without_explicit_authorization
