surface,entry,gb,classification,notes
Documents,Cumplimiento,19.53,canonical code root candidate,confirmed by git and size
Documents,CodexLocal,14.53,large workspace,needs separate classification
Documents,ESCRIBANIA BITSCH,6.03,document surface,likely user documents
Documents,GitHub,4.34,workspace container,contains multiple repos
Documents,Maquina de Trabajo,3.27,work surface,needs classification
Documents,PowerShell,1.14,tooling surface,likely scripts and profiles
Documents,WindowsPowerShell,1.10,tooling surface,likely profiles and modules
Documents,Documentos Personales,1.04,document surface,likely personal docs
Cumplimiento,AUDITORIA_CODEX_LOCAL,16.76,dominant payload,inside heavy root
Cumplimiento,.git,2.77,git metadata,canonical repository metadata
GitHub,Sgin__wt_dictamen_n3_skills,2.57,large repo,top GitHub entry
GitHub,Auditar,1.22,large repo or mirror,top GitHub entry
GitHub,cabina-universal-d,0.51,repo/workspace,top GitHub entry
