tool,surface,allowed_action,blocked_action,evidence
ChatGPT,technical_context,"read current state and propose scoped changes","override CURRENT_STATE from memory","00_CONTEXT/START_HERE.md"
Codex local,local_repo,"edit files validate and prepare PRs","touch production or secrets","AGENTS.md"
GitHub Desktop,local_clone,"use canonical clone at C:\Users\enzo1\Documents\GitHub\tcu-control-plane","create duplicate primary clone or move folders","00_CONTEXT/LOCAL_CLONE_CANON.md"
Git CLI,local_clone,"operate from canonical clone unless explicit gate selects another path","hard reset delete files or force push","00_CONTEXT/LOCAL_CLONE_CANON.md"
gh CLI,github,"operate against SeshatSgin/tcu-control-plane from canonical clone","mutate live runtime or bypass review","00_CONTEXT/LOCAL_CLONE_CANON.md"
Codex Cloud,codex_cloud,"non-sensitive repo-wide readback and proposals","tenant data secrets or live Microsoft work","08_evidencia/readbacks/2026-05-17_GATE_01U_CODEX_CLOUD_OPERATIONAL_ACTIVATION/"
GitHub,github,"branches PRs reviews issue templates labels proposal","force push auto merge or production mutation",".github/"
VS Code Insiders,vscode,"workspace tasks and local validators","global settings mutation",".vscode/"
Codex Desktop,local_chat,"bind each chat to one repo branch gate and PR","treat every chat as same branch or use .codex/worktrees as canon","00_CONTEXT/GIT_WORKTREE_FORK_CHAT_ENVIRONMENT_POLICY.md"
Manual worktree,local_workspace,"one physical workspace per branch/front when isolation is needed","parallel worktrees for same front or unregistered worktree execution","00_CONTEXT/GIT_WORKTREE_FORK_CHAT_ENVIRONMENT_POLICY.md"
Codex managed worktree,temp_workspace,"ephemeral chat-owned work only","canonical clone claims manual deletion or cleanup without gate","00_CONTEXT/GIT_WORKTREE_FORK_CHAT_ENVIRONMENT_POLICY.md"
Fork,github,"external upstream contribution or explicit sandbox gate","fork owned repos by default or bypass PR review","00_CONTEXT/GIT_WORKTREE_FORK_CHAT_ENVIRONMENT_POLICY.md"
SharePoint,sharepoint,"sanitized storytelling package after explicit gate","live write without publication gate","00_STORY/sharepoint_package/"
Power Platform,power_platform,"metadata evidence after explicit gate","live mutation without snapshot and gate","00_CONTEXT/OPERATING_SURFACES.md"
OpenAI runtime,openai,"documented tests after explicit gate","open spend private data or unbounded runtime","00_CONTEXT/ROUTING_POLICY.md"
