"lane_id","repo_id","repository","universe","lane_type","agent","recipe","tool","skill","plugin","surface","status","live_microsoft_mode","allowed_actions","blocked_actions","evidence","validator","risk","rollback","stop_condition","proximos_carriles"
"teams.root.cross_repo_index","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","ORGANIZACION_CABINA","cross_repo_governance","rey.repo_cartographer|rey.frontier_guardian|court.seshat_evidence","recipe.matrix_recipe_skill_sync|recipe.governed_order_preparation","tool.local_validate_teams_cross_repo_lane_audit|tool.github_versioning_flow","teams:teams|parallel-order-governance|cabina-commit-work","Teams|GitHub",".agents/codex and registered nested repos","ACTIVE_DRAFT","LIVE_READ_APPROVED_MINIMAL_20260602","local repo scan; Teams connector resolve/list only; sanitized matrix/readback","Teams writes; channel creation; Planner writes; permissions; production; raw transcript export","root scan found Teams source refs and plugin boundary; live chat metadata inventory succeeded with sanitized counts only","tool.local_validate_teams_cross_repo_lane_audit","overbroad live read if raw message previews are persisted","delete or redact local artifacts before commit; no Microsoft mutation to revert","microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear|secret_detected","prepare Teams connector consent/read carril for Team.ReadBasic.All if full team/channel inventory is needed"
"teams.organizacion.d_drive_snapshot_refs","ORGANIZACION","universo-rey/organizacion","ORGANIZACION_CABINA","registry_snapshot","rey.governance_registrar|rey.repo_cartographer","recipe.registry_enrichment","tool.git_status_readonly|tool.local_validate_teams_cross_repo_lane_audit","github:github|teams:teams","GitHub|Teams","D-drive governance snapshots and PR #40 surface","FOUND_LOCAL_DOCUMENTED","REPO_NATIVE_READ_ONLY","read local files in repo-native branch; do not change nested repo from root","Teams live; Git writes in nested repo without repo-native branch; production","local scan found Teams references in D-drive governance snapshots and registry material","tool.local_validate_teams_cross_repo_lane_audit","stale snapshot can be mistaken for current Teams execution","update ORGANIZACION only in its own repo-native branch/PR if needed","dirty_scope_unclassified|microsoft_live_requested_without_governed_order","separate ORGANIZACION carril should reconcile PR #40 if Teams governance wording must be canonical there"
"teams.tge.multi_planner_conversation_aux","TORRE_GEMELA_ESCRIBANIA","SeshatSgin/torre-gemela-escribania","ESCRIBANIA","planner_teams_sharepoint_evidence_model","universe.escribania_tower|rey.frontier_guardian|court.sdu_gate","recipe.universe_tower_handoff|recipe.gate_decision_packet","tool.surface_order_builder|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-planner-task-management|sharepoint:sharepoint","Teams|SharePoint|Microsoft Graph direct tenant admin","Planner plus Teams conversation auxiliary plus SharePoint evidence","FOUND_LOCAL_DOCUMENTED","REQUIRES_REPO_SURFACE_ORDER_FOR_EXECUTION","read local runbooks and gates; prepare live order only","Teams write; Planner write; SharePoint write; production; broad regulated data","02_GOBIERNO/GATES.md and RUNBOOKS/18_ESCRITURACION_PLANNER_EVIDENCIA.md define Teams as auxiliary conversation and SharePoint as evidence","tool.local_validate_teams_cross_repo_lane_audit","Teams conversation could be treated as record of truth instead of auxiliary evidence","rollback by restoring repo-native docs before commit; no live mutation in this audit","microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear|production_requested_without_explicit_authorization","open TGE repo-native carril for selected case/channel/team only after governed Teams/Planner/SharePoint order"
"teams.tge.graph_consent_reuse","TORRE_GEMELA_ESCRIBANIA","SeshatSgin/torre-gemela-escribania","ESCRIBANIA","graph_consent_reuse_boundary","universe.escribania_tower|rey.frontier_guardian","recipe.gate_decision_packet","tool.boundary_check|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|sharepoint:sharepoint","Microsoft Graph direct tenant admin|Teams","Graph consent reuse matrix for read-only/no-op and gated runtime","FOUND_LOCAL_DOCUMENTED","REQUIRES_SURFACE_GATE","read local consent matrix; classify scopes; do not reuse write scopes","Graph write; permission escalation; tenant admin; production","00_CONTEXT/GRAPH_CONSENT_REUSE_GOVERNANCE_MATRIX.csv records read-only/no-op reuse and blocks writes without gate","tool.local_validate_teams_cross_repo_lane_audit","existing write-capable consent could be overinterpreted as execution approval","stop before live runtime; prepare explicit surface gate and postcheck","microsoft_live_requested_without_governed_order|merge_or_force_push_or_actions_write_permission_without_order","prepare least-privilege Teams read order and confirm scopes before any runtime"
"teams.tge_runtime.guardrail","TGE_AGENTIC_RUNTIME","SeshatSgin/tge-agentic-runtime-control-escribania","ESCRIBANIA","agentic_runtime_guardrail","universe.escribania_tower|court.openai_dispatcher|rey.frontier_guardian","recipe.openai_local_agent_design|recipe.gate_decision_packet","tool.repo_alignment_runtime|tool.local_validate_teams_cross_repo_lane_audit","openai-developers:agents-sdk|teams:teams","OpenAI Developers|Teams","local/staging agent runtime boundary","FOUND_LOCAL_DOCUMENTED","LOCAL_ONLY_UNTIL_ESCRIBANIA_ORDER","read CURRENT_STATE and BOUNDARY_POLICY; synthetic harness only","Agents SDK live; Teams live write; Graph/Planner write; production","CURRENT_STATE.md and BOUNDARY_POLICY.md keep runtime local/staging and block tenant writes","tool.local_validate_teams_cross_repo_lane_audit","runtime agent could be connected to tenant before evidence gate","delete local draft or revert repo-native branch; no live mutation to revert","openai_api_live_requested_without_order|microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization","prepare Escribania live-read adapter order only after Teams target and identity are fixed"
"teams.sgin.comments_validation","SGIN_CUMPLIMIENTO","SeshatSgin/sgin-cumplimiento","ESCRIBANIA","teams_comment_validation","universe.escribania_tower|rey.frontier_guardian|court.seshat_evidence","recipe.gate_decision_packet|recipe.governed_readback_closeout","tool.surface_order_builder|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-planner-task-management","Teams|Microsoft Graph direct tenant admin","Teams comments associated to Planner through Graph","FOUND_LOCAL_DOCUMENTED","LIVE_WRITE_RISK_REQUIRES_SEPARATE_ORDER","read docs and scripts only; classify execution preconditions","Graph comment POST; Planner changes; Teams replies; production","docs/operacion/SGIN_TEAMS_COMMENTS_VALIDATION_PLAN.md and Test-SginGraphWriteTeamsComment.ps1 define controlled validation and missing clean-clone dependency","tool.local_validate_teams_cross_repo_lane_audit","script can post Teams comments if executed with session and scopes","do not run script; repo-native revert if docs change; no live mutation in this audit","microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear|secret_detected","open SGIN repo-native carril to split read-only evidence from any future write test"
"teams.sgin.daily_control","SGIN_CUMPLIMIENTO","SeshatSgin/sgin-cumplimiento","ESCRIBANIA","daily_control_runbook","universe.escribania_tower|court.seshat_evidence","recipe.universe_tower_handoff","tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-notification-triage","Teams|Outlook|Planner","Planner Teams Outlook daily control loop","FOUND_LOCAL_DOCUMENTED","REQUIRES_SELECTED_PROCESS_ORDER","read local runbook; do not execute live loop","Teams send; Planner write; Outlook send; production","docs/operacion/planner-teams-control-diario-runbook.md defines daily loop and trace format","tool.local_validate_teams_cross_repo_lane_audit","daily loop could create operational noise if run without selected channel","rollback by stopping before execution; repo-native doc changes only","microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization","prepare selected daily-control order with target channel, owner, rollback and postcheck"
"teams.cdf.agent_teams_runtime","CDF_SOLUCIONES","SeshatSgin/cdf-soluciones","MODO_ON","cdf_agent_teams","universe.modo_on_tower|rey.frontier_guardian|court.openai_dispatcher","recipe.openai_local_agent_design|recipe.universe_tower_handoff","tool.repo_alignment_runtime|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|openai-developers:agents-sdk","Teams|OpenAI Developers","CDF collaboration operator Teams Planner Outlook","FOUND_LOCAL_DOCUMENTED","LOCAL_SYNTHETIC_READY_NO_LIVE","read AGENT_TEAMS and version registry; local dry-run only","Teams live; Planner live; Outlook live; production","04_AGENTS_SDK/AGENT_TEAMS.md and CDF_AGENT_VERSION_REGISTRY.csv define local synthetic Teams operator","tool.local_validate_teams_cross_repo_lane_audit","provider agent could be used as Escribania runtime without order","repo-native rollback only; no live mutation in this audit","microsoft_live_requested_without_governed_order|write_without_order|production_requested_without_explicit_authorization","open CDF repo-native CI/check carril if local evidence should be elevated to checks"
"teams.cdf.channels_setup","CDF_SOLUCIONES","SeshatSgin/cdf-soluciones","MODO_ON","channels_setup_runbook","universe.modo_on_tower|rey.frontier_guardian","recipe.universe_tower_handoff|recipe.gate_decision_packet","tool.provider_boundary_check|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-messages","Teams|Planner|Entra","CDF channel setup and routing","FOUND_LOCAL_DOCUMENTED","REQUIRES_OWNER_POSTCHECK_GATE","read runbook; prepare channel map only","create Teams channel; seed messages; Planner creation; Entra/license admin","03_OPERACION/CHANNELS/CDF_CHANNELS_SETUP_RUNBOOK.md requires owner and postcheck before channels/messages","tool.local_validate_teams_cross_repo_lane_audit","channel routing could duplicate Teams/Planner structures","stop before live create; revert local docs in repo-native branch only","microsoft_live_requested_without_governed_order|write_without_order","prepare CDF channel inventory read before any setup execution"
"teams.modo_on.workflow_discovery","MODO_ON_FOUNDATION","SeshatSgin/modo-on-foundation","MODO_ON","workflow_discovery_runbook","universe.modo_on_tower|court.seshat_evidence","recipe.universe_tower_handoff","tool.provider_boundary_check|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-notification-triage","Teams|SharePoint|Planner","Escribania workflow discovery and execution runbook","FOUND_LOCAL_DOCUMENTED","READ_ORDER_REQUIRED_FOR_LIVE","read runbook and classify; no live workflow execution","Teams broad read; Planner mutation; SharePoint mutation; production","runbooks/escribania-workflow-discovery-and-execution.md says Teams is not final record of decisions","tool.local_validate_teams_cross_repo_lane_audit","provider workflow could cross into Escribania data without order","no live mutation; repo-native docs only","microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear|write_without_order","prepare selected workflow read order with universe boundary and owner"
"teams.modo_on.planner_comment_capture","MODO_ON_FOUNDATION","SeshatSgin/modo-on-foundation","MODO_ON","planner_comment_capture","universe.modo_on_tower|court.seshat_evidence","recipe.governed_readback_closeout","tool.provider_boundary_check|tool.local_validate_teams_cross_repo_lane_audit","teams:teams-planner-task-management","Teams|Planner|Microsoft Graph direct tenant admin","Planner comments and status capture","FOUND_LOCAL_DOCUMENTED","READ_ONLY_CAPTURE_REQUIRES_SCOPE","read local runbook; no Graph execution","Planner writes; Teams writes; raw export; production","runbooks/planner-comment-capture-runbook.md defines read-only capture through existing Graph read session","tool.local_validate_teams_cross_repo_lane_audit","comment capture can become raw regulated export","discard raw payload; persist only sanitized counts/status","microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear","prepare read-only capture order for selected plan/task set"
"teams.seshat.sdu_cn_connection","SESHAT_BOOTSTRAP","SeshatSgin/seshat-bootstrap-sdu-cn","CORTE_SDU_SESHAT","sdu_cn_teams_connection","court.seshat_evidence|court.sdu_gate|rey.frontier_guardian","recipe.governed_order_preparation|recipe.gate_decision_packet","tool.governed_order_packet_builder|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|sharepoint:sharepoint","Teams|Microsoft Graph direct tenant admin","SDU-CN Seshat Teams connector carril","FOUND_LOCAL_DOCUMENTED","PREPARED_GATE_REQUIRED","read integrations/teams; prepare order only","Teams send; Entra app changes; Graph permissions; production","integrations/teams/SDU_CN_TEAMS_CONNECTION_CARRIL.md marks Teams send not approved and team/channel unresolved","tool.local_validate_teams_cross_repo_lane_audit","connector could be treated as approved sender without target","repo-native order packet rollback; no live mutation","microsoft_live_requested_without_governed_order|order_packet_missing_required_fields|production_requested_without_explicit_authorization","complete Teams read/resolve order with target team/channel and owner"
"teams.seshat.cdf_staff_entra_order","SESHAT_BOOTSTRAP","SeshatSgin/seshat-bootstrap-sdu-cn","CORTE_SDU_SESHAT","cdf_staff_entra_teams_order","court.sdu_gate|court.seshat_evidence|universe.modo_on_tower","recipe.governed_order_preparation","tool.governed_order_packet_builder|tool.local_validate_teams_cross_repo_lane_audit","teams:teams|teams:teams-messages","Teams|Entra|Microsoft Graph direct tenant admin","CDF staff Entra Teams connection order","FOUND_LOCAL_DOCUMENTED","READY_NOT_EXECUTED_GATE_REQUIRED","read CDF staff connection order; do not execute","Directory write; group write; Teams send; production","integrations/cdf_staff/CDF_STAFF_ENTRA_TEAMS_CONNECTION_ORDER.md assigns CDF staff execution and SDU governance","tool.local_validate_teams_cross_repo_lane_audit","execution role and governance role could be mixed","stop before Entra/Teams execution; repo-native docs only","microsoft_live_requested_without_governed_order|order_packet_missing_required_fields|production_requested_without_explicit_authorization","prepare CDF staff live-read preflight without Directory write scopes"
"teams.sgin.minor_refs","SGIN","universo-rey/Sgin","CORTE_SDU_SESHAT","minor_governance_refs","tech.reference_librarian|rey.repo_cartographer","recipe.workspace_reference_audit","tool.reference_classifier|tool.local_validate_teams_cross_repo_lane_audit","teams:teams","Teams|SharePoint","minor SharePoint governance refs mentioning Planner/Teams","FOUND_MINOR_REFERENCES","REPO_NATIVE_READ_ONLY","read local model references only","Microsoft live; production; repo write from root","local scan found limited Teams/Planner references in SharePoint inventory/model files","tool.local_validate_teams_cross_repo_lane_audit","minor refs could be over-promoted to active Teams lane","no live mutation; no root write into nested repo","microsoft_live_requested_without_governed_order","no immediate Teams carril unless SGIN selects a concrete process"
