gate,status,decision,repo,surface,external_executed,live_surface_required,owner_required,next_action
0.4.0,READY_FOR_REMOTE_PATCH_AUTHORIZATION,DATAVERSE_DEV_PRECHECK_PATCH_READY,universo-rey/cabina-universal-d,github_code,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.1,READY_FOR_REMOTE_PATCH_AUTHORIZATION,POWER_AUTOMATE_VALIDATOR_PATCH_READY,universo-rey/cabina-universal-d,github_code,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.2,READY_FOR_REMOTE_PATCH_AUTHORIZATION,BRIDGE_AUTH_VALIDATOR_PATCH_READY,universo-rey/cabina-universal-d,github_code,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.3,READY_FOR_REMOTE_PATCH_AUTHORIZATION,BRIDGE_LOOPBACK_MCP_GATING_PATCH_READY,universo-rey/cabina-universal-d,github_code,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.4,READY_FOR_REMOTE_PATCH_AUTHORIZATION,GOVERNANCE_CI_PATH_COVERAGE_PATCH_READY,universo-rey/cabina-universal-d,github_actions,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.5,READY_FOR_REMOTE_PATCH_AUTHORIZATION,NO_PS_VALIDATOR_WIRING_PATCH_READY,universo-rey/cabina-universal-d,github_actions,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.6,READY_FOR_REMOTE_PATCH_AUTHORIZATION,MCP_CODEX_CLOUD_CHECKOUT_PATCH_READY,universo-rey/cabina-universal-d,github_actions,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.7,READY_FOR_REMOTE_PATCH_AUTHORIZATION,LOCAL_SYNTHETIC_HARNESS_PATCH_READY,universo-rey/cabina-universal-d,github_code,false,false,true,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.8,READY_FOR_REMOTE_REGEN_AUTHORIZATION,CHANGE_AWARE_EVIDENCE_REGEN_READY,universo-rey/cabina-universal-d,github_evidence,false,false,true,OPEN_REMOTE_REGEN_GATE_WHEN_AUTHORIZED
0.4.9,READY_FOR_REMOTE_LOG_COLLECTION_GATE,CABINA_RUNTIME_CI_LOG_COLLECTION_READY,universo-rey/cabina-universal-d,github_actions_logs,false,false,true,OPEN_REMOTE_LOG_GATE_WHEN_AUTHORIZED
