"repo","owner_org","local_path","remote_url","default_branch","current_branch","head_sha","upstream","worktree_status","canon_status","runtime_role","requires_mapa","map_status","requires_agents","agents_status","open_prs_ref","open_issues_ref","validator","postcheck","evidence_path","rollback","risk","action_recommended","stop_condition","decision","closed_by","closed_at"
"cabina-universal-d","universo-rey","C:/Users/enzo1/Documents/GitHub/cabina-universal-d","https://github.com/universo-rey/cabina-universal-d.git","main","codex/pr96-total-local-alignment-20260622","28baec3","","DIRTY_STAGED_AND_UNSTAGED","CANON_CORE_PR96_ALIGNMENT_IN_PROGRESS","control_plane_runtime","DECIDE","MAPA_MAESTRO_STAGED_PR96__MAPA_MD_MISSING","YES","PRESENT","2","11","git_diff_check_pass_for_staged_pr96","pending_commit_or_split_decision","operativa/staging_audit/20260622_pr96_mixed/","restore_staged_or_commit_revertible_branch","HIGH","finish_pr96_index_decision_before_multirepo_close","staged_pr96_plus_unclassified_C","NEEDS_CANON_PACKAGE","Codex","2026-06-22"
"cdf-soluciones","SeshatSgin","C:/Users/enzo1/Documents/GitHub/cdf-soluciones","https://github.com/SeshatSgin/cdf-soluciones.git","main","codex/cdf-seshat-context-evidence-split-20260617","2ccd77d","origin/codex/cdf-seshat-context-evidence-split-20260617","CLEAN_ON_FEATURE_BRANCH","CANON_PACKAGE_BRANCH_READY_REQUIRES_OWNER_DECISION","evidence_context_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","6","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","HIGH","review_branch_package_then_pr_or_defer","not_on_main_final","DEFERRED_WITH_REASON","Codex","2026-06-22"
"jara-consultores","SeshatSgin","C:/Users/enzo1/Documents/GitHub/jara-consultores","https://github.com/SeshatSgin/jara-consultores.git","main","codex/readme-lane-atomica-20260617","88676e0","origin/codex/readme-lane-atomica-20260617","CLEAN_ON_FEATURE_BRANCH","README_LANE_READY_REQUIRES_OWNER_DECISION","satellite_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","0","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","LOW","review_readme_lane_then_pr_or_defer","not_on_main_final","README_ONLY_REVIEW","Codex","2026-06-22"
"microsoft-agents-governed-lab","universo-rey","C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab","https://github.com/universo-rey/microsoft-agents-governed-lab.git","main","codex/readme-lane-atomica-20260617","d1ca48c","origin/codex/readme-lane-atomica-20260617","CLEAN_ON_FEATURE_BRANCH","README_LANE_READY_REQUIRES_OWNER_DECISION","agent_lab_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","3","0","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","LOW","review_readme_lane_then_pr_or_defer","not_on_main_final","README_ONLY_REVIEW","Codex","2026-06-22"
"modo-on-foundation","SeshatSgin","C:/Users/enzo1/Documents/GitHub/modo-on-foundation","https://github.com/SeshatSgin/modo-on-foundation.git","main","codex/readme-lane-atomica-20260617","fb4d9b4","origin/codex/readme-lane-atomica-20260617","CLEAN_ON_FEATURE_BRANCH","README_LANE_READY_REQUIRES_OWNER_DECISION","foundation_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","0","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","LOW","review_readme_lane_then_pr_or_defer","not_on_main_final","README_ONLY_REVIEW","Codex","2026-06-22"
"organizacion","universo-rey","C:/Users/enzo1/Documents/GitHub/organizacion","https://github.com/universo-rey/organizacion.git","main","codex/readme-lane-atomica-20260617","7cf4a86","origin/codex/readme-lane-atomica-20260617","CLEAN_ON_FEATURE_BRANCH","README_LANE_READY_REQUIRES_OWNER_DECISION","organization_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","7","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","LOW","review_readme_lane_then_pr_or_defer","not_on_main_final","README_ONLY_REVIEW","Codex","2026-06-22"
"sdu-canon","SeshatSgin","C:/Users/enzo1/Documents/GitHub/sdu-canon","https://github.com/SeshatSgin/sdu-canon.git","main","codex/lane-a-sdu-canon-context-20260617","54e1317","origin/codex/lane-a-sdu-canon-context-20260617","CLEAN_ON_FEATURE_BRANCH","CANON_CONTEXT_BRANCH_READY_REQUIRES_OWNER_DECISION","canon_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","0","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","HIGH","review_canon_context_branch_then_pr_or_defer","not_on_main_final","NEEDS_CANON_PACKAGE","Codex","2026-06-22"
"seshat-bootstrap-sdu-cn","SeshatSgin","C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn","https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git","main","codex/seshat-prompt-drafts-canon-guarded","b0b93bd","origin/codex/seshat-prompt-drafts-canon-guarded","CLEAN_ON_FEATURE_BRANCH","EVIDENCE_BRANCH_READY_REQUIRES_OWNER_DECISION","sdu_cn_bootstrap_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","0","1","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","MEDIUM","review_prompt_drafts_package_then_pr_or_defer","not_on_main_final","NEEDS_EVIDENCE_PACKAGE","Codex","2026-06-22"
"Sgin","universo-rey","C:/Users/enzo1/Documents/GitHub/Sgin","https://github.com/universo-rey/Sgin.git","main","main","cfb494b","origin/main","DIRTY_UNSTAGED","CANON_REPO_DIRTY_EVIDENCE_PACKAGE_REQUIRED","model_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","0","2","not_run_w1_read_only","pending_torres_package_classification","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","no_change_until_torres_package_decision","MEDIUM","classify_readme_plus_torres_package_before_stage","torres_package_unclassified","NEEDS_EVIDENCE_PACKAGE","Codex","2026-06-22"
"sgin-cumplimiento","SeshatSgin","C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento","https://github.com/SeshatSgin/sgin-cumplimiento.git","main","codex/readme-lane-atomica-20260617","ed506d9","origin/codex/readme-lane-atomica-20260617","CLEAN_ON_FEATURE_BRANCH","README_LANE_READY_REQUIRES_OWNER_DECISION","compliance_repo","DECIDE","MAPA_MD_MISSING__README_AGENTS_PRESENT","YES","PRESENT","1","1","not_run_w1_read_only","branch_clean_postcheck_only","inventarios/W1_REPOS_DIRTY_TRIAGE_20260617.csv","branch_revert_or_pr_close","LOW","review_readme_lane_then_pr_or_defer","not_on_main_final","README_ONLY_REVIEW","Codex","2026-06-22"
