repo_id,path,remote,universe,tower,owner_agent,authority_level,allowed_actions,blocked_without_order,evidence,validator,stop_condition
D_CABINA_UNIVERSAL_ROOT,C:\Users\enzo1\Documents\GitHub\cabina-universal-d,https://github.com/universo-rey/cabina-universal-d.git,CABINA_UNIVERSAL,REY_CONTROL_PLANE,rey.control_plane_orchestrator,00_ROUTER,read|validate|local_doc_update|governance_index,git_commit|git_push|remote_write|secret_handling|root_repo_absorption,root_repo_readback,tool.local_validate_agent_layer,root_repo_absorption_attempt
organizacion,C:\Users\enzo1\Documents\GitHub\organizacion,https://github.com/universo-rey/organizacion.git,CABINA_UNIVERSAL,REY_CONTROL_PLANE,rey.governance_registrar,02_REGISTRO_Y_CARTOGRAFIA,read|validate|plan|local_doc_update,git_commit|git_push|remote_write|secret_handling,repo_readback,tool.local_validate_agent_layer,dirty_scope_unclassified
tcu-agentic-runtime-control,C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control,https://github.com/SeshatSgin/tcu-agentic-runtime-control.git,CORTE_DEL_REY,TCU_RUNTIME,court.openai_dispatcher,03_CORTE_EJECUTORA,read|validate|adapt_recipes|local_doc_update,remote_agent_persistence|api_live|git_write_without_order,runtime_readback,tool.local_validate_agent_layer,api_or_remote_agent_requested
sdu-canon,C:\Users\enzo1\Documents\GitHub\sdu-canon,https://github.com/SeshatSgin/sdu-canon.git,CORTE_DEL_REY,SDU_CANON,rey.authority_canonist,01_AUTORIDAD_Y_GATES,read|canon_compare|local_doc_update,canon_mutation_without_order|git_write_without_order,canon_readback,tool.local_validate_agent_layer,canon_change_requested
seshat-bootstrap-sdu-cn,C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn,https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git,CORTE_DEL_REY,SESHAT_BOOTSTRAP,court.seshat_evidence,03_CORTE_EJECUTORA,read|validate|local_doc_update,live_agent_activation|git_write_without_order,evidence_readback,tool.local_validate_agent_layer,live_activation_requested
Sgin,C:\Users\enzo1\Documents\GitHub\Sgin,https://github.com/universo-rey/Sgin.git,CORTE_DEL_REY,SGIN_CANON,tech.reference_librarian,05_SOPORTE_TECNICO,read|reference_compare,regulated_data_broad_read|git_write_without_order,reference_readback,tool.local_validate_agent_layer,regulated_payload_requested
tge-agentic-runtime-control-escribania,C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania,https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git,ESCRIBANIA,TGE_RUNTIME,universe.escribania_tower,04_TORRES_DE_UNIVERSO,read|validate|prepare_order|local_doc_update,sharepoint_write|tenant_write|git_write_without_order,tge_runtime_readback,tool.local_validate_agent_layer,live_surface_requested
torre-gemela-escribania,C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania,https://github.com/SeshatSgin/torre-gemela-escribania.git,ESCRIBANIA,TGE_CANON,universe.escribania_tower,04_TORRES_DE_UNIVERSO,read|validate|local_doc_update,sharepoint_write|tenant_write|git_write_without_order,tge_canon_readback,tool.local_validate_agent_layer,tenant_or_git_write_requested
sgin-cumplimiento,C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento,https://github.com/SeshatSgin/sgin-cumplimiento.git,ESCRIBANIA,SGIN_CUMPLIMIENTO,universe.escribania_tower,04_TORRES_DE_UNIVERSO,read|validate|local_doc_update,regulated_data_broad_read|tenant_write|git_write_without_order,sgin_cumplimiento_readback,tool.local_validate_agent_layer,regulated_data_requested
modo-on-foundation,C:\Users\enzo1\Documents\GitHub\modo-on-foundation,https://github.com/SeshatSgin/modo-on-foundation.git,MODO_ON,MODO_ON_FOUNDATION,universe.modo_on_tower,04_TORRES_DE_UNIVERSO,read|validate|local_doc_update,provider_control_without_trace|tenant_write|git_write_without_order,modo_on_readback,tool.local_validate_agent_layer,cross_universe_runtime_requested
cdf-soluciones,C:\Users\enzo1\Documents\GitHub\cdf-soluciones,https://github.com/SeshatSgin/cdf-soluciones.git,MODO_ON,CDF,universe.modo_on_tower,04_TORRES_DE_UNIVERSO,read|validate|local_doc_update,provider_control_without_trace|git_write_without_order,cdf_readback,tool.local_validate_agent_layer,provider_write_requested
jara-consultores,C:\Users\enzo1\Documents\GitHub\jara-consultores,https://github.com/SeshatSgin/jara-consultores.git,MODO_ON,JARA,universe.modo_on_tower,04_TORRES_DE_UNIVERSO,read|validate|local_doc_update,provider_control_without_trace|git_write_without_order,jara_readback,tool.local_validate_agent_layer,provider_write_requested
microsoft-agents-governed-lab,C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab,https://github.com/universo-rey/microsoft-agents-governed-lab.git,ESCRIBANIA,TGE,universe.escribania_tower,04_TORRES_DE_UNIVERSO,read|validate|upstream_compare|local_doc_update,microsoft_live|tenant_write|production|permission_change|upstream_push|git_write_without_order,microsoft_agents_lab_readback,tool.local_validate_agent_layer,microsoft_live_or_productive_agent_without_order
