gate,status,decision,external_executed,commit,source_email_refs,next_action
0.3.0,EXECUTED_SUCCESS,GITHUB_LABELS_ONLY_SUCCESS,true,b862951b,email_rescan:dependabot_labels,NONE
0.3.12,CLOSED_LOCAL,DEPENDABOT_PR_REVIEW_LOCAL_CLOSED,false,b4e0c58,email_rescan:dependency_pr_queue,HUMAN_REVIEW_OR_CI_GATE
0.3.13,CLOSED_LOCAL_WITH_REMOTE_LOG_PACKET,CABINA_RUNTIME_CI_TRIAGE_LOCAL_CLOSED_WITH_REMOTE_LOG_PACKET,false,f025351,email_rescan:runtime_connections_ci,OPEN_REMOTE_LOG_GATE_WHEN_AUTHORIZED
0.3.4,READY_FOR_REMOTE_REPO_PATCH_GATE,DATAVERSE_DEV_PRECHECK_PATCH_PACKET_READY,false,47e540d,email_rescan:dataverse_dev_registry,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.5,READY_FOR_REMOTE_REPO_PATCH_GATE,POWER_AUTOMATE_VALIDATOR_PATCH_PACKET_READY,false,a9ad678,email_rescan:power_automate_validator,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.10,READY_FOR_REMOTE_REPO_PATCH_GATE,BRIDGE_AUTH_VALIDATOR_PATCH_PACKET_READY,false,5be0366,email_rescan:local_bridge_auth,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.15,READY_FOR_REMOTE_REPO_PATCH_GATE,BRIDGE_LOOPBACK_MCP_GATING_PACKET_READY,false,ebec192,email_rescan:bridge_loopback_mcp,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.16,READY_FOR_REMOTE_REPO_PATCH_GATE,GOVERNANCE_CI_PATH_COVERAGE_PACKET_READY,false,ed8cae1,email_rescan:governance_ci_path,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.17,READY_FOR_REMOTE_REPO_PATCH_GATE,NO_PS_VALIDATOR_WIRING_PACKET_READY,false,5e6bada,email_rescan:no_ps_validator,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.18,READY_FOR_REMOTE_REPO_PATCH_GATE,MCP_CODEX_CLOUD_PREFLIGHT_CHECKOUT_PACKET_READY,false,dac983f,email_rescan:mcp_codex_cloud_preflight,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.19,READY_FOR_REMOTE_REPO_PATCH_GATE,LOCAL_SYNTHETIC_HARNESS_PACKET_READY,false,eaa2088,email_rescan:local_synthetic_harness,OPEN_REMOTE_REPO_PATCH_GATE_WHEN_AUTHORIZED
0.3.20,READY_FOR_REMOTE_REGEN_GATE,CHANGE_AWARE_EVIDENCE_REFRESH_PACKET_READY,false,7666633,email_rescan:change_aware_evidence_refresh,OPEN_REMOTE_REGEN_GATE_WHEN_AUTHORIZED
0.3.1,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:evidence_source_path,WAIT_OWNER
0.3.2,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_CANON_OWNER,false,7e7ce87,email_rescan:pr130_constitution_sync,WAIT_OWNER
0.3.3,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:sdu_cn_issue_prep,WAIT_OWNER
0.3.6,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:sdu_cn_gates,WAIT_OWNER
0.3.7,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:sdu_cn_order_viva_and_tool_enum,WAIT_OWNER
0.3.8,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:sdu_cn_validator,WAIT_OWNER
0.3.9,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:local_agent_memory,WAIT_OWNER
0.3.11,READY_FOR_OWNER_AUTHORIZATION,REQUIRES_REMOTE_REPO_GATE,false,7e7ce87,email_rescan:agile_canvas_postcheck,WAIT_OWNER
