risk_id,path_pattern,risk_level,priority,parallelism,required_tags,expansion,blocks_release,reason
risk.workflow,.github/**,critical,1,1,workflow|github|preflight,full_plus_ci,true,ci_cd_changed
risk.runner,.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1,critical,1,1,orchestrator|manifest|graph|coverage|workflow,full_plus_ci,true,orchestrator_changed
risk.validator_tools,.agents/codex/tools/**,critical,2,1,tools|validators|runtime|agents,full_plus_ci,true,shared_validator_changed
risk.manifest,.agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv,critical,1,1,manifest|orchestrator|coverage,full,true,mandatory_test_manifest_changed
risk.impact_graph,.agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv,critical,1,1,graph|orchestrator|coverage,full,true,impact_graph_changed
risk.risk_policy,.agents/codex/matrices/CHANGE_AWARE_RISK_POLICY.csv,critical,1,1,risk|orchestrator|coverage,full,true,risk_policy_changed
risk.global_config,AGENTS.md,critical,1,1,instructions|governance|chain,full,true,global_config_changed
risk.manifest_root,MANIFEST.yaml,critical,1,1,governance|manifest,full,true,root_manifest_changed
risk.authority,02_AUTHORITY_CANON/**,critical,2,1,governance|chain|frontier,full,true,authority_canon_changed
risk.registry,01_GOVERNANCE_REGISTRY/**,high,3,2,repo_alignment|registry|matrix,full,true,registry_changed
risk.codex_config,.codex/**,high,3,2,codex_app|environment,full,true,codex_environment_changed
risk.agent_matrices,.agents/codex/matrices/**,high,4,2,matrix|governance|agents,full,true,shared_matrix_changed
risk.skills,.agents/skills/**,high,4,2,skills|metadata|capability,full,true,repo_local_skill_changed
risk.agent_profiles,.agents/codex/agents/**,high,5,2,agents|parallel|matrix,full,true,agent_profile_changed
risk.recipes,.agents/codex/recipes/**,high,5,2,orders|capability|parallel,full,true,recipe_changed
risk.maps,.agents/codex/maps/**,medium,6,3,governance|frontier|instructions,full,false,map_changed
risk.readbacks,.agents/codex/readbacks/**,medium,7,3,readback|evidence|agents,full,false,evidence_changed
risk.default,**,medium,50,3,all,full,false,default_full_coverage
