surface,max_real_state,mode,evidence,status_notes,next_lane
PROJEC_CDX_control_tower,MAX_STATE_FAN_IN_VERIFIED,READ_ONLY_FAN_IN,operativa/archive/legacy-root/20260617/READBACK_MAXIMO_ESTADO_REAL_SUPERFICIES_20260617.md,"branch codex/dataverse-corte-ejecutora-v1 clean at d6d1d30; cierre_total NO_DECLARADO",delta_select_next_metadata_lane_after_max_state_fan_in
Documental_local,MICROSOFT_SGIN_HITOS_CONSOLIDATED,LOCAL_DOCUMENTAL,hitos/20260617-microsoft-sgin-hitos-documental-v1/README.md,"no live refresh; no writes in consolidation",delta_select_next_metadata_lane_after_max_state_fan_in
Microsoft_M365_tenant,OBSERVED_READ_ONLY,SNAPSHOT_LOCAL,operativa/archive/legacy-root/20260617/READBACK_MICROSOFT_SGIN_HITOS_DOCUMENTAL_20260617.md,"tenant Escribania Bitsch; 6 Teams; 24 Planner plans; 2630 sanitized tasks; no current live refresh",delta_select_next_metadata_lane_after_max_state_fan_in
SharePoint_SGIN,OBSERVED_READ_ONLY,SNAPSHOT_LOCAL,operativa/archive/legacy-root/20260616/READBACK_SGIN_OBSERVED_READ_ONLY_20260616.md,"site /sites/sistema; drive Documentos compartidos; 41 lists/libraries metadata; no direct SPGovernance link",SGIN_documental_lists_metadata
SharePoint_Seshat,LIVE_SHAREPOINT_DOCUMENT_WRITE,LIVE_WRITE_DOCUMENTAL,operativa/archive/legacy-root/20260617/READBACK_BINDING_UI_SESHAT_HOME_ATOMOS_20260617.md,"four atoms published; Home.aspx not edited; no page publish; no permissions changed",Home_aspx_page_binding
Dataverse_HUBDesarrollo,LIVE_METADATA_POINTER_WRITE,LIVE_METADATA_POINTER,operativa/archive/legacy-root/20260617/READBACK_DATAVERSE_POINTER_BINDING_UI_SESHAT_HOME_ATOMOS_20260617.md,"five metadata-only pointers confirmed by local evidence; no document payload written",delta_select_next_metadata_lane_after_max_state_fan_in
Power_Platform_SDU_runtime,OBSERVED_READ_ONLY,SNAPSHOT_LOCAL,operativa/archive/legacy-root/20260616/READBACK_DATAVERSE_POWER_PLATFORM_TENANT_ESCRIBANIA_BITSCH_20260616.md,"817 solutions; 1165 workflows; 36 bots/copilots; 8 workqueues; 373 queue items; no flow run",SDU_runtime_queue_priorities
Codex_Cloud_SDK,SDK_LOCAL_LAUNCH_OBSERVED_CLOUD_UI_FRONTIER,LOCAL_SDK_OBSERVED,operativa/archive/legacy-root/20260617/READBACK_CODEX_CLOUD_SDK_LAUNCH_20260617.md,"Agents SDK local observed; bridge PASS; no Cloud task API; UI external optional",delta_capture_codex_cloud_ui_smoke_result_if_owner_runs_external_task
Repos_Git,PR_READY_LOCAL_EVIDENCE,LOCAL_GIT_EVIDENCE,operativa/archive/legacy-root/20260617/READBACK_ROOT_REPOS_AGENTS_CODEX_REVIEW_20260617.md,"12 PRs draft by local evidence; codex-root clean; no merge; live GitHub status not confirmed",delta_select_repo_pr_lane_with_authenticated_refresh
Threads_5_plus_1,THREADS_OPENED_FAN_IN_FINAL_DECISION_READY,THREAD_FAN_IN,operativa/archive/legacy-root/20260617/READBACK_THREAD_FAN_IN_FINAL_5_PLUS_1_20260617.md,"spokes returned contracts; later deltas closed E D C AB F",delta_select_next_metadata_lane_after_max_state_fan_in
Gates_and_blockers,NINGUNO_OPERATIVO_ACTIVO,GOVERNED_GATES,operativa/archive/legacy-root/undated/BLOCKERS.md,"no real blocker active; writes require target owner rollback postcheck evidence",delta_select_next_metadata_lane_after_max_state_fan_in
Home_aspx,DELTA_TECNICO_WAITING_UI_PNP_PAGE_API,WAITING_TECHNICAL_CONTEXT,operativa/archive/legacy-root/20260616/BINDING_HOME_SESHAT_UI_READY_20260616.md,"Graph/page API got 403; alternative binding document published; not human blocker",Home_aspx_page_binding
