info_id,surface_id,question,needed_for,collection_mode,allowed_now,blocked_without_gate,owner_agent,validator,stop_condition
info.vsi.storage_owners,surface.vscode_insiders,"Which extensions own the largest globalStorage folders?","decide if VSI cleanup is useful and safe",local_filesystem_metadata,true,"deleting or copying storage content",thot-tecnico,storage-inventory.json,PENDING_APPROVAL_ONLY
info.vsi.active_workspaces,surface.vscode_insiders,"Which workspaces are active in VSI without exposing file contents?","avoid closing active work or cleaning useful workspaceStorage",sanitized_metadata,true,"reading broad workspace contents or personal files",thot-tecnico,process-inventory.json,EXECUTED_LOCAL_VALIDATED
info.local.path_policy,surface.local_tooling,"Which installed CLI paths should be process-only and which should be permanent?","make terminals reliable without registry risk",local_inventory,true,"registry/user PATH write",thot-tecnico,Get-Command inventory,PENDING_APPROVAL_ONLY
info.gcp.region_runtime,surface.gcp_agent_cloud,"Which region and runtime shape should the first cloud agent use?","Cloud Run or Vertex gate packet",operator_decision,false,"API enable or deploy",sdu-triage-agent,gate packet,PENDING_TARGET_ONLY
info.gcp.cost_boundary,surface.gcp_agent_cloud,"What max spend and billing boundary are approved?","cloud deploy or API enable",operator_decision,false,"billing enable; paid services",court.sdu_gate,gate packet,PENDING_COST_BOUNDARY_ONLY
info.gcp.identity,surface.gcp_agent_cloud,"Which service account or identity should own the cloud agent?","IAM and runtime ownership",operator_decision,false,"IAM write; service account creation",court.openai_dispatcher,target exactness matrix,PENDING_OWNER_ONLY
info.power.flow_smoke,surface.microsoft_power_platform,"What local-only desktop flow should be used as first smoke?","Power Automate Desktop proof without connectors",operator_decision_or_local_mock,true,"connector login; tenant flow publish",sdu-triage-agent,local smoke readback,EXECUTED_LOCAL_VALIDATED
info.power.environment,surface.microsoft_power_platform,"Which Power Platform environment is in scope, if any?","solution check or apply planning",operator_decision,false,"Dataverse/Power Platform write",maat-cumplimiento,target exactness matrix,PENDING_TARGET_ONLY
info.m365.targets,surface.microsoft_365,"Which tenant, site, team, channel or list is the exact target?","read-only inventory or write order packet",operator_decision,false,"Graph/SharePoint/Teams mutation",maat-cumplimiento,target exactness matrix,PENDING_TARGET_ONLY
info.github.pr_decision,surface.github_remote,"Should the current codex/local-tooling-continuity-handoff branch be pushed as PR?","remote review and checks",operator_decision,false,"push or PR without repo-scoped order",rey.repo_cartographer,gh pr status after push,READY_FOR_PR_CREATE
info.openai.data_boundary,surface.openai_agents,"What data may be sent to OpenAI live and what must remain local?","Responses API or Agents SDK live gate",operator_decision,false,"live API call with sensitive payload",court.openai_dispatcher,gate packet,PENDING_SECRET_ONLY
info.openai.cost_boundary,surface.openai_agents,"What max cost applies to live OpenAI agent tests?","live eval or agent run",operator_decision,false,"OpenAI API cost",court.sdu_gate,gate packet,PENDING_COST_BOUNDARY_ONLY
info.evidence.promotion,surface.evidence_memory,"Which local evidence folders should be summarized into repo matrices?","keep mesa de trabajo current without copying raw logs",local_review,true,"copying raw logs with secrets or broad personal data",court.seshat_evidence,secret scan,EXECUTED_LOCAL_VALIDATED
