id,category,item,status,evidence,sdu_owner,cdf_request_when,gate,notes
CONSOLE-001,cli,code-insiders,DETECTADO,"CLI 1.122.0-insider",thot-tecnico,"normalizar cabina VS Code Insiders",REPO_ONLY,"CLI rector propuesto"
CONSOLE-002,cli,code,DETECTADO,"CLI 1.120.0",thot-tecnico,"comparar extensiones con Insiders",REPO_ONLY,"no usar como cabina rectora sin decision CDF"
CONSOLE-003,cli,pwsh,DETECTADO,"PowerShell 7.6.2",thot-tecnico,"mantener validaciones repo-only",REPO_ONLY,"validador local usa PowerShell"
CONSOLE-004,cli,git,DETECTADO,"git 2.53.0.windows.3",anubis-gate,"operaciones repo bajo aprobacion",REPO_ONLY,"no push sin orden"
CONSOLE-005,cli,gh,DETECTADO,"GitHub CLI 2.91.0",anubis-gate,"GitHub teams/permisos/CI",GITHUB_CDF_TEAM_PROVISIONING_GATE,"teams requieren organizacion GitHub"
CONSOLE-006,cli,node,DETECTADO,"node v24.15.0",thot-tecnico,"tooling local si CDF lo requiere",REPO_ONLY,"sin package.json detectado"
CONSOLE-007,cli,npm,DETECTADO,"npm CLI presente",thot-tecnico,"tooling local si CDF lo requiere",REPO_ONLY,"sin scripts npm detectados"
CONSOLE-008,cli,python,DETECTADO,"Python 3.11.9",thot-tecnico,"reportes o validadores si CDF lo requiere",REPO_ONLY,"tambien existe py launcher"
CONSOLE-009,cli,pac,DETECTADO,"Power Platform CLI presente",anubis-gate,"Power Platform o Dataverse",MICROSOFT_LIVE_GOVERNED_REQUIRES_GATE,"no ejecutar live sin gate"
CONSOLE-010,cli,m365,DETECTADO,"Microsoft 365 CLI presente",anubis-gate,"Microsoft 365 live",MICROSOFT_LIVE_GOVERNED_REQUIRES_GATE,"no ejecutar live sin gate"
CONSOLE-011,cli,dotnet,DETECTADO,"dotnet CLI presente",thot-tecnico,"tooling local si CDF lo requiere",REPO_ONLY,"version no capturada"
CONSOLE-012,cli,docker,NO_DETECTADO,"Get-Command no encontro docker",thot-tecnico,"contenedores locales",REQUIERE_CDF,"pedir solo si CDF lo justifica"
CONSOLE-013,cli,az,NO_DETECTADO,"Get-Command no encontro az",anubis-gate,"Azure CLI",REQUIERE_CDF,"Azure live requiere gate"
CONSOLE-014,cli,java,NO_DETECTADO,"Get-Command no encontro java",thot-tecnico,"tooling Java",REQUIERE_CDF,"pedir solo si aparece dependencia"
CONSOLE-015,module,Microsoft.Graph,DETECTADO,"Modulo PowerShell 2.36.1",anubis-gate,"Graph read/write",MICROSOFT_LIVE_GOVERNED_REQUIRES_GATE,"no usar live sin gate"
CONSOLE-016,module,PnP.PowerShell,DETECTADO,"Modulo PowerShell 3.1.0",anubis-gate,"SharePoint read/write",MICROSOFT_LIVE_GOVERNED_REQUIRES_GATE,"no usar live sin gate"
CONSOLE-017,module,Az.Accounts,DETECTADO,"Modulo PowerShell 5.3.4",anubis-gate,"Azure auth/context",MICROSOFT_LIVE_GOVERNED_REQUIRES_GATE,"no usar live sin gate"
CONSOLE-018,module,ImportExcel,DETECTADO,"Modulo PowerShell 7.8.10",thot-tecnico,"matrices/reportes locales",REPO_ONLY,"apto para salidas saneadas"
CONSOLE-019,module,MicrosoftTeams,NO_DETECTADO,"Modulo no detectado",anubis-gate,"Teams PowerShell",REQUIERE_CDF,"Teams send sigue gateado"
CONSOLE-020,extension,ms-vscode.powershell,DETECTADO_INSIDERS,"extension detectada",thot-tecnico,"mantener",REPO_ONLY,"recomendada por repo"
CONSOLE-021,extension,redhat.vscode-yaml,DETECTADO_INSIDERS,"extension detectada",thot-tecnico,"mantener",REPO_ONLY,"recomendada por repo"
CONSOLE-022,extension,DavidAnson.vscode-markdownlint,DETECTADO_INSIDERS,"extension detectada",thot-tecnico,"mantener",REPO_ONLY,"recomendada por repo"
CONSOLE-023,extension,mechatroner.rainbow-csv,DETECTADO_INSIDERS,"extension detectada",thot-tecnico,"mantener",REPO_ONLY,"recomendada por repo"
CONSOLE-024,extension,yzhang.markdown-all-in-one,NO_DETECTADO_INSIDERS,"recomendada no detectada",thot-tecnico,"instalar o declarar no aplicable",REQUIERE_CDF,"apoyo Markdown"
CONSOLE-025,extension,cweijan.vscode-office,NO_DETECTADO_INSIDERS,"recomendada no detectada",seshat-normativa,"instalar o declarar no aplicable",REQUIERE_CDF,"apoyo lectura Office"
CONSOLE-026,extension,tomoki1207.pdf,NO_DETECTADO_INSIDERS,"recomendada no detectada",seshat-normativa,"instalar o declarar no aplicable",REQUIERE_CDF,"apoyo lectura PDF"
CONSOLE-027,extension,hediet.vscode-drawio,NO_DETECTADO_INSIDERS,"recomendada no detectada",thot-tecnico,"instalar o declarar no aplicable",REQUIERE_CDF,"diagramas"
CONSOLE-028,extension,bierner.markdown-mermaid,NO_DETECTADO_INSIDERS,"recomendada no detectada",thot-tecnico,"instalar o declarar no aplicable",REQUIERE_CDF,"diagramas Mermaid"
CONSOLE-029,extension,shd101wyy.markdown-preview-enhanced,NO_DETECTADO_INSIDERS,"recomendada no detectada",narrador-normativo,"instalar o declarar no aplicable",REQUIERE_CDF,"preview documental"
CONSOLE-030,extension,marp-team.marp-vscode,NO_DETECTADO_INSIDERS,"recomendada no detectada",narrador-normativo,"instalar o declarar no aplicable",REQUIERE_CDF,"presentaciones"
CONSOLE-031,extension,docsmsft.docs-authoring-pack,NO_DETECTADO_INSIDERS,"recomendada no detectada",narrador-normativo,"instalar o declarar no aplicable",REQUIERE_CDF,"authoring documental"
CONSOLE-032,extension,streetsidesoftware.code-spell-checker,NO_DETECTADO_INSIDERS,"recomendada no detectada",narrador-normativo,"instalar o declarar no aplicable",REQUIERE_CDF,"correccion textual"
