"upstream_id","repository","url","category","current_signal","latest_release_or_state","pushed_at","license","authority_class","allowed_use","blocked_use","owner_agent","reviewer_agent","skill_refs","recipe_refs","tool_refs","evidence","validator","status","stop_condition"
"openai.codex","openai/codex","https://github.com/openai/codex","codex_runtime","Lightweight coding agent that runs in terminal","rust-v0.136.0 published 2026-06-01","2026-06-02T15:04:15Z","Apache-2.0","official_technical_reference","codex_cli_reference|local_runtime_reference|version_check","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","codex.workspace_guardian","openai-docs|github:github","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|openai_two_wave_readback",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","source_uncertain|openai_api_live_requested_without_order|production_requested_without_explicit_authorization|secret_detected"
"openai.skills","openai/skills","https://github.com/openai/skills","codex_skills_catalog","Skills Catalog for Codex","no release found by gh repo view","2026-05-29T16:20:41Z","NOASSERTION","official_technical_reference","skill_catalog_drift_reference|metadata_pattern_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","skill-creator|skill-judge|openai-docs","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|skill_reference_source_matrix",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","source_uncertain|skill_metadata_missing_or_ambiguous|secret_detected"
"openai.cookbook","openai/openai-cookbook","https://github.com/openai/openai-cookbook","cookbook_examples","Examples and guides for using OpenAI API","no release found by gh repo view","2026-06-01T18:59:26Z","MIT","official_technical_reference","cookbook_pattern_reference|repair_loop_reference|example_triage","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.openai_dispatcher","openai-docs|tcu-harness-evals-agentes","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|cookbook_repair_loop_page",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.agents_python","openai/openai-agents-python","https://github.com/openai/openai-agents-python","agents_sdk_python","Lightweight framework for multi-agent workflows","v0.17.4 published 2026-05-26","2026-05-31T05:07:49Z","MIT","official_technical_reference","agents_sdk_python_local_design|handoff_guardrail_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","court.sdu_gate","openai-developers:agents-sdk|tcu-harness-evals-agentes","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|runtime_alignment_matrix",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","openai_api_live_requested_without_order|api_or_remote_agent_requested|secret_detected"
"openai.agents_js","openai/openai-agents-js","https://github.com/openai/openai-agents-js","agents_sdk_js_realtime","Multi-agent workflows and voice agents","v0.11.6 published 2026-05-29","2026-06-01T21:58:21Z","MIT","official_technical_reference","agents_sdk_js_local_design|voice_realtime_sandbox_reference","treat_as_canon|bulk_copy|openai_api_live|microsoft_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","rey.frontier_guardian","openai-developers:agents-sdk|teams:teams","recipe.openai_local_agent_design|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|teams_cross_repo_lane_audit",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","MAP_LOCAL_ONLY","openai_api_live_requested_without_order|microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization|secret_detected"
"openai.openapi","openai/openai-openapi","https://github.com/openai/openai-openapi","api_contract","OpenAPI specification for OpenAI API","2.0.0 published 2023-06-19; repo pushed 2026-05-13","2026-05-13T20:12:21Z","MIT","official_technical_reference","api_contract_drift_reference|schema_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","openai-docs|mcp-builder","recipe.workspace_reference_audit|recipe.schema_tool_contract|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|openapi_contract_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.codex_action","openai/codex-action","https://github.com/openai/codex-action","github_action","Codex GitHub Action surface","no release found by gh repo view","2026-05-26T04:30:02Z","Apache-2.0","official_technical_reference","github_action_reference|ci_option_assessment","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|workflow_write_without_order|remote_agent_persistence","codex.workspace_guardian","rey.frontier_guardian","github:github|cabina-github-actions-templates","recipe.github_pr_lifecycle_governed|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|github_actions_policy",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","DEFER_UNTIL_CI_ORDER","merge_or_force_push_or_actions_write_permission_without_order|openai_api_live_requested_without_order|secret_detected"
"openai.evals","openai/evals","https://github.com/openai/evals","eval_framework","LLM and system eval framework","no release found by gh repo view","2026-04-14T15:29:57Z","NOASSERTION","official_technical_reference","eval_design_reference|benchmark_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.thot_schema","court.sdu_gate","tcu-harness-evals-agentes|openai-docs","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.synthetic_eval_manifest|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|local_eval_manifest",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","MAP_LOCAL_ONLY","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.guardrails_python","openai/openai-guardrails-python","https://github.com/openai/openai-guardrails-python","guardrails_python","OpenAI Guardrails Python","v0.2.1 published 2025-12-15","2026-03-28T10:18:54Z","MIT","official_technical_reference","guardrail_pattern_reference|blocked_surface_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","rey.frontier_guardian","openai-developers:agents-sdk|tcu-harness-evals-agentes","recipe.openai_local_agent_design|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|boundary_policy_rows",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","MAP_LOCAL_ONLY","openai_api_live_requested_without_order|secret_detected"
"openai.guardrails_js","openai/openai-guardrails-js","https://github.com/openai/openai-guardrails-js","guardrails_js","OpenAI Guardrails JavaScript","v0.2.1 published 2025-12-15","2026-03-26T23:50:02Z","MIT","official_technical_reference","guardrail_pattern_reference|js_agent_boundary_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","rey.frontier_guardian","openai-developers:agents-sdk|tcu-harness-evals-agentes","recipe.openai_local_agent_design|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|boundary_policy_rows",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","MAP_LOCAL_ONLY","openai_api_live_requested_without_order|secret_detected"
