source_path,detected_gate_id,canonical_gate_id,status,decision,evidence,requires_operator_decision
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_CONNECTOR_REGISTRY_NO_SECRET,GATE_CONNECTOR_REGISTRY_NO_SECRET,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_GITHUB_REPO_SCOPED,GATE_GITHUB_REPO_SCOPED,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_OPENAI_LIVE_GOVERNED_ORDER,GATE_OPENAI_LIVE_GOVERNED_ORDER,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
dataverse/MAPA_CONEXIONES_DATAVERSE.md,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,CANONICAL_OK,keep,Local Dataverse connection map defines this gate,false
operativa/SDU_RUNTIME_BOUNDARY_MATRIX.json,no_external_without_gate,no_external_without_gate,CANONICAL_OK,keep,Boundary matrix keeps external surfaces blocked without gate,false
operativa/SDU_RUNTIME_BOUNDARY_MATRIX.json,no_secret_exposure,no_secret_exposure,CANONICAL_OK,keep,Boundary matrix blocks secret exposure,false
operativa/SDU_RUNTIME_BOUNDARY_MATRIX.json,no_implicit_execution,no_implicit_execution,CANONICAL_OK,keep,Boundary matrix blocks implicit execution,false
email:last_30_days:SeshatSgin/seshat-bootstrap-sdu-cn,SDU_CN_*_GATE,,UNKNOWN_GATE,hold_until_repo_or_dataverse_crosscheck,No local gates.yaml found in PROJEC CDX; external repo not read in this local-only pass,true
email:last_30_days:multi_repo,owner_gate,owner_gate,CANONICAL_OK,keep,Owner gate is the canonical human authorization boundary,false
