runner_id,ide_entrypoint,path_or_command,lane,owner,status,allowed_without_gate,blocked_without_gate,postcheck,notes
vscode_insiders,Code Insiders CLI,C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin\code-insiders.cmd,01_RUNTIME,codex.workspace_guardian,CONNECTED_READ_OK,"--version,--status,--list-extensions","settings mutation,extension removal,storage cleanup","code-insiders --status","IDE control-plane surface"
openai_chatgpt_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\openai.chatgpt-26.616.51431-win32-x64,07_CONNECTORS,tech.reference_librarian,CONFIG_PRESENT_NOT_EXECUTED,"locate,status","cloud delegate,config mutation","locate-extension","Codex IDE extension"
python_venv,Integrated terminal,C:\CEO\project-cdx\.venv\Scripts\python.exe,01_RUNTIME,thot_schema,ACTIVE_CANON,"metadata validate,sentinel,pytest","pip install,external API","python -m tools.validate","canonical Python runner"
pytest,Integrated terminal,C:\CEO\project-cdx\.venv\Scripts\pytest.exe,05_COMMANDS_RUNNERS,thot_schema,ACTIVE_CANON,"pytest -q","test requiring live services","pytest -q","test suite runner"
metadata_cli,Integrated terminal,python -m tools.validate,08_METADATA_EVIDENCE,thot_schema,ACTIVE_CANON,"validate","build-index/promote without gate","OK metadatos validos","metadata read validation"
sdu_sentinel,Integrated terminal,python tools\sdu_sentinel.py,05_COMMANDS_RUNNERS,anubis.frontier_guardian,ACTIVE_CANON,"scan,check,guard classification","external execution without gate","sentinel scan/check","sentinel layer"
sdu_auto_remediation,Integrated terminal,python tools\sdu_auto_remediation.py analyze,05_COMMANDS_RUNNERS,anubis.frontier_guardian,ACTIVE_CANON,"analyze","apply/remediate without order","NO_DRIFT/local_changes 0","local-only analyzer"
sdu_boot,Integrated terminal,powershell -ExecutionPolicy Bypass -File tools\sdu_boot.ps1 -Mode all -Agent All -NoExternal -DryRun,02_AGENT_CHAIN,codex.workspace_guardian,ACTIVE_CANON,"NoExternal DryRun","external/live mode","SDU_BOOT_OK","local boot gate"
sdu_chain_resolver,Integrated terminal,python tools\sdu_chain_resolver.py --no-external --dry-run --json,02_AGENT_CHAIN,ramanujan.sequence_controller,ACTIVE_CANON,"no-external dry-run","external connector execution","resolver PASS","nervous-system chain check"
github_actions_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\github.vscode-github-actions-0.32.0,03_REPOS,faraday.integration_guard,ON_DEMAND_GATED,"workflow visibility","workflow_dispatch","GitHub gate readback","GitHub runner surface"
github_pr_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\github.vscode-pull-request-github-0.151.2026062204,03_REPOS,faraday.integration_guard,ON_DEMAND_GATED,"PR read/review when ordered","PR create/merge/write","GitHub gate readback","PR surface"
powerplatform_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\microsoft-isvexptools.powerplatform-vscode-2.0.145,07_CONNECTORS,faraday.integration_guard,GATED_NOT_EXECUTABLE,"inventory,status","PAC live,flow execution,Dataverse write","Power Platform gate readback","Power Platform surface"
azure_mcp_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\ms-azuretools.vscode-azure-mcp-server-3.0.20-win32-x64,07_CONNECTORS,anubis.frontier_guardian,GATED_NOT_EXECUTABLE,"inventory only","MCP execution,Azure mutation","MCP gate readback","MCP config surface"
powershell_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\ms-vscode.powershell-2025.4.0,01_RUNTIME,codex.workspace_guardian,ACTIVE_LOCAL,"terminal/script editing","profile mutation without backup","PowerShell postcheck","PowerShell IDE support"
python_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\ms-python.python-2026.5.2026061001-win32-x64,01_RUNTIME,thot_schema,ACTIVE_LOCAL,"Python editing/env view","env mutation without owner","Python postcheck","Python IDE support"
jupyter_extension,VS Code extension,C:\Users\enzo1\.vscode-insiders\extensions\ms-toolsai.jupyter-2026.6.2026061001-win32-x64,07_CONNECTORS,faraday.integration_guard,ON_DEMAND_GATED,"notebook local if needed","external notebook/data upload","notebook gate readback","Data Analytics runner"
cabina_governance_precheck,PowerShell runner,tools\cabina\Invoke-CabinaGovernancePrecheck.ps1,05_COMMANDS_RUNNERS,codex.workspace_guardian,ACTIVE_CANON,"local precheck,VS Code Insiders status,metadata,sentinel,pytest,diff-check","settings mutation,DB/cache cleanup,MCP execution,live write","Invoke-CabinaGovernancePrecheck.ps1 -Json","PowerShell-safe runner for macro-wave execution"
