path,kind,classification,owner,carril,allowed_actions,blocked_actions,gate,validator,status,notes
C:\CEO,folder,RUNTIME_INFRA,codex.workspace_guardian,WORKSPACE,"read,inspect,backup_planned","delete,move,global mutation without owner",OWNER_GATE_FOR_WRITE,"PowerShell read,manual review",ACTIVE_CANON,"fachada CEO y runtime local"
C:\CEO\project-cdx,junction_workspace,CANON_REPO,codex.workspace_guardian,WORKSPACE,"read,validate,local commit","treat as second repo,live write,push without decision",GIT_GATE_FOR_REMOTE,"git status,metadata,sentinel,pytest",ACTIVE_CANON,"workspace rector"
C:\Users\enzo1\PROJEC CDX,physical_alias,WORKBENCH,codex.workspace_guardian,WORKSPACE,"read as alias","operate as second active workspace",OWNER_GATE_FOR_IDENTITY_CHANGE,"junction validation",ACTIVE_ALIAS,"alias fisico del repo"
C:\Users\enzo1\.codex,folder,CODEX_MEMORY,tech.reference_librarian,CONNECTOR,"read configs,read skills","DB mutation,cache cleanup,worktree move,secret read",OWNER_GATE_WITH_BACKUP,"config read,sentinel",GATED,"infra Codex global"
C:\Users\enzo1\.vscode-insiders,folder,RUNTIME_INFRA,codex.workspace_guardian,WORKSPACE,"read extension inventory,status","delete extensions,clear storage without owner",OWNER_GATE_FOR_CLEANUP,"code-insiders --status",GATED,"extensiones y estado IDE"
C:\Users\enzo1\Documents\GitHub,folder,CHILD_REPO_ROOT,rey.repo_cartographer,REPOS,"read repo status","mutate child repos by inference",OWNER_GATE_PER_REPO,"git status per repo",GATED,"repos hijos y externos"
C:\CEO\worktrees,folder,WORKTREE_ROOT,rey.repo_cartographer,REPOS,"read list","delete,move,absorb .git",OWNER_GATE_FOR_WORKTREE,"git worktree list",GATED,"worktrees CEO"
C:\CEO\repos,folder,SOURCE_TREE_ROOT,rey.repo_cartographer,REPOS,"read inventory","clone/move/delete without owner",OWNER_GATE_FOR_REPO_MUTATION,"repo inventory",GATED,"arbol fuente CEO"
C:\CEO\.metadata,folder,RUNTIME_INFRA,thot_schema,SCHEMA,"read metadata","write without schema gate",OWNER_GATE_FOR_METADATA_WRITE,"metadata validate",GATED,"metadata local CEO"
C:\CEO\tools,folder,RUNTIME_INFRA,codex.workspace_guardian,WORKSPACE,"read tool paths","install/replace tools without owner",OWNER_GATE_FOR_TOOLING,"where/Get-Command",GATED,"PAC y herramientas locales"
operativa,repo_folder,CANON_CONTROL,seshat.canon_librarian,CANON,"read,write governed evidence","dump noise,duplicate maps",DELTA_GATE,"metadata,sentinel",ACTIVE_CANON,"actas,readbacks,planes,matrices"
inventarios,repo_folder,EVIDENCE_INDEX,seshat.canon_librarian,CANON,"read,write governed inventories","unbounded generated noise",DELTA_GATE,"metadata,sentinel",ACTIVE_CANON,"inventarios versionados"
docs,repo_folder,DOCUMENTAL,seshat.canon_librarian,CANON,"read,write docs with front matter","duplicate root canon",DELTA_GATE,"metadata,link review",ACTIVE_CANON,"documentacion"
tools,repo_folder,EXECUTION,codex.workspace_guardian,WORKSPACE,"read,local validators","live scripts without gate",EXECUTION_GATE,"sentinel,pytest",ACTIVE_CANON,"validadores y scripts"
outputs,repo_folder,GENERATED_EVIDENCE,court.maat_governance,GOBIERNO,"read,version final evidence only","stage previews/cache",OWNER_GATE_FOR_OUTPUT,"git status,diff check",GATED,"salidas generadas"
