recipe_id,level_id,primary_agent,path,output
recipe.agent_surface_capability_assignment,04_TORRES_DE_UNIVERSO,universe.escribania_tower,.agents\codex\recipes\recipe.agent_surface_capability_assignment.md,surface_capability_assignment
recipe.agent_workpaper_operation,03_CORTE_EJECUTORA,court.seshat_evidence,.agents\codex\recipes\recipe.agent_workpaper_operation.md,agent_workpaper_packet
recipe.d_drive_agent_layer_enrichment,02_REGISTRO_Y_CARTOGRAFIA,rey.governance_registrar,.agents\codex\recipes\recipe.d_drive_agent_layer_enrichment.md,enrichment_delta
recipe.evidence_acta_closeout,03_CORTE_EJECUTORA,court.seshat_evidence,.agents\codex\recipes\recipe.evidence_acta_closeout.md,readback_acta
recipe.gate_decision_packet,01_AUTORIDAD_Y_GATES,rey.frontier_guardian,.agents\codex\recipes\recipe.gate_decision_packet.md,gate_packet
recipe.governed_readback_closeout,03_CORTE_EJECUTORA,court.seshat_evidence,.agents\codex\recipes\recipe.governed_readback_closeout.md,readback_closeout
recipe.github_pr_lifecycle_governed,02_REGISTRO_Y_CARTOGRAFIA,rey.repo_cartographer,.agents\codex\recipes\recipe.github_pr_lifecycle_governed.md,github_pr_lifecycle_readback
recipe.matrix_recipe_skill_sync,03_CORTE_EJECUTORA,court.thot_schema,.agents\codex\recipes\recipe.matrix_recipe_skill_sync.md,sync_delta
recipe.migration_preflight,02_REGISTRO_Y_CARTOGRAFIA,rey.migration_planner,.agents\codex\recipes\recipe.migration_preflight.md,migration_preflight
recipe.openai_prompt_pack_json_short,03_CORTE_EJECUTORA,court.openai_dispatcher,.agents\codex\recipes\recipe.openai_prompt_pack_json_short.md,prompt_pack
recipe.openai_local_agent_design,03_CORTE_EJECUTORA,court.openai_dispatcher,.agents\codex\recipes\recipe.openai_local_agent_design.md,openai_local_design_packet
recipe.governed_order_preparation,01_AUTORIDAD_Y_GATES,rey.frontier_guardian,.agents\codex\recipes\recipe.governed_order_preparation.md,governed_order_packet
recipe.parallel_agent_operation,00_ROUTER,rey.control_plane_orchestrator,.agents\codex\recipes\recipe.parallel_agent_operation.md,parallel_lane_packet
recipe.registry_enrichment,02_REGISTRO_Y_CARTOGRAFIA,rey.governance_registrar,.agents\codex\recipes\recipe.registry_enrichment.md,registry_delta
recipe.repo_agent_tool_governance,01_AUTORIDAD_Y_GATES,rey.authority_canonist,.agents\codex\recipes\recipe.repo_agent_tool_governance.md,governance_decision
recipe.repo_universe_alignment_runtime,03_CORTE_EJECUTORA,court.thot_schema,.agents/codex/recipes/recipe.repo_universe_alignment_runtime.md,repo_alignment_runtime_result
recipe.router_intake_classification,00_ROUTER,rey.control_plane_orchestrator,.agents\codex\recipes\recipe.router_intake_classification.md,routing_decision
recipe.schema_tool_contract,03_CORTE_EJECUTORA,court.thot_schema,.agents\codex\recipes\recipe.schema_tool_contract.md,schema_contract
recipe.sharepoint_complete_read_order,01_AUTORIDAD_Y_GATES,court.sdu_gate,.agents\codex\recipes\recipe.sharepoint_complete_read_order.md,sharepoint_complete_read_order_packet
recipe.universe_tower_handoff,04_TORRES_DE_UNIVERSO,universe.escribania_tower,.agents\codex\recipes\recipe.universe_tower_handoff.md,tower_handoff
recipe.workspace_reference_audit,05_SOPORTE_TECNICO,codex.workspace_guardian,.agents\codex\recipes\recipe.workspace_reference_audit.md,workspace_reference_readback
recipe.openai_review_repair_validate_loop,03_CORTE_EJECUTORA,court.openai_dispatcher,.agents\codex\recipes\recipe.openai_review_repair_validate_loop.md,openai_repair_loop_readback
recipe.codex_cloud_governed_lane,03_CORTE_EJECUTORA,court.openai_dispatcher,.agents\codex\recipes\recipe.codex_cloud_governed_lane.md,codex_cloud_governed_lane_readback
recipe.powershell_runtime_friction_guard,03_CORTE_EJECUTORA,court.thot_schema,.agents\codex\recipes\recipe.powershell_runtime_friction_guard.md,powershell_runtime_friction_readback
recipe.d_skill_availability_issue_pr_friction_review,03_CORTE_EJECUTORA,court.thot_schema,.agents\codex\recipes\recipe.d_skill_availability_issue_pr_friction_review.md,d_skill_availability_issue_pr_friction_readback
recipe.one-flow-one-item-runtime-test,01_AUTORIDAD_Y_GATES,court.sdu_gate,.agents\codex\recipes\recipe.one-flow-one-item-runtime-test.md,runtime_safe_state_evidence
recipe.retrospective-to-skill-propagation,03_CORTE_EJECUTORA,court.seshat_evidence,.agents\codex\recipes\recipe.retrospective-to-skill-propagation.md,retrospective_learning_package
recipe.backreference-target-mapping-before-write,01_AUTORIDAD_Y_GATES,rey.frontier_guardian,.agents\codex\recipes\recipe.backreference-target-mapping-before-write.md,backreference_target_decision
recipe.mapping-record-before-target-write,03_CORTE_EJECUTORA,court.seshat_evidence,.agents\codex\recipes\recipe.mapping-record-before-target-write.md,mapping_record_evidence
recipe.vsi_prepared_agent_task_execution,05_SOPORTE_TECNICO,codex.workspace_guardian,.agents\codex\recipes\recipe.vsi_prepared_agent_task_execution.md,vsi_task_execution_readback
recipe.vsi_live_surface_gate_packet,01_AUTORIDAD_Y_GATES,rey.frontier_guardian,.agents\codex\recipes\recipe.vsi_live_surface_gate_packet.md,vsi_live_gate_packet
recipe.parallel_tooling_validation_chain,03_CORTE_EJECUTORA,court.thot_schema,.agents\codex\recipes\recipe.parallel_tooling_validation_chain.md,tooling_validation_plan
