capability_id,level_id,primary_agent,capability_type,local_allowed,governed_order_required,blocked_without_order,evidence_required
cap.skill.repo_local_root,03_CORTE_EJECUTORA,court.thot_schema,repo_local_skill_storage,yes,no,secret_handling|live_execution_without_order,skill_usage_matrix
cap.agent.default_skills,03_CORTE_EJECUTORA,court.thot_schema,agent_default_skill_assignment,yes,no,openai_api_live|microsoft_live|production|secrets,agent_default_skill_assignment_matrix
cap.agent.workpapers,03_CORTE_EJECUTORA,court.thot_schema,workpaper_governance,yes,no,remote_persistent_agent|live_execution,agent_workpaper_readback
cap.canon.align,01_AUTORIDAD_Y_GATES,rey.authority_canonist,canon,yes,no,legal_final_decision|history_delete_without_archive,canon_readback
cap.capability.import,02_REGISTRO_Y_CARTOGRAFIA,rey.governance_registrar,capability_copy_adapt_governance,yes,github_write|live_runtime|external_api,repo_absorption|secret_handling|live_execution_without_order,capability_import_decision_matrix
cap.capability.source_inventory,05_SOPORTE_TECNICO,tech.reference_librarian,source_capability_inventory,yes,no,treating_reference_as_canon|copying_runtime_secrets,capability_source_inventory
cap.cdf.agent.versioning,04_TORRES_DE_UNIVERSO,universe.modo_on_tower,provider_agent_versioning,yes,microsoft_live_or_production,provider_control_without_trace|tenant_write,cdf_agent_versioning_readback
cap.codex.workspace,05_SOPORTE_TECNICO,codex.workspace_guardian,workspace_audit,yes,global_config_change,reading_secret_files,workspace_readback
cap.d_drive.enrich,02_REGISTRO_Y_CARTOGRAFIA,rey.governance_registrar,agent_layer_enrichment,yes,no,remote_write|live_runtime|secret_handling,enrichment_readback
cap.d_drive.sync,03_CORTE_EJECUTORA,court.thot_schema,index_sync_validation,yes,no,index_points_to_missing_file|tool_without_boundary,sync_readback
cap.document.skill_lane,05_SOPORTE_TECNICO,tech.reference_librarian,document_skill_routing,yes,no,broad_regulated_read|secret_bearing_document|microsoft_live|production,document_skill_lane_matrix
cap.evidence.acta,03_CORTE_EJECUTORA,court.seshat_evidence,evidence,yes,no,fabricating_evidence|external_record_write,acta_readback
cap.frontier.classify,01_AUTORIDAD_Y_GATES,rey.frontier_guardian,gate,yes,no,approving_own_gate|production_change,frontier_decision
cap.governance.repo_agent_tool,01_AUTORIDAD_Y_GATES,rey.authority_canonist,repo_agent_tool_governance,yes,no,asset_without_owner|write_without_order,governance_readback
cap.intake.route,00_ROUTER,rey.control_plane_orchestrator,routing,yes,no,remote_write|tenant_write|secret_handling,routing_readback
cap.migration.plan,02_REGISTRO_Y_CARTOGRAFIA,rey.migration_planner,migration_plan,yes,no,moving_files|changing_remotes,migration_plan
cap.openai.prompt_pack,03_CORTE_EJECUTORA,court.openai_dispatcher,prompt_recipe_eval,yes,api_live|remote_agent_persistence,openai_api_live_without_order,prompt_pack_readback
cap.reference.library,05_SOPORTE_TECNICO,tech.reference_librarian,reference,yes,no,treating_reference_as_canon|license_change,reference_index
cap.registry.normalize,02_REGISTRO_Y_CARTOGRAFIA,rey.governance_registrar,registry,yes,no,moving_assets|claiming_unknown_owner_confirmed,registry_delta
cap.repo.map,02_REGISTRO_Y_CARTOGRAFIA,rey.repo_cartographer,repo_inventory,yes,no,git_add|git_commit|git_push,repo_inventory
cap.repo.runtime_alignment,03_CORTE_EJECUTORA,court.openai_dispatcher,local_synthetic_repo_runtime_alignment,yes,github_write_for_publication,openai_api_live|microsoft_live|production|permissions|secrets,repo_alignment_runtime_result
cap.schema.tool_contract,03_CORTE_EJECUTORA,court.thot_schema,schema_tool,yes,no,tool_live_execution_without_order,schema_contract
cap.skill.methodology_wave,03_CORTE_EJECUTORA,court.thot_schema,methodology_skill_adoption,yes,no,openai_api_live|microsoft_live|production|secrets,local_skill_catalog_and_assignment_delta
cap.skill.quality_gate,05_SOPORTE_TECNICO,codex.workspace_guardian,skill_package_quality_gate,yes,no,untested_skill_default_assignment|secret_materialization,skill_judge_or_validator_readback
cap.skill.metadata_quality,03_CORTE_EJECUTORA,court.thot_schema,skill_metadata_quality,yes,no,ambiguous_skill_description|missing_validator|secret_materialization,skill_metadata_quality_matrix
cap.sdu.sharepoint.complete_read.prepare,01_AUTORIDAD_Y_GATES,court.sdu_gate,microsoft_live_read_preparation,yes,sharepoint_complete_read_live,microsoft_live_requested_without_governed_order|broad_regulated_read,complete_read_order_packet
cap.sdu.stop,01_AUTORIDAD_Y_GATES,court.sdu_gate,gate,yes,no,self_approving_gate|live_execution,stop_condition
cap.tge.tenant.surface.assignment,04_TORRES_DE_UNIVERSO,universe.escribania_tower,tenant_surface_assignment,yes,tenant_live_read_or_write,tenant_identity_missing|regulated_data_broad_read,tge_surface_assignment_matrix
cap.universe.escribania,04_TORRES_DE_UNIVERSO,universe.escribania_tower,universe_tower,yes,sharepoint_write|tenant_write,regulated_data_broad_read,escribania_readback
cap.universe.modo_on,04_TORRES_DE_UNIVERSO,universe.modo_on_tower,universe_tower,yes,tenant_write|cross_universe_runtime,provider_control_without_trace,modo_on_readback
