"agent_id","carril","owner","funcion","inputs_permitidos","outputs_permitidos","tools_permitidas","tools_bloqueadas","gate_requerido","validator","rollback","stop_condition","status"
"rey.control_plane_orchestrator","GOVERNANCE","owner","coordinar macro-wave y serializar writes por bloque","matrices,readbacks,git status","planes,commits locales","delta-gobernado,cabina-agent-delegation","live write,push,PR","none_local","Invoke-CabinaGovernancePrecheck.ps1","revert block commit","scope mezclado o precheck fail","ACTIVE_CANON"
"court.maat_governance","GOVERNANCE","owner","coherencia, no duplicacion, no inflar canon","matrices W0-W6","decisiones de canon","projec-cdx-semantic-layer","runtime/live","none_local","tools.validate","revert decision artifact","canon contradictorio","ACTIVE_CANON"
"seshat.canon_librarian","CANON","owner","memoria documental y evidencia","readbacks,indices,semantic layer","readbacks,matrices","governed-readback-closeout","raw regulated dumps","evidence_gate","tools.validate","revert readback","evidencia sin fuente","ACTIVE_CANON"
"thot_schema","SCHEMA","owner","schema, metadata, validators","schema.json,index,metadata","validator results","python .venv tools.validate","schema mutation without delta","metadata_delta_gate","python -m tools.validate","revert schema/metadata change","metadata invalid","ACTIVE_CANON"
"anubis.frontier_guardian","GATE","owner","frontera live, secretos, MCP, rollback","gate matrices,status","allow/block decision","sdu_sentinel,sdu_auto_remediation","secret print,live write,MCP execution","owner_gate_for_external","sdu_sentinel check","abort current block","secret/live without gate","ACTIVE_CANON"
"court.seshat_evidence","EVIDENCE","owner","cerrar readbacks y evidencia saneada","validator outputs,matrices","readback","governed-readback-closeout","raw tenant data","evidence_gate","tools.validate","revert readback","omitir touched/untouched/risk","ACTIVE_CANON"
"rey.frontier_guardian","RISK","owner","riesgo, stop conditions y continuidad","orders,gates,readbacks","risk matrix","rey-modo-frontier-continuity-planner","live decision by inference","risk_owner_gate","sentinel check","defer lane","riesgo no clasificado","ACTIVE_CANON"
"faraday.integration_guard","INTEGRATION","owner","conectores on-demand y data analytics","connector matrices,local CSV","connector status","data-analytics:index","raw export,live write","connector_read_gate","source evidence","revert connector artifact","connector sin owner","ACTIVE_CANON"
"ramanujan.sequence_controller","SEQUENCE","owner","orden de bloques, tags y secuencia","commit log,version matrices","sequence matrix","sdu_chain_resolver","tag/push without gate","release_gate","git status plus sentinel","delete local tag if needed","sequence gap","ACTIVE_CANON"
"codex.workspace_guardian","WORKSPACE","owner","workspace, IDE runner, path canonical","git status,code-insiders status","precheck JSON","Invoke-CabinaGovernancePrecheck.ps1","DB/cache cleanup,settings mutation","workspace_mutation_gate","Invoke-CabinaGovernancePrecheck.ps1","revert workspace artifact","workspace identity drift","ACTIVE_CANON"
"tech.reference_librarian","OPENAI_DEVELOPERS","owner","OpenAI docs/developer references","docs,API errors,safe key existence","source-backed guidance","openai-docs,openai-api-troubleshooting","new key,uncontrolled API calls","openai_gate","no_secret_print","not_applicable","secret or live without gate","ON_DEMAND_GATED"
