Repo,CurrentPath,Git,Markers,CanonicalTarget,IsolationClass,RecommendedEnvironment,OwnerAgent,AllowedNow,RequiresApproval,StopCondition
PROJEC CDX,C:\Users\enzo1\PROJEC CDX,True,"pyproject.toml;.env.local;.venv",C:\CEO\project-cdx,python-runtime,"Keep local .venv; later optional devcontainer",Maat,"read;plan;validate","install deps;change profile;move files","Do not mutate if .env.local or .venv ownership is unclear"
cdf-soluciones,C:\Users\enzo1\Documents\GitHub\cdf-soluciones,True,.devcontainer,C:\CEO\repos\cdf-soluciones,devcontainer-powerplatform,"Keep existing devcontainer REPO_ONLY_NO_LIVE",Anubis,"read;plan;validate","clone/migrate;codespaces secrets;pac live auth","Stop if live Microsoft or production action is requested without gate"
torre-gemela-escribania,C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania,True,.devcontainer,C:\CEO\repos\torre-gemela-escribania,devcontainer-m365-powerplatform,"Keep existing devcontainer and Microsoft gates",Anubis,"read;plan;validate","clone/migrate;codespaces secrets;tenant auth","Stop if SharePoint/Dataverse/production write appears without gate"
seshat-bootstrap-sdu-cn,C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn,True,.devcontainer,C:\CEO\repos\seshat-bootstrap-sdu-cn,devcontainer-documental,"Keep documentation devcontainer",Seshat,"read;plan;validate","clone/migrate;publish docs","Stop if canonical Seshat wording conflicts with approved canon"
organizacion,C:\Users\enzo1\Documents\GitHub\organizacion,True,"pyproject.toml;.devcontainer",C:\CEO\repos\organizacion,python-controlplane,"Use .venv locally; preserve devcontainer",Thot,"read;plan;validate","clone/migrate;install deps","Stop if pyproject/runtime version cannot be resolved"
microsoft-agents-governed-lab,C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab,True,"package.json;package-lock.json",C:\CEO\repos\microsoft-agents-governed-lab,node-agents,"Use npm lockfile; consider devcontainer before live agent work",Horus,"read;plan;validate","npm install;agent execution;M365 auth","Stop if lockfile drift or live agent auth is unclear"
tcu-agentic-runtime-control,C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control,True,requirements.txt,C:\CEO\repos\tcu-agentic-runtime-control,python-stdlib,"No heavy isolation required; optional .venv for hygiene",Maat,"read;plan;validate","clone/migrate;create .venv","Stop if requirements becomes non-empty without environment update"
tge-agentic-runtime-control-escribania,C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania,True,requirements.txt,C:\CEO\repos\tge-agentic-runtime-control-escribania,python-stdlib,"No heavy isolation required; optional .venv for hygiene",Maat,"read;plan;validate","clone/migrate;create .venv","Stop if requirements becomes non-empty without environment update"
cabina-universal-d,C:\Users\enzo1\Documents\GitHub\cabina-universal-d,True,"none detected",C:\CEO\repos\cabina-universal-d,governed-doc-runtime,"Classify before isolation; likely repo-only plus worktree lanes",Atomic,"read;plan;validate","clone/migrate;worktree;runtime execution","Stop if dirty state is not classified"
Sgin,C:\Users\enzo1\Documents\GitHub\Sgin,True,"none detected",C:\CEO\repos\Sgin,documental-canon,"No heavy isolation; Git/Markdown validation",Seshat,"read;plan;validate","clone/migrate;canonical publish","Stop if canonical/documental owner is ambiguous"
sdu-canon,C:\Users\enzo1\Documents\GitHub\sdu-canon,True,"none detected",C:\CEO\repos\sdu-canon,documental-canon,"No heavy isolation; Git/Markdown validation",Seshat,"read;plan;validate","clone/migrate;canonical publish","Stop if canonical owner is ambiguous"
sgin-cumplimiento,C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento,True,"none detected",C:\CEO\repos\sgin-cumplimiento,documental-compliance,"No heavy isolation; Git/Markdown validation",Anubis,"read;plan;validate","clone/migrate;compliance publish","Stop if compliance surface lacks authority"
modo-on-foundation,C:\Users\enzo1\Documents\GitHub\modo-on-foundation,True,"none detected",C:\CEO\repos\modo-on-foundation,documental-foundation,"No heavy isolation until runtime marker appears",Thot,"read;plan;validate","clone/migrate","Stop if runtime marker appears without environment class"
jara-consultores,C:\Users\enzo1\Documents\GitHub\jara-consultores,True,"none detected",C:\CEO\repos\jara-consultores,documental-external,"No heavy isolation until runtime marker appears",Thot,"read;plan;validate","clone/migrate","Stop if external surface scope is unclear"
