root,entry,mb,classification,note
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,20250813_235819.mp4,3282.63,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,20250821_014129.mp4,1324.28,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,20240430_095226.mp4,575.89,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,9568e01d0cd6baa348847fa484c43886.mp4,568.92,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,EL REAL SOLSTICIO 2022.mp4,343.70,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,SOLTICIO INVIERNO 2022.mp4,271.38,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,20240430_095834.mp4,198.83,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,Wolf Services SAS-Proyecto-20250706T031136Z-1-001.zip,139.24,paquete,archivo comprimido
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,ProxyCmdletDefinitions__f293b762.ps1,126.40,soporte operativo,script
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,Servicios . Transformacion-Digital-Potenciada-Explorando-los-Servicios-Innovadores.pdf,73.77,documento,evidencia
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,Transformacion-Digital-Potenciada-Explorando-los-Servicios-Innovadores.pdf,73.77,documento,evidencia
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,ProxyCmdletDefinitions__e3d39c59.ps1,64.04,soporte operativo,script
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,cloudflared.exe,62.80,herramienta local,binario
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,IA_Gobernable__Universo_Seshat.mp4,61.29,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,ProxyCmdletDefinitions__cfc01f5f.ps1,60.81,soporte operativo,script
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,OneDrive_1_30-8-2025.zip,55.89,paquete,archivo comprimido
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,ProxyCmdletDefinitions__088640ba.ps1,34.87,soporte operativo,script
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,La_Agenda_Estoica_de_un_Notario_Digital__Productividad_Extrema,.mp4,33.14,evidencia multimedia,video
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,PROT_ESCRITURA_N_261.pdf,32.96,documento,evidencia
C:\Users\enzo1\Documents\Cumplimiento\AUDITORIA_CODEX_LOCAL\07_SHAREPOINT_POWER_PLATFORM_SGIN,Seshat__Trazabilidad_y_Evidencia.mp4,32.63,evidencia multimedia,video
