"work_item_id","source_state","adjudication_class","operational_treatment","candidate_count","exact_binding","proposed_binding","binding_state","evidence","rollback","postcheck","stop_condition"
"CONTROL_PLANE-ACTOR-001","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-001; D:/.agents/codex/workpapers/court.thot_schema/EVIDENCE_LOG.csv","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"CONTROL_PLANE-ACTOR-002","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-002; D:/.agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"CONTROL_PLANE-ACTOR-003","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-003; D:/.agents/codex/matrices/SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"ESCRIBANIA-ACTOR-004","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.tge.control","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#ESCRIBANIA-ACTOR-004; cabina-universal-d/.agents/codex/readbacks/2026-06-08_seshat_review_s_6_1_readback.md","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"ESCRIBANIA-AUTH-001","AUTHORIZATION_REQUIRED","HUMAN_RESERVED","HUMAN_RESERVED","1","ENZO:HUMAN_CONFIRMATION_REQUIRED:03C-P031..03C-P034","NONE","CURRENT_HUMAN_RESERVATION","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#ESCRIBANIA-AUTH-001; torre-gemela-escribania/07_EVIDENCIA/GATE_TGE_03D_APPROVAL_MATRIX_COMPLETION_RESULT_20260713.json","Remove this repo-local adjudication row; no human decision and no source queue record is changed.","Require an explicit human decision recorded for each of 03C-P031 through 03C-P034 before changing class.","Stop unless the human operator explicitly decides P031-P034."
"CODEX_CLOUD-ACTOR-010","AUTHORIZATION_REQUIRED","UNRESOLVED","NONE","0","NONE","NONE","NO_D_RECTOR_ID","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CODEX_CLOUD-ACTOR-010; D:/.agents/codex/agents/02_REGISTRO_Y_CARTOGRAFIA/rey.migration_planner.md","Remove this repo-local adjudication row; source queue remains unchanged.","Resolve exactly one current rector work-item id and prove owner, authority, target surface and validator before reclassification.","Stop on candidate_count not equal to 1 or absent exact current binding evidence."
"CONTROL_PLANE-ACTOR-011","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-011; D:/.agents/codex/evals/results/all_repo_github_alignment_latest.json","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"CONTROL_PLANE-ACTOR-012","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-012; D:/.agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"CONTROL_PLANE-ACTOR-013","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-013; D:/.agents/codex/agents/02_REGISTRO_Y_CARTOGRAFIA/rey.migration_planner.md","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
"CONTROL_PLANE-ACTOR-014","AUTHORIZATION_REQUIRED","STALE_POLICY_PROJECTION","TRACE_AND_CONTINUE","1","NONE_MATERIALIZED","lane.integration.shared-index","DERIVED_NOT_IMPORTED","SDU_WORK_QUEUE_CURRENT.csv@sha256:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7#CONTROL_PLANE-ACTOR-014; cabina-universal-d/.agents/codex/readbacks/2026-06-13_escribania_runtime_baseline_objective_readback.md","Remove this repo-local adjudication row; source queue remains unchanged.","Confirm source row still says DERIVED_PROJECTION and DERIVED_NOT_IMPORTED before any promotion.","Stop if a current imported binding or a newer same-item adjudication exists."
