runtime_id,observed_role,count,surface,status,risk,gate,interpretation,next_action,stop_condition
runtime.openai_chatgpt_codex_app_server,openai_chatgpt_codex_app_server,2,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,medium,GATE_OPENAI_LIVE;GATE_AGENTS_SDK_LIVE;GATE_SECRET_USE,"OpenAI ChatGPT/Codex app-server processes are present as VSI extension runtime; this does not authorize live API/cost/tools","treat as local UI/runtime observation only until explicit OpenAI live gate",PENDING_APPROVAL_ONLY
runtime.powerplatform_pac_background,powerplatform_pac_background,1,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,high,GATE_POWER_PLATFORM_APPLY;GATE_MICROSOFT_LIVE_WRITE;GATE_TENANT_IDENTITY,"Power Platform extension has a pac background process; no flow/Dataverse/tenant write was executed by Codex","use only local/read-only/dry-run until exact Power Platform target exists",PENDING_TARGET_ONLY
runtime.codeql_language_server,codeql_language_server,2,local_analysis,OBSERVED,low,none,"CodeQL language-server is active inside VSI","safe for local analysis; cleanup only after review",EXECUTED_LOCAL_VALIDATED
runtime.codeql_query_server_for_current_workspace,codeql_query_server_for_current_workspace,2,local_analysis,OBSERVED,medium,GATE_DESTRUCTIVE_ACTION,"CodeQL query server is tied to current workspaceStorage path for cabina-universal-d","do not delete CodeQL storage while query server is active",PENDING_APPROVAL_ONLY
runtime.azure_copilot_local_service,azure_copilot_local_service,1,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,high,GATE_CLOUD_WRITE;GATE_SECRET_USE;GATE_COST_BOUNDARY,"Azure Copilot local service is present as extension helper; it is not cloud write authorization","keep Azure lane read/local until target owner rollback and cost boundary exist",PENDING_APPROVAL_ONLY
runtime.google_cloud_code_cli,google_cloud_code_cli,1,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,high,GATE_CLOUD_WRITE;GATE_SECRET_USE;GATE_COST_BOUNDARY,"Google Cloud Code CLI helper is present","do not deploy or enable APIs from VSI without gate",PENDING_COST_BOUNDARY_ONLY
runtime.gemini_code_assist_agent_server,gemini_code_assist_agent_server,1,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,high,GATE_SECRET_USE;GATE_COST_BOUNDARY,"Gemini Code Assist agent server is present as extension runtime","treat as provider runtime observation only; do not send sensitive data intentionally",PENDING_APPROVAL_ONLY
runtime.pixelpilot_local_server,pixelpilot_local_server,3,local_vsi_extension,OBSERVED_NOT_ACTIVATION_ORDER,medium,GATE_SECRET_USE,"PixelPilot/Kilo local server processes are present","classify extension purpose before using it on repo or sensitive data",PENDING_APPROVAL_ONLY
runtime.python_env_tools_server,python_env_tools_server,1,local_dev_runtime,OBSERVED,low,none,"Python environment tools server is present","safe for local Python environment discovery",EXECUTED_LOCAL_VALIDATED
runtime.eslint_server,eslint_server,1,local_dev_runtime,OBSERVED,low,none,"ESLint server is present","safe for local linting",EXECUTED_LOCAL_VALIDATED
runtime.json_language_server,json_language_server,1,local_dev_runtime,OBSERVED,low,none,"JSON language server is present","safe for local editing",EXECUTED_LOCAL_VALIDATED
runtime.gcloud_adc_process,gcloud_adc_quota_project_process_detected,1,provider_cli_observed,OBSERVED_NOT_STARTED_BY_CODEX,high,GATE_CLOUD_WRITE;GATE_SECRET_USE;GATE_COST_BOUNDARY,"A gcloud application-default quota-project process was observed as existing VSI child process; Codex did not start it in this step","record as observed provider activity and require gate before any intentional cloud write",PENDING_APPROVAL_ONLY
