"record_id","agent_type","canonical_agent","operational_agent","runtime_agent","universe","repo_surface","owner_agent","skill","recipe","tool","validator","evidence","stop_condition","current_status","gap_detected","improvement_applied","next_lane"
"operational.rey.control_plane_orchestrator","operational","NO_APLICA","rey.control_plane_orchestrator","local_task_scoped","CABINA_UNIVERSAL","00_CONTROL_PLANE_INGRESS|.agents/codex/routing.json","rey.control_plane_orchestrator","tcu-descubridor-capacidades","recipe.router_intake_classification","tool.local_inventory",".agents/codex/tools/local_validate_operational_chain.ps1","routing_decision|agent_assignment|readback","operational_chain_missing","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","missing_single_global_agent_inventory","closed_by_global_operability_inventory","serial_agent_global_improvement_integration"
"operational.rey.frontier_guardian","operational","anubis-gate|horus-riesgo","rey.frontier_guardian","local_task_scoped","CABINA_UNIVERSAL","02_AUTHORITY_CANON|gates|blocked_surfaces","rey.frontier_guardian","repo-agent-tool-governance","recipe.gate_decision_packet","tool.boundary_check",".agents/codex/tools/local_validate_operational_chain.ps1","frontier_decision|required_order_text|risk_readback","capability_use_preflight_missing","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","missing_single_global_agent_inventory","closed_by_global_operability_inventory","serial_agent_global_improvement_integration"
"operational.rey.governance_registrar","operational","NO_APLICA","rey.governance_registrar","local_task_scoped","CABINA_UNIVERSAL","01_GOVERNANCE_REGISTRY|registries|relationships","rey.governance_registrar","rey-modo-gobernador-capacidades","recipe.registry_enrichment","tool.csv_registry_check",".agents/codex/tools/local_validate_agent_layer.ps1","registry_delta|owner_gap|classification_readback","repo_without_owner_or_universe","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","missing_single_global_agent_inventory","closed_by_global_operability_inventory","serial_agent_global_improvement_integration"
"operational.rey.authority_canonist","operational","NO_APLICA","rey.authority_canonist","local_task_scoped","CABINA_UNIVERSAL","02_AUTHORITY_CANON|CURRENT_STATE|GOVERNED_ORDERS","rey.authority_canonist","cabina-agent-md-refactor","recipe.gate_decision_packet","tool.canon_index_check",".agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","canon_readback|decision_draft|order_text","agent_without_authority_or_escalation","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","missing_single_global_agent_inventory","closed_by_global_operability_inventory","serial_agent_global_improvement_integration"
"operational.rey.repo_cartographer","operational","NO_APLICA","rey.repo_cartographer","github_read_write_governed_task_scoped","CABINA_UNIVERSAL","repo local remote metadata|GitHub repo scoped","rey.repo_cartographer","github:github","recipe.github_pr_lifecycle_governed","tool.git_status_readonly",".agents/codex/tools/local_validate_all_repo_github_alignment.ps1","repo_inventory|repo_hierarchy_map|migration_candidate_list","repo_remote_or_git_alignment_missing","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","github_write_governed_but_no_push_pr_authorized_in_this_order","documented_as_pending_remote_only","serial_agent_global_improvement_integration"
"operational.court.openai_dispatcher","operational","seshat-normativa|thot-tecnico|narrador-normativo","court.openai_dispatcher","local_only_until_order","CORTE_EJECUTORA","OpenAI local design|Codex Cloud smoke|Agents SDK local preflight","court.openai_dispatcher","openai-developers:agents-sdk","recipe.openai_local_agent_design","tool.synthetic_eval_manifest",".agents/codex/tools/local_validate_github_automation_preflight.ps1","prompt_pack|recipe|eval_harness_draft|activation_readback","openai_api_live_requested_without_order","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","runtime_tool_must_not_be_treated_as_authority","documented_as_runtime_tool_only","serial_agent_global_improvement_integration"
"operational.universe.escribania_tower","operational","seshat-normativa|thot-tecnico|anubis-gate|maat-cumplimiento|horus-riesgo|narrador-normativo","universe.escribania_tower","local_only_until_order","ESCRIBANIA","TGE|SGIN_CUMPLIMIENTO|SharePoint order prep","universe.escribania_tower","sharepoint:sharepoint-site-discovery","recipe.universe_tower_handoff","tool.surface_order_builder",".agents/codex/tools/local_validate_teams_cross_repo_lane_audit.ps1","escribania_readback|tge_plan|governed_surface_order","microsoft_live_requested_without_governed_order","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","microsoft_live_write_requires_target_owner_rollback_postcheck","documented_as_gated_not_executed","serial_agent_global_improvement_integration"
"operational.universe.modo_on_tower","operational","seshat-normativa|thot-tecnico|anubis-gate|maat-cumplimiento|horus-riesgo|narrador-normativo","universe.modo_on_tower","local_only_until_order","MODO_ON","CDF|JARA|provider surfaces","universe.modo_on_tower","rey-modo-gobernador-capacidades","recipe.universe_tower_handoff","tool.surface_order_builder",".agents/codex/tools/local_validate_agent_layer.ps1","modo_on_readback|provider_plan|governed_surface_order","microsoft_live_requested_without_governed_order","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","provider_surface_must_remain_separate_from_escribania","documented_as_universe_separated","serial_agent_global_improvement_integration"
"operational.court.seshat_evidence","operational","seshat-normativa|narrador-normativo","court.seshat_evidence","local_only_until_order","CORTE_EJECUTORA","readbacks|evidence|actas|workpapers","court.seshat_evidence","governed-readback-closeout","recipe.agent_workpaper_operation","tool.workpaper_index_check",".agents/codex/tools/local_validate_agent_workpapers.ps1","evidence_packet|readback|closeout","workpaper_missing_for_agent","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","readback_must_include_inventory_and_pending_gaps","closed_by_agents_global_improvement_readback","serial_agent_global_improvement_integration"
"operational.court.sdu_gate","operational","anubis-gate|maat-cumplimiento","court.sdu_gate","local_only_until_order","CORTE_EJECUTORA","gates|stop_conditions|order coherence","court.sdu_gate","sdu-ejecutor-gates","recipe.gate_decision_packet","tool.stop_condition_check",".agents/codex/tools/local_validate_order_packets.ps1","gate_decision_draft|escalation_path|stop_condition","order_packet_missing_required_fields","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","live_or_production_gate_must_not_self_approve","documented_as_human_gate_required","serial_agent_global_improvement_integration"
