"Scope","Path","Exists"
"Process","C:\Program Files\PowerShell\7","True"
"Process","C:\Users\enzo1\AppData\Local\OpenAI\Codex\bin\8e55c2dd143b6354","True"
"Process","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Packages\OpenJS.NodeJS.LTS_Microsoft.Winget.Source_8wekyb3d8bbwe\node-v24.17.0-win-x64","True"
"Process","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Links","True"
"Process","C:\CEO\tools\pac\microsoft.powerapps.cli.2.8.1\tools","True"
"Process","C:\Program Files\Git\cmd","True"
"Process","C:\Program Files\PowerShell\7","True"
"Process","C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin","True"
"Process","C:\CEO\project-cdx\.venv\Scripts","True"
"Process","C:\WINDOWS\system32","True"
"Process","C:\WINDOWS","True"
"Process","C:\WINDOWS\System32\Wbem","True"
"Process","C:\WINDOWS\System32\WindowsPowerShell\v1.0","True"
"Process","C:\WINDOWS\System32\OpenSSH","True"
"User","C:\CEO\tools\bin","True"
"User","C:\Users\enzo1\AppData\Local\OpenAI\Codex\bin\8e55c2dd143b6354","True"
"User","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Packages\OpenJS.NodeJS.LTS_Microsoft.Winget.Source_8wekyb3d8bbwe\node-v24.17.0-win-x64","True"
"User","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Links","True"
"User","C:\Users\enzo1\AppData\Local\Microsoft\WindowsApps","True"
"User","C:\Users\enzo1\.local\bin","True"
"User","C:\Program Files\Microsoft SDKs\Azure\CLI2\wbin","True"
"User","C:\ProgramData\enzo1\GitHubDesktop\bin","True"
"User","C:\Users\enzo1\AppData\Local\GitHubDesktop\bin","True"
"User","C:\Users\enzo1\AppData\Local\GitHubCopilotCLI\","True"
"User","C:\CEO\tools\pac\microsoft.powerapps.cli.2.8.1\tools","True"
"User","C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin","True"
"User","C:\Users\enzo1\AppData\Local\Python\bin","True"
"User","C:\Users\enzo1\.dotnet\tools","True"
"Machine","C:\Program Files\Microsoft SDKs\Azure\CLI2\wbin","True"
"Machine","C:\WINDOWS\system32","True"
"Machine","C:\WINDOWS","True"
"Machine","C:\WINDOWS\System32\Wbem","True"
"Machine","C:\WINDOWS\System32\WindowsPowerShell\v1.0\","True"
"Machine","C:\WINDOWS\System32\OpenSSH\","True"
"Machine","C:\Program Files\Git\cmd","True"
"Machine","C:\Program Files\PowerShell\7\","True"
"Machine","C:\CEO\tools\pac\microsoft.powerapps.cli.2.8.1\tools","True"
"Machine","C:\Program Files\dotnet\","True"
