"skill_id","carril","status","owner_agent","reviewer_agent","gate_required","validator","evidence","notes"
"delta-gobernado","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.maat_governance","none","tools.validate","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Rector de deltas gobernados reversibles."
"governed-readback-closeout","READBACK_CLOSEOUT","ACTIVE_CANON","court.seshat_evidence","court.maat_governance","none","tools.validate","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Cierre con readback, evidencia y rollback."
"cabina-agent-delegation","AGENT_DELEGATION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","none","sdu_chain_resolver","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Delegacion acotada de agentes."
"projec-cdx-semantic-layer","SEMANTIC_LAYER","ACTIVE_CANON","seshat.canon_librarian","thot_schema","none","tools.validate","docs/referencia/semantic-layer.md","Capa semantica de PROJEC CDX."
"dispatching-parallel-agents","PARALLEL_DISPATCH","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","none","sdu_chain_resolver","operativa/W4_SKILL_DEDUPLICATION_ALIAS_MATRIX_20260622.csv","Despacho paralelo cuando hay tareas independientes."
"openai-platform-api-key","OPENAI_SECURITY","ON_DEMAND_GATED","anubis.frontier_guardian","tech.reference_librarian","secret_safe_owner_gate","no_secret_print","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Reuso/creacion de clave solo con gate y sin imprimir secretos."
"openai-docs","OPENAI_DEVELOPERS","ACTIVE_CANON","tech.reference_librarian","thot_schema","docs_read_gate","source_citation","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Consulta documental OpenAI, preferida sobre memoria."
"openai-developers:agents-sdk","OPENAI_DEVELOPERS","ON_DEMAND_GATED","tech.reference_librarian","anubis.frontier_guardian","openai_live_gate","target_required","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Agents SDK solo con target y frontera."
"openai-developers:openai-api-troubleshooting","OPENAI_SECURITY","ON_DEMAND_GATED","anubis.frontier_guardian","tech.reference_librarian","api_error_owner_gate","no_secret_print","operativa/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","Clasifica errores OpenAI concretos, no imprime tokens."
"data-analytics:index","DATA_ANALYTICS","ACTIVE_CANON","faraday.integration_guard","court.seshat_evidence","connector_read_gate","source_evidence","operativa/W0_IDE_NERVOUS_SYSTEM_CONNECTORS_20260622.csv","Router analitico para CSV/workbooks/readbacks y conectores con gate."
