finding_id,source_record,finding_type,severity,evidence,recommendation,next_lane,stop_condition
F001,operational.rey.repo_cartographer,blocked_surface,medium,github_write_governed_but_no_push_pr_authorized_in_this_order,Require explicit GitHub write scope before repo cartography write operations,serial_agent_global_improvement_integration,github_order_missing_checks
F002,operational.court.openai_dispatcher,authority_boundary,medium,runtime_tool_must_not_be_treated_as_authority,Keep OpenAI and Agents SDK as runtime tools not authority sources,serial_agent_global_improvement_integration,openai_api_live_requested_without_order
F003,operational.universe.escribania_tower,live_gate,high,microsoft_live_write_requires_target_owner_rollback_postcheck,Require target owner rollback postcheck and evidence before Microsoft live write,PENDING_TARGET_ONLY,microsoft_live_requested_without_governed_order
F004,operational.universe.modo_on_tower,universe_boundary,medium,provider_surface_must_remain_separate_from_escribania,Preserve MODO_ON and ESCRIBANIA separation in agent routing and handoffs,serial_agent_global_improvement_integration,microsoft_live_requested_without_governed_order
F005,operational.court.sdu_gate,self_approval_guard,high,live_or_production_gate_must_not_self_approve,Require human gate for live or production decisions and prevent self approval,serial_agent_global_improvement_integration,order_packet_missing_required_fields
F006,operational.tech.reference_librarian,authority_boundary,medium,technical_reference_must_not_be_authority,Keep technical references separate from canon authority,parallel_agent_global_inventory_audit,source_reference_treated_as_canon
F007,operational.codex.workspace_guardian,workspace_boundary,medium,current_console_worktree_differs_from_effective_root,Continue reanchoring to effective C root or clean worktree before writes,serial_agent_global_improvement_integration,nested_repo_absorption_risk
F008,operational.rey.migration_planner,git_topology_guard,high,migration_agent_must_not_touch_clones_without_gate,Require migration inventory origin destination rollback and postcheck before clone movement,PENDING_TARGET_ONLY,nested_repo_absorption_risk
F009,subagent.readonly_scout,subagent_preflight,medium,needs_lane_fields_before_dispatch,Require lane fields before subagent dispatch,parallel_agent_global_inventory_audit,parallel_lane_without_validator
F010,subagent.matrix_auditor,subagent_scope,medium,needs_disjoint_file_set_before_write,Require disjoint file sets before write-capable matrix audit,parallel_agent_global_inventory_audit,lane_scope_overlap
F011,subagent.skill_recipe_auditor,live_boundary,medium,needs_no_api_live_boundary_before_dispatch,Require explicit no-api-live boundary before skill recipe audit dispatch,parallel_agent_global_inventory_audit,openai_api_live_requested_without_order
F012,subagent.order_packet_preparer,order_packet_preflight,medium,needs_owner_rollback_postcheck_before_order,Require owner rollback postcheck before preparing executable order packets,parallel_agent_global_inventory_audit,order_packet_missing_required_fields
F013,subagent.integration_reviewer,serialization,medium,must_remain_serial_for_shared_indices,Keep shared-index integration serial,serial_agent_global_improvement_integration,lane_scope_overlap
