capability_id,source_repo,source_path,target_path,source_status,adoption_decision,primary_agent,gate,reason,evidence
cap.webreactiva.selected_codex_skills,WEBREACTIVA_CODEX_SKILLS_20260601,https://www.webreactiva.com/blog/mejores-skills-codex,.agents/skills,EXTERNAL_ARTICLE_REVIEWED,ADOPT_SELECTED_AS_REPO_LOCAL_SKILLS,court.thot_schema,local_only,"selected skills are adapted into cabina-specific repo-local packages with sublevel agent assignments","five cabina skills plus Superpowers plugin skill refs registered"
cap.root.agent_layer_baseline,ORGANIZACION,05_AGENTES/D_DRIVE_CODEX_AGENT_LAYER,.agents/codex,COPIED_IDENTICAL,ADOPT_AS_ROOT_BASELINE_VERSIONED,rey.governance_registrar,local_only,"D root needs the same declarative agent layer that organizacion prepared without absorbing the repo","hash comparison source and target all true"
cap.root.capability_allowlist,D_CABINA_UNIVERSAL_ROOT,.gitignore,D:/.gitignore,LOCAL_UPDATE,VERSION_LOCAL_CAPABILITY_FOLDERS,codex.workspace_guardian,local_only,"skills recipes tools evals plugins templates and sublevel profiles were present but hidden from the root repo","git status showed ignored capability folders"
cap.organizacion.registry.agents,ORGANIZACION,registry/agents.yml,.agents/codex/agents/SOURCE_ORGANIZACION_registry.agents.yml,COPIED,ADOPT_AS_ROOT_CONTROL_PLANE_REFERENCE,rey.control_plane_orchestrator,local_only,"root cabin keeps organizacion as rector reference while preserving its separate repo","local copy from organizacion registry"
cap.tcu.runtime.contracts,TCU_AGENTIC_RUNTIME,03_AGENTS/AGENT_CONTRACTS.md,.agents/codex/agents/SOURCE_TCU_RUNTIME_AGENT_CONTRACTS.md,ALREADY_PRESENT,ADOPT_AS_RUNTIME_CONTRACT_REFERENCE,court.openai_dispatcher,local_only,"TCU runtime contracts define safe local harness lanes and blocked live actions","existing source file matched organizacion mirror"
cap.tge.runtime.contracts,TGE_AGENTIC_RUNTIME,03_AGENTS/AGENT_CONTRACTS.md,.agents/codex/agents/SOURCE_TGE_RUNTIME_AGENT_CONTRACTS.md,COPIED,ADOPT_AS_ESCRIBANIA_RUNTIME_BOUNDARY,universe.escribania_tower,local_only,"TGE runtime contracts preserve Escribania boundary and block tenant/live deployment without gate","copied from tge-agentic-runtime-control-escribania"
cap.seshat.bootstrap.agent_registry,SESHAT_BOOTSTRAP,matrices/sdu_cn/SDU_CN_AGENT_REGISTRY.csv,.agents/codex/agents/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,COPIED,ADOPT_AS_COURT_AGENT_REFERENCE,court.sdu_gate,governed_before_live,"Seshat bootstrap carries current SDU-CN agent registry and live gates","copied from seshat-bootstrap-sdu-cn"
cap.tge.sdu_cn.agent_registry,TORRE_GEMELA_ESCRIBANIA,00_CONTEXT/SDU_CN_AGENT_REGISTRY.csv,.agents/codex/agents/SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,COPIED,ADOPT_AS_TGE_CONTEXT_REFERENCE,universe.escribania_tower,governed_before_live,"TGE registry is contextual evidence for Escribania alignment and drift review","copied from torre-gemela-escribania"
cap.seshat.console_tooling,SESHAT_BOOTSTRAP,matrices/sdu_cn/SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,.agents/codex/matrices/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,COPIED,ADOPT_AS_TOOLING_REFERENCE,court.thot_schema,local_only,"console tooling capability matrix helps map local tools without executing live services","copied from seshat-bootstrap-sdu-cn"
cap.tge.sharepoint_github,TORRE_GEMELA_ESCRIBANIA,00_CONTEXT/TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,.agents/codex/matrices/SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,COPIED,ADOPT_AS_ESCRIBANIA_SURFACE_REFERENCE,universe.escribania_tower,governed_before_live,"TGE capability matrix separates SharePoint and GitHub gates for Escribania","copied from torre-gemela-escribania"
cap.cdf.agent_teams,CDF_SOLUCIONES,04_AGENTS_SDK/AGENT_TEAMS.md,.agents/codex/agents/SOURCE_CDF_AGENT_TEAMS.md,COPIED,ADOPT_AS_PROVIDER_TEAM_REFERENCE,universe.modo_on_tower,local_only,"CDF team design contributes Microsoft specialist lanes but remains provider-side and gated","copied from cdf-soluciones"
cap.cdf.agent_version_registry,CDF_SOLUCIONES,03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv,.agents/codex/agents/SOURCE_CDF_AGENT_VERSION_REGISTRY.csv,COPIED,ADOPT_AS_PROVIDER_AGENT_VERSION_REFERENCE,universe.modo_on_tower,local_only,"CDF version registry gives role and surface coverage without moving CDF ownership","copied from cdf-soluciones"
