"agent_id","skill_refs","recipe_refs","tool_refs","plugin_refs","surface","validator","stop_condition","status"
"cdf.project_manager_delegador","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers","repo CDF local and GitHub PR","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.prompt_router","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers","repo CDF local and GitHub PR","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.connection_control_guard","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|OpenAI Developers","OpenAI/RAG","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.local_cabina_extension_guard","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers","Microsoft connectors/Power Platform/Dataverse","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.solution_architect","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers","repo CDF local and GitHub PR","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.microsoft_graph_guard","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|NO_DISPONIBLE_DIRECT_GRAPH_ADMIN_PLUGIN","Graph/Entra","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.sharepoint_information_architect","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|SharePoint","SharePoint SGSD-TC and Modo ON agent placement","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.sharepoint_site_discovery_agent","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|SharePoint","SharePoint SGSD-TC and Modo ON agent placement","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.sharepoint_shared_doc_maintainer","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|SharePoint","SharePoint SGSD-TC and Modo ON agent placement","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
"cdf.sharepoint_word_doc_agent","github:github|github:yeet|superpowers:verification-before-completion","recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment","git|gh|python_local_validator|repo_csv_json_parser","GitHub|Superpowers|SharePoint","SharePoint SGSD-TC and Modo ON agent placement","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py","plugin_without_surface_boundary|live_or_production_without_governed_order","CDF_AGENT_VERSIONING_REPO_ONLY_ACTIVE_20260601"
