branch,classification,owner_agent,required_recipe,required_tool,validator,evidence,decision,stop_condition
codex/pipeline-baseline-workflows-20260621,AUDIT_ONLY,validation_agent,agentes-atomicos-algoritmicos-en-waves,git diff local refs,validate_proj_cdx_operational_chain.ps1,branch-review-matrix.csv,AUDIT_ONLY_WORKFLOW_CONFLICTS,workflow branch conflicts and can downgrade owner gate
codex/audit-governance-hardening,AUDIT_ONLY_PATCH_EQUIVALENT,maat-cumplimiento,cierre-wave-documental,git cherry and tree equivalence,run-integration-smoke.ps1,branch-review-matrix.csv,NO_PATCH_NEEDED_EQUIVALENT_COMMIT_PRESENT,branch content already present as equivalent commit e47d4673
codex/projec-cdx-runtime-config-20260618,HOLD,sentinel-runtime,agentes-atomicos-algoritmicos-en-waves,git diff local refs,validate_proj_cdx_operational_chain.ps1,branch-review-matrix.csv,HOLD_RUNTIME_API_OWNER_GATE,changes OpenAI runtime API dependency model and live requirements
codex/projec-cdx-control-autostash-a-20260618,AUDIT_ONLY,narrador-normativo,cierre-wave-documental,git diff local refs,validate_proj_cdx_sync.ps1,branch-review-matrix.csv,AUDIT_ONLY_EXTRACT_IDEAS_ONLY,generated workbook historical package can regress current evidence
codex/projec-cdx-control-autostash-b-20260618,AUDIT_ONLY,narrador-normativo,cierre-wave-documental,git diff local refs,validate_proj_cdx_sync.ps1,branch-review-matrix.csv,AUDIT_ONLY_OLDER_THAN_A,older generated workbook historical package
codex/multirepo-alignment-16,AUDIT_ONLY,seshat-normativa,cierre-wave-documental,git diff local refs,json-parse-lightweight,heavy-branches-audit-notes.md,HOLD_HEAVY_123_COMMITS,large release and multirepo alignment history
codex/dataverse-corte-ejecutora-v1,AUDIT_ONLY,seshat-normativa,dataverse-rehidratacion,git diff local refs,validate_sdu_dataverse_metadata_wave.ps1,heavy-branches-audit-notes.md,HOLD_DATAVERSE_OWNER_GATE,Dataverse history heavy and live-sensitive
codex/cabina-canon-agents-runtime-audit,AUDIT_ONLY,horus-riesgo,cierre-wave-documental,git diff local refs,validate_proj_cdx_operational_chain.ps1,heavy-branches-audit-notes.md,HOLD_RUNTIME_AUDIT,runtime audit branch
feature/docs-refactor,AUDIT_ONLY,narrador-normativo,canon-documental,git diff local refs,validate_proj_cdx_workbench.ps1,heavy-branches-audit-notes.md,HOLD_DOCS_REFACTOR,docs restructure
copilot/featureschema-validation,AUDIT_ONLY,validation_agent,agentes-atomicos-algoritmicos-en-waves,git diff local refs,validate_proj_cdx_workbench.ps1,heavy-branches-audit-notes.md,HOLD_DIVERGED_UPSTREAM,upstream diverged
codex/mesa-archivo-20260620,AUDIT_ONLY,narrador-normativo,cierre-wave-documental,git diff local refs,validate_proj_cdx_sync.ps1,heavy-branches-audit-notes.md,HOLD_ARCHIVE_REVIEW,archive and control history
codex/cloud-setup-ui-v1,AUDIT_ONLY,thot-tecnico,configuracion-entorno-codex-ui,git diff local refs,validate_proj_cdx_operational_chain.ps1,heavy-branches-audit-notes.md,HOLD_UI_SETUP_REVIEW,cloud UI setup historical
codex/wave-mapas-uniformes-v1,AUDIT_ONLY,narrador-normativo,cierre-wave-documental,git diff local refs,validate_proj_cdx_workbench.ps1,heavy-branches-audit-notes.md,HOLD_MAP_WAVE,map wave historical
codex/revisar-procesos-del-equipo,AUDIT_ONLY,seshat-normativa,dataverse-rehidratacion,git diff local refs,validate_sdu_dataverse_metadata_wave.ps1,heavy-branches-audit-notes.md,HOLD_DATAVERSE_CACHE_REVIEW,startup cache evidence
backup/main-ahead-34-20260620-040104,DUPLICATE_ALIAS,horus-riesgo,cierre-wave-documental,git show-ref,json-parse-lightweight,heavy-branches-audit-notes.md,DUPLICATE_ALIAS_HOLD,same tip as a98ab81e alias group
codex/windows-boot-origin-normalization-v1,DUPLICATE_ALIAS,horus-riesgo,cierre-wave-documental,git show-ref,json-parse-lightweight,heavy-branches-audit-notes.md,DUPLICATE_ALIAS_HOLD,same tip as a98ab81e alias group
control-plane/verde-gobernado-20260620,DUPLICATE_ALIAS,horus-riesgo,cierre-wave-documental,git show-ref,json-parse-lightweight,heavy-branches-audit-notes.md,DUPLICATE_ALIAS_HOLD,same tip as a98ab81e alias group
