"tool_id","owner_agent","tool_type","governed_asset_classes","allowed_surface","allowed_actions","blocked_surface","required_evidence","validator"
"tool.local_inventory","rey.control_plane_orchestrator","read","repo|agent|tool","local_filesystem","read|classify","secrets","inventory_readback","tool.local_validate_agent_layer"
"tool.canon_index_check","rey.authority_canonist","read","canon|decision|order","local_filesystem","read|validate_index","canon_mutation_without_order","canon_readback","tool.local_validate_agent_layer"
"tool.routing_readback","court.seshat_evidence","write","order|handoff|readback","local_filesystem","write_readback","remote_write","routing_readback","tool.local_validate_agent_layer"
"tool.boundary_check","rey.frontier_guardian","read","surface|tool","local_filesystem","read|classify","tenant_write","boundary_readback","tool.local_validate_agent_layer"
"tool.secret_scan","rey.frontier_guardian","read","repo|tool|matrix|skill","local_filesystem","scan_without_printing_secret","secret_printing","secret_scan_readback","tool.local_validate_agent_layer"
"tool.csv_registry_check","rey.governance_registrar","read","repo|matrix","local_filesystem","read|parse","file_move","registry_readback","tool.local_validate_agent_layer"
"tool.git_status_readonly","rey.repo_cartographer","read","repo","local_git_readonly","status|branch|remote","git_add|git_commit|git_push","git_status_readback","tool.local_validate_agent_layer"
"tool.gh_remote_readonly","rey.repo_cartographer","read","repo","github_remote_readonly","repo_view|api_read","github_write","remote_readback","tool.local_validate_agent_layer"
"tool.github_versioning_flow","rey.repo_cartographer","run","repo|pr","github_repo_scoped_by_order","branch|explicit_stage|commit|push|draft_pr|pr_update|pr_comment|check_monitor|merge_when_approved_prechecked","git_add_dot|merge_without_approved_precheck|force_push|permission_change|production|secrets","branch_commit_push_pr_merge_evidence","tool.local_validate_operational_chain"
"tool.path_conflict_check","rey.migration_planner","read","path|migration","local_filesystem","read|validate_path_conflict","moving_files|deleting_files","migration_preflight_readback","tool.local_validate_agent_layer"
"tool.provider_boundary_check","universe.modo_on_tower","read","provider|repo|surface","local_filesystem","read|classify_provider_boundary","provider_control_without_trace|tenant_write","provider_boundary_readback","tool.local_validate_agent_layer"
"tool.synthetic_eval_manifest","court.thot_schema","read","eval|agent","local_filesystem","read|validate_case","api_live","eval_readback","tool.local_validate_agent_layer"
"tool.repo_alignment_runtime","court.openai_dispatcher","run","repo|agent|runtime_matrix","local_synthetic_runtime","run_local_alignment","openai_api_live|microsoft_live|production|secrets","runtime_alignment_result","tool.local_validate_agent_layer"
"tool.local_run_governance_validation_suite","court.thot_schema","run","validator|workflow|evidence","local_filesystem","run_optional_aggregate_validation_suite|emit_duration_summary|write_result_when_requested","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|workflow_replacement_without_review","governance_validation_suite_result","tool.local_run_governance_validation_suite"
"tool.readback_builder","court.seshat_evidence","write","readback","local_filesystem","write_readback","external_record_write","acta_readback","tool.local_validate_agent_layer"
"tool.local_validate_agent_levels","court.thot_schema","run","agent|sublevel","local_filesystem","validate_levels","external_runtime","validator_readback","tool.local_validate_agent_layer"
"tool.local_validate_agent_layer","court.thot_schema","run","repo|agent|tool|recipe|skill|matrix|map","local_filesystem","validate_full_layer","external_runtime","validator_readback","tool.local_validate_agent_layer"
"tool.surface_order_builder","universe.escribania_tower","write","order|surface","local_filesystem","prepare_order","sharepoint_write","order_readback","tool.local_validate_agent_layer"
"tool.stop_condition_check","rey.frontier_guardian","read","stop_condition|gate","local_filesystem","read|validate_stop_condition","self_approval_or_live_execution","stop_condition_readback","tool.local_validate_agent_layer"
"tool.reference_classifier","tech.reference_librarian","read","reference|source","local_filesystem","read|classify","vendor_live_execution","reference_readback","tool.local_validate_agent_layer"
"tool.codex_workspace_audit","codex.workspace_guardian","read","workspace|codex_config","local_filesystem","read|audit","global_config_write|secret_files","workspace_readback","tool.local_validate_agent_layer"
"tool.local_validate_document_skill_lane","court.thot_schema","run","document|skill|matrix","local_filesystem","validate_document_skill_lane","external_runtime|microsoft_live|openai_api_live|secret_materialization|regulated_data_dump","document_skill_lane_result","tool.local_validate_document_skill_lane"
"tool.local_validate_agent_workpapers","court.thot_schema","run","agent|workpaper|matrix","local_filesystem","validate_workpapers","external_runtime","validator_readback","tool.local_validate_agent_layer"
"tool.local_generate_agent_workpapers","court.thot_schema","run","agent|workpaper|matrix","local_filesystem","generate_workpapers","external_runtime|live_connector_execution","workpaper_generation_readback","tool.local_validate_agent_layer"
"tool.workpaper_index_check","court.seshat_evidence","read","workpaper","local_filesystem","read|parse","remote_write","workpaper_index_readback","tool.local_validate_agent_layer"
"tool.plugin_registry_check","codex.workspace_guardian","read","plugin|tool","local_filesystem","read|classify","live_connector_execution","plugin_boundary_readback","tool.local_validate_agent_layer"
"tool.sharepoint_complete_read_order_builder","rey.frontier_guardian","write","order|surface|microsoft_live","local_order_packet","prepare_order","microsoft_live_read_without_order","governed_order_packet","tool.local_validate_agent_layer"
"tool.parallel_dispatch_policy_check","rey.control_plane_orchestrator","read","agent|subagent|parallel_lane","local_filesystem","validate_lane_scope|validate_lock_key|validate_validator","parallel_scope_overlap|live_execution|secret_materialization","parallel_lane_packet","tool.local_validate_parallel_order_governance"
"tool.governed_order_packet_builder","rey.frontier_guardian","write","order|api|live|production|permission","local_order_packet","prepare_order_packet","live_execution|secret_materialization|production_change_without_order","governed_order_packet","tool.local_validate_order_packets"
"tool.local_validate_github_automation_preflight","court.thot_schema","run","github|agent|order|workflow|preflight","local_filesystem","validate_github_automation_preflight","external_runtime|openai_api_live|github_write|secret_materialization","github_automation_preflight_result","tool.local_validate_agent_layer"
"tool.local_validate_operational_chain","court.thot_schema","run","agent|skill|recipe|tool|validator|evidence|stop_condition","local_filesystem","validate_operational_chain","external_runtime|live_execution|secret_materialization|chainless_operation","operational_chain_result","tool.local_validate_operational_chain"
"tool.local_validate_agents_instruction_hierarchy","codex.workspace_guardian","run","agents_md|instruction_surface|matrix|map","local_filesystem","validate_agents_instruction_hierarchy","external_runtime|global_config_write|nested_repo_absorption|secret_materialization","instruction_hierarchy_result","tool.local_validate_agents_instruction_hierarchy"
"tool.local_validate_skill_metadata","court.thot_schema","run","skill|matrix|validator","local_filesystem","validate_skill_metadata","external_runtime|global_config_write|openai_api_live|secret_materialization","skill_metadata_result","tool.local_validate_skill_metadata"
"tool.local_validate_parallel_order_governance","court.thot_schema","run","agent|subagent|parallel_lane|matrix","local_filesystem","validate_parallel_order_governance","external_runtime|live_execution","validator_readback","tool.local_validate_agent_layer"
"tool.local_validate_parallel_issue_queue","court.thot_schema","run","issue|agent|subagent|parallel_lane|matrix","local_filesystem","validate_parallel_issue_queue","external_runtime|live_execution|secret_materialization|lane_scope_overlap","parallel_issue_queue_result","tool.local_validate_parallel_issue_queue"
"tool.local_validate_order_packets","court.thot_schema","run","order|api|live|production|permission","local_filesystem","validate_order_packets","external_runtime|live_execution|secret_materialization","validator_readback","tool.local_validate_agent_layer"
"tool.local_validate_skill_reference_sources","court.thot_schema","run","source|skill|matrix","local_filesystem","validate_skill_reference_sources","external_runtime|openai_api_live|microsoft_live|secret_materialization","skill_reference_source_result","tool.local_validate_skill_reference_sources"
"tool.local_validate_frontend_design_lane","court.thot_schema","run","frontend|ui|matrix|map","local_filesystem","validate_frontend_design_lane","external_runtime|production|microsoft_live|openai_api_live|secret_materialization","frontend_design_lane_result","tool.local_validate_frontend_design_lane"
"tool.local_validate_all_repo_github_alignment","court.thot_schema","run","repo|github|matrix|readback","local_filesystem|github_remote_readonly","validate_all_repo_github_alignment","external_runtime|openai_api_live|microsoft_live|production|permission_change|secret_materialization|force_push|root_repo_absorbing_nested_repos","all_repo_alignment_result","tool.local_validate_all_repo_github_alignment"
