lane_id,repo_id,repository_full_name,environment_label,environment_id,environment_id_status,branch_policy,allowed_actions,requires_order_for,blocked_actions,data_boundary,lead_agent,owner_agent,reviewer_agent,required_skill,required_recipe,required_tool,evidence,validator,status,stop_condition
codex_cloud.inventory_cli,GLOBAL_CODEX_ACCOUNT,NO_APLICA,Sgin,NO_ID_RETURNED_BY_CLI_LIST,OBSERVED_LABEL_ONLY,read_only_inventory,codex_cloud_list|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|github_pr_open|remote_agent_persistence|openai_api_live|microsoft_live|production|permission_change,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,task_metadata_only|no_prompt_secret|no_repo_apply,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,openai-docs|rey-modo-carril-codex-cloud-api|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|codex_cloud_status_read,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_INVENTORY,source_uncertain|secret_detected
codex_cloud.sgin_cloud_remote_ci_smoke,SGIN_CLOUD,SeshatSgin/sgin-cloud,SeshatSgin/sgin-cloud,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,main_readonly_or_codex_branch,prepare_readonly_ci_smoke_prompt|codex_cloud_exec_readonly|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|github_pr_open|openai_api_live|microsoft_live|production|permission_change|sharepoint_connector_live,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review|sharepoint_connector_live,repo_metadata|AGENTS.md|README.md|runtime-local|workflow_no_sensitive_payload|mock_outputs_tmp_only,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,github:github|openai-docs|rey-modo-carril-codex-cloud-api|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.governed_order_preparation,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,gh_repo_view|canonical_clone_67f04f9_matches_origin_main|task_e_6a1f19895190832ebd427cf6b955bc31_ready_no_diff|task_e_6a1f1b60bc04832e855fe676e91c9ea7_ready_no_diff_ci_mock,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_SMOKE_READY,source_uncertain|microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization|secret_detected
codex_cloud.cabina_root_smoke,D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,universo-rey/cabina-universal-d,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,main_readonly_or_codex_branch,prepare_readonly_smoke_prompt|codex_cloud_exec_readonly|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|secret_environment|internet_agent_access|openai_api_live|microsoft_live|production,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,repo_metadata_only|AGENTS_md|validator_inventory_no_sensitive_payload,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,openai-docs|rey-modo-carril-codex-cloud-api|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.governed_order_preparation,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,task_e_6a1f119843d4832e9ed821834222c003_ready_no_diff|user_ui_snapshot_environment_visible,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_SMOKE_READY,source_uncertain|api_or_remote_agent_requested
codex_cloud.tcu_control_plane_reference,TCU_CONTROL_PLANE,SeshatSgin/tcu-control-plane,SeshatSgin/tcu-control-plane,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,UI_ENV_CONFIRMED_125_TASKS,main_readonly_or_codex_branch,import_cloud_runbook_reference|codex_cloud_exec_readonly|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|github_pr_open|openai_api_live|microsoft_live|production|permission_change,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,repo_metadata_and_runbook_reference_only,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,github:github|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,task_e_6a1f144c06cc832e9ae317ce8ca0f1e0_ready_no_diff|user_ui_snapshot_125_tasks|remote_codex_cloud_docs_detected,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_SMOKE_READY,source_uncertain|secret_detected
codex_cloud.sgin_environment,SGIN,universo-rey/Sgin,Sgin,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,UI_ENV_CONFIRMED_45_TASKS,main_readonly_or_codex_branch,codex_cloud_exec_readonly|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|github_pr_open|openai_api_live|microsoft_live|production|permission_change,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,repo_metadata_and_task_metadata_only,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,github:github|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,task_e_6a1f144bfee4832ebe5523def080f921_ready_no_diff|user_ui_snapshot_45_tasks|codex_cloud_list_label_Sgin,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_SMOKE_READY,source_uncertain|github_order_missing_checks
codex_cloud.sgin_canonico_puro_environment,SGIN_CANONICO_PURO,SeshatSgin/SGIN_Canonico_Puro,SGIN_Canonico_Puro,CLI_LABEL_ACCEPTED_NO_ID_RETURNED,UI_ENV_CONFIRMED_6_TASKS,main_readonly_or_codex_branch,codex_cloud_exec_readonly|codex_cloud_status|codex_cloud_diff_no_apply,codex_cloud_exec|codex_cloud_apply|github_pr_open|openai_api_live|microsoft_live|production|permission_change,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,repo_metadata_and_task_metadata_only,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,github:github|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,task_e_6a1f144c189c832ead0762cd5016078e_ready_no_diff|user_ui_snapshot_6_tasks,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_READONLY_SMOKE_READY,source_uncertain|secret_detected
codex_cloud.tge_remote_agent_reference,TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,SeshatSgin/torre-gemela-escribania,TBD_REMOTE_ENVIRONMENT,REMOTE_REPO_CONFIRMED_ENV_PENDING,repo_native_codex_branch_required,read_remote_agent_bootstrap_docs|prepare_tge_repo_native_cloud_order,codex_cloud_exec|codex_cloud_apply|github_pr_open|openai_api_live|microsoft_live|production|permission_change|tenant_write,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|codex_cloud_apply_without_review,repo_metadata_and_tge_remote_agent_docs_only,court.openai_dispatcher,universe.escribania_tower,court.seshat_evidence,github:github|openai-docs|rey-modo-carril-codex-cloud-api,recipe.codex_cloud_governed_lane|recipe.governed_order_preparation,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,remote_agent_manifest_detected,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_REMOTE_REFERENCE,microsoft_live_requested_without_governed_order|regulated_data_boundary_unclear
codex_cloud.diff_review_gate,REPO_SCOPED_ANY,github_repo_selected_by_order,TBD_BY_REPO,TBD_BY_REPO,REQUIRES_ENVIRONMENT_RESOLUTION,branch_declared_before_diff,codex_cloud_status|codex_cloud_diff|human_review|local_validator_plan,codex_cloud_exec|codex_cloud_apply|branch_commit_push_pr|merge|production|microsoft_live|openai_api_live,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|force_push,diff_metadata_and_patch_only|no_secret_materialization,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,openai-docs|rey-modo-carril-codex-cloud-api|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,diff_review_readback,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_GOVERNED_GATE,github_order_missing_checks|secret_detected
codex_cloud.apply_gate,REPO_SCOPED_ANY,github_repo_selected_by_order,TBD_BY_REPO,TBD_BY_REPO,REQUIRES_ENVIRONMENT_RESOLUTION,codex_branch_required,codex_cloud_apply_after_diff_review|git_status_clean_required|validators_required,codex_cloud_exec|codex_cloud_apply|apply_without_clean_branch|apply_without_review|apply_on_main|merge|production|microsoft_live|openai_api_live,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|force_push,reviewed_diff_only|no_sensitive_files|local_git_rollback,court.openai_dispatcher,rey.repo_cartographer,court.seshat_evidence,openai-docs|cabina-commit-work|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.github_pr_lifecycle_governed,tool.codex_cloud_cli_readonly|tool.github_versioning_flow|tool.local_validate_codex_cloud_governed_lane,git_status_before_after|validator_output|diff_review,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_GOVERNED_GATE,github_order_missing_checks|secret_detected
codex_cloud.pr_handoff,REPO_SCOPED_ANY,github_repo_selected_by_order,TBD_BY_REPO,TBD_BY_REPO,REQUIRES_ENVIRONMENT_RESOLUTION,codex_branch_required,branch_commit_push_pr_draft_after_local_apply_validation,codex_cloud_exec|codex_cloud_apply|merge_without_approved_precheck|force_push|delete_remote_branch|permission_change|production|microsoft_live|openai_api_live,secrets|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|force_push,repo_scoped_validated_patch_only,court.openai_dispatcher,rey.repo_cartographer,court.seshat_evidence,github:github|cabina-commit-work|superpowers:verification-before-completion,recipe.github_pr_lifecycle_governed|recipe.codex_cloud_governed_lane,tool.github_versioning_flow|tool.local_validate_codex_cloud_governed_lane,commit_hash|pr_url|checks|readback,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,ACTIVE_GITHUB_HANDOFF,merge_without_approved_precheck|github_order_missing_checks
